Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	293	171	NA	505002	0.86
DNA/EnSpmCACTA	EnSpm-5_CCri	19651	1	1	NA	402	0.00
###DNA/EnSpmCACTA	All_elements	NA	294	172	NA	505404	0.8593

DNA/Harbinger	HARB-2_STu	7742	1	1	NA	590	0.00
DNA/Harbinger	MtPH-A5-Ia	5965	2	1	NA	211	0.00
###DNA/Harbinger	All_elements	NA	3	2	NA	801	0.0014

DNA/L1	L1-1_GR	5704	138	73	NA	172767	0.29
###DNA/L1	All_elements	NA	138	73	NA	172767	0.2937

DNA/MULE-MuDR	154CL0252	95	1	1	NA	95	0.00
DNA/MULE-MuDR	2045CL0113	95	1	1	NA	95	0.00
###DNA/MULE-MuDR	All_elements	NA	2	2	NA	190	0.0003

DNA/MarinerTc1	Mariner-1_RC	2222	8	3	NA	4545	0.01
###DNA/MarinerTc1	All_elements	NA	8	3	NA	4545	0.0077

DNA/MuDR	MuDR-1_ATr	4850	1	1	NA	1715	0.00
DNA/MuDR	MuDR-1_GR	7211	415	239	NA	495547	0.84
DNA/MuDR	MuDR-2_GR	6708	118	98	NA	90257	0.15
DNA/MuDR	MuDR-3_GR	4333	142	109	NA	82353	0.14
DNA/MuDR	MuDR-4_GR	7191	333	192	NA	243498	0.41
DNA/MuDR	MuDR-5_GR	7783	243	136	NA	150328	0.26
###DNA/MuDR	All_elements	NA	1252	775	NA	1063698	1.8084

DNA/hAT	ZhAT14_ZM	3349	1	1	NA	1191	0.00
DNA/hAT	hAT-1_GR	4719	111	70	NA	30533	0.05
DNA/hAT	hAT-1_TC	3200	4	3	NA	6271	0.01
DNA/hAT	hAT-2_GR	5255	239	142	NA	57345	0.10
DNA/hAT	hAT-3_TC	5162	5	2	NA	3397	0.01
DNA/hAT	hAT-4_PTr	3687	2	1	NA	2279	0.00
DNA/hAT	hAT-5_TC	4797	3	2	NA	793	0.00
###DNA/hAT	All_elements	NA	365	221	NA	101809	0.1731

######Type:DNA	All_elements	NA	2062	1248	NA	1849214	3.1439

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	1119CL0124	No_ref_available	1	1	0	95	0.00
LTR	1196CL0160	No_ref_available	2	2	0	95	0.00
LTR	1235CL0160	No_ref_available	2	2	0	190	0.00
LTR	1290CL0124	No_ref_available	1	1	0	95	0.00
LTR	1328CL0160	No_ref_available	1	1	0	95	0.00
LTR	1671CL0124	No_ref_available	1	1	0	95	0.00
LTR	1720CL0124	No_ref_available	2	1	0	95	0.00
LTR	1791CL0124	No_ref_available	1	1	0	95	0.00
LTR	235CL0155	No_ref_available	1	1	0	95	0.00
LTR	343CL0124	No_ref_available	1	1	0	65	0.00
LTR	4003CL0030	No_ref_available	1	1	0	95	0.00
LTR	542CL0124	No_ref_available	1	1	0	95	0.00
LTR	7219CL0030	No_ref_available	1	1	0	95	0.00
LTR	7665CL0030	No_ref_available	1	1	0	95	0.00
LTR	86CL0160	No_ref_available	1	1	0	95	0.00
LTR	908CL0124	No_ref_available	1	1	0	95	0.00
LTR	976CL0124	No_ref_available	1	1	0	95	0.00
LTR	982CL0030	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	21	20	0	1775	0.0030

LTR/Copia	1598CL0128	No_ref_available	7	7	0	659	0.00
LTR/Copia	2132CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	2605CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	2659CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	471CL0144	No_ref_available	1	1	0	95	0.00
LTR/Copia	74CL0250	No_ref_available	24	24	0	2052	0.00
LTR/Copia	88CL0250	No_ref_available	38	38	0	3273	0.01
LTR/Copia	ATCOPIA28_I-int	No_ref_available	9	7	0	4065	0.01
LTR/Copia	COP14_I_MT-int	No_ref_available	1	1	0	34	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	6	6	0	244	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	1	1	0	764	0.00
LTR/Copia	Copia-104_Mad-I	No_ref_available	1	1	0	64	0.00
LTR/Copia	Copia-10_GR-I	No_ref_available	2	2	0	4598	0.01
LTR/Copia	Copia-10_JC-I	No_ref_available	2	2	0	609	0.00
LTR/Copia	Copia-10_TC-I	No_ref_available	1	1	0	1018	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	2	2	0	3832	0.01
LTR/Copia	Copia-11_GR-I	4680	1	1	0	1144	0.00
LTR/Copia	Copia-12_GR-I	4481	5	4	0	15097	0.03
LTR/Copia	Copia-12_JC-I	No_ref_available	6	2	0	5039	0.01
LTR/Copia	Copia-12_TC-I	No_ref_available	12	7	0	3772	0.01
LTR/Copia	Copia-13_AIp-I	No_ref_available	1	1	0	67	0.00
LTR/Copia	Copia-13_GR-I	No_ref_available	1	1	0	4455	0.01
LTR/Copia	Copia-13_TC-I	No_ref_available	11	10	0	4751	0.01
LTR/Copia	Copia-14_GR-I	631	106	61	26	103358	0.18
LTR/Copia	Copia-14_NN-I	No_ref_available	4	3	0	9376	0.02
LTR/Copia	Copia-15_Cia-I	No_ref_available	1	1	0	72	0.00
LTR/Copia	Copia-15_ECa-I	No_ref_available	2	2	0	161	0.00
LTR/Copia	Copia-15_GR-I	371	158	106	9	287658	0.49
LTR/Copia	Copia-16_GR-I	4722	25	11	0	20246	0.03
LTR/Copia	Copia-17_GR-I	No_ref_available	2	1	0	4865	0.01
LTR/Copia	Copia-17_TC-I	No_ref_available	10	5	0	4429	0.01
LTR/Copia	Copia-18_GR-I	4986	3	3	1	8031	0.01
LTR/Copia	Copia-18_NN-I	No_ref_available	1	1	0	200	0.00
LTR/Copia	Copia-18_PPe-I	No_ref_available	2	2	0	260	0.00
LTR/Copia	Copia-18_PTri-I	No_ref_available	1	1	0	3120	0.01
LTR/Copia	Copia-19_GR-I	No_ref_available	4	4	0	7977	0.01
LTR/Copia	Copia-19_PTri-I	No_ref_available	2	1	0	2555	0.00
LTR/Copia	Copia-19_TC-I	No_ref_available	9	6	0	6666	0.01
LTR/Copia	Copia-1_GR-I	1489	422	230	176	441907	0.75
LTR/Copia	Copia-1_NN-I	No_ref_available	3	2	0	7335	0.01
LTR/Copia	Copia-1_RC-I	No_ref_available	1	1	0	2695	0.00
LTR/Copia	Copia-20_GR-I	No_ref_available	4	2	0	8157	0.01
LTR/Copia	Copia-20_TC-I	8705	4	4	0	1129	0.00
LTR/Copia	Copia-21_GR-I	4600	7	7	0	22891	0.04
LTR/Copia	Copia-22_ECa-I	No_ref_available	4	2	0	3872	0.01
LTR/Copia	Copia-22_GR-I	4745	7	4	0	17058	0.03
LTR/Copia	Copia-22_TC-I	No_ref_available	3	2	0	1695	0.00
LTR/Copia	Copia-23_ECa-I	No_ref_available	1	1	0	4192	0.01
LTR/Copia	Copia-23_GR-I	485	157	62	14	103601	0.18
LTR/Copia	Copia-24_GR-I	9443	178	102	31	141801	0.24
LTR/Copia	Copia-25_GR-I	4596	4	3	0	9160	0.02
LTR/Copia	Copia-25_JC-I	No_ref_available	6	5	0	2102	0.00
LTR/Copia	Copia-25_RC-I	No_ref_available	2	1	0	999	0.00
LTR/Copia	Copia-25_ST-I	No_ref_available	2	1	0	738	0.00
LTR/Copia	Copia-26_AIp-I	No_ref_available	2	2	0	1826	0.00
LTR/Copia	Copia-26_GR-I	4580	5	3	0	10231	0.02
LTR/Copia	Copia-27_ECa-I	No_ref_available	7	4	0	6244	0.01
LTR/Copia	Copia-27_GM-I	No_ref_available	1	1	0	136	0.00
LTR/Copia	Copia-27_GR-I	5174	11	5	0	19558	0.03
LTR/Copia	Copia-27_LU-I	No_ref_available	2	2	0	263	0.00
LTR/Copia	Copia-28_GR-I	4590	8	6	0	19737	0.03
LTR/Copia	Copia-29_GR-I	4628	5	3	0	3887	0.01
