Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-1_GR	8807	163	81	NA	213312	0.60
DNA/EnSpmCACTA	EnSpm-7_STu	8970	1	1	NA	342	0.00
###DNA/EnSpmCACTA	All_elements	NA	164	82	NA	213654	0.6030

DNA/L1	L1-1_GR	5704	82	40	NA	83952	0.24
DNA/L1	L1-26_NN	5500	4	2	NA	2304	0.01
###DNA/L1	All_elements	NA	86	42	NA	86256	0.2435

DNA/MuDR	MuDR-1_ATr	4850	1	1	NA	1357	0.00
DNA/MuDR	MuDR-1_GR	7211	240	127	NA	322403	0.91
DNA/MuDR	MuDR-2_GR	6708	108	90	NA	85648	0.24
DNA/MuDR	MuDR-3_GR	4333	82	65	NA	41432	0.12
DNA/MuDR	MuDR-4_GR	7191	276	144	NA	195016	0.55
DNA/MuDR	MuDR-5_GR	7783	121	75	NA	94824	0.27
DNA/MuDR	MuDR-64_OS	5513	1	1	NA	618	0.00
###DNA/MuDR	All_elements	NA	829	503	NA	741298	2.0923

DNA/hAT	ZhAT14_ZM	3349	2	1	NA	925	0.00
DNA/hAT	hAT-1_GR	4719	52	30	NA	18991	0.05
DNA/hAT	hAT-1_TC	3200	1	1	NA	2281	0.01
DNA/hAT	hAT-2_GR	5255	98	59	NA	21078	0.06
DNA/hAT	hAT-6_SBi	3445	2	2	NA	1986	0.01
DNA/hAT	hAT-6_TC	3344	2	1	NA	2259	0.01
###DNA/hAT	All_elements	NA	157	94	NA	47520	0.1341

DNA/hAT-Tip100	ZhAT14_ZM	3349	2	1	NA	1935	0.01
###DNA/hAT-Tip100	All_elements	NA	2	1	NA	1935	0.0055

######Type:DNA	All_elements	NA	1238	722	NA	1090663	3.0784

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR	2105CL0105	No_ref_available	1	1	0	95	0.00
LTR	2197CL0105	No_ref_available	1	1	0	95	0.00
LTR	2946CL0105	No_ref_available	1	1	0	95	0.00
LTR	835CL0105	No_ref_available	1	1	0	95	0.00
###LTR	All_elements	NA	4	4	0	380	0.0011

LTR/Copia	ATCOPIA28_I-int	No_ref_available	1	1	0	53	0.00
LTR/Copia	ATCOPIA29_I-int	No_ref_available	1	1	0	909	0.00
LTR/Copia	COP18_I_MT-int	No_ref_available	1	1	0	132	0.00
LTR/Copia	COP2_I_MT-int	No_ref_available	1	1	0	55	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	1	1	0	41	0.00
LTR/Copia	COPIA-I_MT	No_ref_available	1	1	0	49	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	2	2	0	511	0.00
LTR/Copia	Copia-10_GR-I	4546	2	2	0	6053	0.02
LTR/Copia	Copia-10_JC-I	No_ref_available	2	2	0	505	0.00
LTR/Copia	Copia-11_CP-I	No_ref_available	1	1	0	286	0.00
LTR/Copia	Copia-11_GR-I	4680	1	1	0	144	0.00
LTR/Copia	Copia-12_ALY-I	No_ref_available	1	1	0	229	0.00
LTR/Copia	Copia-12_JC-I	No_ref_available	4	3	0	7263	0.02
LTR/Copia	Copia-12_TC-I	No_ref_available	18	8	0	7268	0.02
LTR/Copia	Copia-13_Cia-I	No_ref_available	1	1	0	642	0.00
LTR/Copia	Copia-13_GR-I	No_ref_available	1	1	0	4453	0.01
LTR/Copia	Copia-13_NN-I	No_ref_available	2	2	0	191	0.00
LTR/Copia	Copia-13_TC-I	No_ref_available	3	3	0	295	0.00
LTR/Copia	Copia-14_GR-I	631	101	47	16	116559	0.33
LTR/Copia	Copia-15_GR-I	371	110	74	18	179985	0.51
LTR/Copia	Copia-15_JC-I	No_ref_available	2	2	0	4035	0.01
LTR/Copia	Copia-16_GR-I	4722	26	11	0	29231	0.08
LTR/Copia	Copia-17_GR-I	5231	1	1	0	4865	0.01
LTR/Copia	Copia-18_NN-I	No_ref_available	1	1	0	4032	0.01
LTR/Copia	Copia-18_PPe-I	No_ref_available	3	2	0	738	0.00
LTR/Copia	Copia-18_PTri-I	No_ref_available	4	3	0	5173	0.01
LTR/Copia	Copia-19_FV-I	No_ref_available	2	2	0	198	0.00
LTR/Copia	Copia-19_GR-I	No_ref_available	3	2	0	6917	0.02
LTR/Copia	Copia-19_TC-I	No_ref_available	3	2	0	2626	0.01
