Family	Element	Length	Fragments	Copies	Solo_LTR	Total_Bp	Cover
DNA/EnSpmCACTA	EnSpm-12_OS	12603	3	3	NA	164	0.00
DNA/EnSpmCACTA	EnSpm-16_SBi	15883	4	4	NA	280	0.00
DNA/EnSpmCACTA	EnSpm-1_GR	8807	287	159	NA	537858	0.84
DNA/EnSpmCACTA	EnSpm-2_NS	14652	1	1	NA	91	0.00
DNA/EnSpmCACTA	EnSpm-9_STu	14210	1	1	NA	332	0.00
###DNA/EnSpmCACTA	All_elements	NA	296	168	NA	538725	0.8433

DNA/L1	L1-1_GR	5704	101	48	NA	125315	0.20
###DNA/L1	All_elements	NA	101	48	NA	125315	0.1962

DNA/MarinerTc1	Mariner-1_RC	2222	7	4	NA	6069	0.01
###DNA/MarinerTc1	All_elements	NA	7	4	NA	6069	0.0095

DNA/MuDR	MuDR-1_GR	7211	293	189	NA	386746	0.61
DNA/MuDR	MuDR-2_GR	6708	146	117	NA	113760	0.18
DNA/MuDR	MuDR-3_GR	4333	118	99	NA	64178	0.10
DNA/MuDR	MuDR-4_GR	7191	371	201	NA	297255	0.47
DNA/MuDR	MuDR-5_GR	7783	183	110	NA	143745	0.23
DNA/MuDR	MuDR-64_OS	5513	1	1	NA	618	0.00
DNA/MuDR	MuDR-6_OS	7633	2	1	NA	684	0.00
###DNA/MuDR	All_elements	NA	1114	718	NA	1006986	1.5763

DNA/hAT	ZhAT14_ZM	3349	1	1	NA	897	0.00
DNA/hAT	hAT-1_GR	4719	54	35	NA	27461	0.04
DNA/hAT	hAT-1_TC	3200	2	2	NA	3711	0.01
DNA/hAT	hAT-2_GR	5255	114	72	NA	32176	0.05
DNA/hAT	hAT-3_TC	5162	10	7	NA	7650	0.01
DNA/hAT	hAT-4_PTr	3687	4	4	NA	2948	0.00
DNA/hAT	hAT-4_TC	4738	2	2	NA	676	0.00
DNA/hAT	hAT-6_SBi	3445	1	1	NA	360	0.00
DNA/hAT	hAT-6_STu	3794	1	1	NA	49	0.00
###DNA/hAT	All_elements	NA	189	125	NA	75928	0.1189

DNA/hAT-Tip100	ZhAT14_ZM	3349	2	1	NA	1923	0.00
DNA/hAT-Tip100	hAT-6_SBi	3445	2	1	NA	646	0.00
###DNA/hAT-Tip100	All_elements	NA	4	2	NA	2569	0.0040

######Type:DNA	All_elements	NA	1711	1065	NA	1755592	2.7482

######Type:LINE	All_elements	NA			NA		0.0000

######Type:SINE	All_elements	NA			NA		0.0000

LTR/Copia	1349CL0128	No_ref_available	1	1	0	95	0.00
LTR/Copia	1532CL0128	No_ref_available	1	1	0	95	0.00
LTR/Copia	1740CL0128	No_ref_available	1	1	0	95	0.00
LTR/Copia	1821CL0128	No_ref_available	1	1	0	95	0.00
LTR/Copia	2336CL0089	No_ref_available	1	1	0	95	0.00
LTR/Copia	ATCOPIA28_I-int	No_ref_available	5	4	0	1675	0.00
LTR/Copia	ATCOPIA78_I-int	No_ref_available	1	1	0	307	0.00
LTR/Copia	COP8_I_MT-int	No_ref_available	4	4	0	164	0.00
LTR/Copia	COPI2_I-int	No_ref_available	1	1	0	153	0.00
LTR/Copia	COPIA3-I_OS	No_ref_available	7	4	0	1344	0.00
LTR/Copia	Copia-101_GM-I	No_ref_available	1	1	0	679	0.00
LTR/Copia	Copia-10_GR-I	4546	1	1	0	4077	0.01
LTR/Copia	Copia-10_TC-I	No_ref_available	1	1	0	40	0.00
LTR/Copia	Copia-11_GR-I	No_ref_available	1	1	0	4314	0.01
LTR/Copia	Copia-11_RC-I	No_ref_available	4	2	0	3569	0.01
LTR/Copia	Copia-12_GR-I	4481	3	2	0	6969	0.01
LTR/Copia	Copia-12_JC-I	No_ref_available	8	6	0	19635	0.03
LTR/Copia	Copia-12_PX-I	No_ref_available	2	2	0	72	0.00
LTR/Copia	Copia-12_TC-I	No_ref_available	9	6	0	4034	0.01
LTR/Copia	Copia-13_AIp-I	No_ref_available	1	1	0	109	0.00
LTR/Copia	Copia-13_ECa-I	No_ref_available	3	3	0	1054	0.00
LTR/Copia	Copia-13_GR-I	4839	1	1	0	4455	0.01
LTR/Copia	Copia-13_TC-I	No_ref_available	7	7	0	589	0.00
