Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###846	0.0	0.0	0.0	D5_12	2396678	2396772	95	+	131CL0160	LTR	1	95	(0)	184469	1	No_ref_available

###251	22.9	3.3	0.0	D5_12	505333	505393	63	+	103CL0250	LTR/Copia	32	94	(1)	184099	1	No_ref_available

###262	26.3	0.0	5.0	D5_12	539180	539263	80	+	103CL0250	LTR/Copia	15	94	(1)	184108	1	No_ref_available

###262	28.8	0.0	1.2	D5_12	540629	540709	80	C	103CL0250	LTR/Copia	(0)	95	16	184110	1	No_ref_available

###329	23.9	1.4	0.0	D5_12	542464	542534	72	+	103CL0250	LTR/Copia	23	94	(1)	184111	1	No_ref_available

###312	24.4	3.9	0.0	D5_12	542585	542662	81	C	103CL0250	LTR/Copia	(0)	95	15	184112	1	No_ref_available

###545	12.3	2.5	0.0	D5_12	565731	565811	83	+	103CL0250	LTR/Copia	13	95	(0)	184116	1	No_ref_available

###464	20.7	0.0	0.0	D5_12	566024	566105	82	C	103CL0250	LTR/Copia	(1)	94	13	184119	1	No_ref_available

###405	15.1	1.3	2.7	D5_12	576907	576981	74	+	103CL0250	LTR/Copia	16	89	(6)	184126	1	No_ref_available

###449	17.9	0.0	0.0	D5_12	577194	577271	78	C	103CL0250	LTR/Copia	(4)	91	14	184129	1	No_ref_available

###339	16.4	12.2	1.2	D5_12	588800	588873	82	+	103CL0250	LTR/Copia	13	94	(1)	184130	1	No_ref_available

###551	12.3	0.0	0.0	D5_12	589089	589169	81	C	103CL0250	LTR/Copia	(1)	94	14	184133	1	No_ref_available

###423	15.2	2.5	1.2	D5_12	589619	589698	81	+	103CL0250	LTR/Copia	14	94	(1)	184134	1	No_ref_available

###865	0.0	0.0	0.0	D5_12	589899	589993	95	C	103CL0250	LTR/Copia	(0)	95	1	184136	1	No_ref_available

###341	18.8	0.0	0.0	D5_12	606389	606452	64	+	103CL0250	LTR/Copia	31	94	(1)	184138	1	No_ref_available

###580	12.8	0.0	0.0	D5_12	606643	606728	86	C	103CL0250	LTR/Copia	(1)	94	9	184141	1	No_ref_available

###345	20.6	1.4	0.0	D5_12	620168	620240	74	C	103CL0250	LTR/Copia	(5)	90	17	184146	1	No_ref_available

###382	22.5	1.2	0.0	D5_12	623175	623254	81	C	103CL0250	LTR/Copia	(7)	88	8	184148	1	No_ref_available

###483	19.8	0.0	0.0	D5_12	632961	633046	86	+	103CL0250	LTR/Copia	10	95	(0)	184149	1	No_ref_available

###236	16.3	0.0	0.0	D5_12	633222	633264	43	C	103CL0250	LTR/Copia	(1)	94	52	184151	1	No_ref_available

###286	18.6	15.7	0.0	D5_12	634372	634441	81	C	103CL0250	LTR/Copia	(0)	95	15	184153	1	No_ref_available

###373	19.5	1.3	1.3	D5_12	641419	641496	78	+	103CL0250	LTR/Copia	14	91	(4)	184154	1	No_ref_available

###297	29.9	0.0	0.0	D5_12	656205	656291	87	+	103CL0250	LTR/Copia	9	95	(0)	184157	1	No_ref_available

###235	30.9	0.0	1.2	D5_12	656381	656462	81	C	103CL0250	LTR/Copia	(1)	94	14	184159	1	No_ref_available

###263	32.1	0.0	0.0	D5_12	679186	679266	81	C	103CL0250	LTR/Copia	(4)	91	11	184162	1	No_ref_available

###348	27.8	1.1	0.0	D5_12	776128	776217	91	+	103CL0250	LTR/Copia	5	95	(0)	184166	1	No_ref_available

###400	18.2	0.0	0.0	D5_12	776444	776509	66	C	103CL0250	LTR/Copia	(4)	91	26	184169	1	No_ref_available

###334	21.8	2.3	1.1	D5_12	817962	818049	89	+	103CL0250	LTR/Copia	3	91	(4)	184175	1	No_ref_available

###395	13.9	6.3	0.0	D5_12	818206	818284	84	C	103CL0250	LTR/Copia	(1)	94	11	184177	1	No_ref_available

###317	25.0	0.0	1.3	D5_12	830655	830731	76	+	103CL0250	LTR/Copia	16	91	(4)	184178	1	No_ref_available

###304	17.0	1.9	0.0	D5_12	830919	830971	54	C	103CL0250	LTR/Copia	(4)	91	38	184179	1	No_ref_available

###338	21.8	3.9	0.0	D5_12	838991	839068	81	+	103CL0250	LTR/Copia	14	94	(1)	184180	1	No_ref_available

###290	19.7	9.8	0.0	D5_12	839103	839163	67	C	103CL0250	LTR/Copia	(15)	80	14	184179	1	No_ref_available

###240	17.0	1.8	3.7	D5_12	840144	840198	54	C	103CL0250	LTR/Copia	(4)	91	38	184183	1	No_ref_available

###343	26.8	0.0	0.0	D5_12	852703	852784	82	+	103CL0250	LTR/Copia	13	94	(1)	184184	1	No_ref_available

###385	16.7	2.6	0.0	D5_12	855485	855562	80	+	103CL0250	LTR/Copia	15	94	(1)	184185	1	No_ref_available

###266	27.6	2.6	1.3	D5_12	855753	855829	78	C	103CL0250	LTR/Copia	(4)	91	14	184188	1	No_ref_available

###287	27.9	2.5	0.0	D5_12	863480	863558	81	C	103CL0250	LTR/Copia	(0)	95	15	184193	1	No_ref_available

###318	21.9	8.2	0.0	D5_12	872550	872622	79	+	103CL0250	LTR/Copia	17	95	(0)	184194	1	No_ref_available

###400	21.8	1.3	0.0	D5_12	872835	872912	79	C	103CL0250	LTR/Copia	(4)	91	13	184197	1	No_ref_available

###427	22.5	0.0	0.0	D5_12	874319	874398	80	C	103CL0250	LTR/Copia	(4)	91	12	184199	1	No_ref_available

###401	18.8	5.0	0.0	D5_12	907968	908047	84	+	103CL0250	LTR/Copia	8	91	(4)	184210	1	No_ref_available

###536	13.0	0.0	0.0	D5_12	924974	925050	77	+	103CL0250	LTR/Copia	14	90	(5)	184214	1	No_ref_available

