Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###49818/444/454/258	4.640	1.161	1.147	D10_08	6960962	6969857	6683	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	123154/123155/123155/123156	4	0.759
49818	4.3	1.1	1.1	D10_08	6960962	6967275	6438	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2370	123154	1
444	10.8	2.4	2.4	D10_08	6967922	6968006	85	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6998)	1809	1725	123155	1
454	12.5	3.3	2.2	D10_08	6968236	6968325	91	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7091)	1716	1626	123155	1
258	20.9	2.9	2.9	D10_08	6969789	6969857	69	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8738)	69	1	123156	1

###255	6.1	11.8	3.6	D10_08	6971229	6971279	55	+	EnSpm-1_GR	DNA/EnSpmCACTA	8753	8807	(0)	123158	1	0.006

###335/30660/7349/883	11.668	0.851	0.615	D10_08	7414237	7428105	5965	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	8694	(113)	123241/123244/123248/123249	4	0.677
335	17.5	1.6	0.0	D10_08	7414237	7414299	64	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	66	(8741)	123241	1
30660	11.6	0.9	0.5	D10_08	7417746	7422302	4574	+	EnSpm-1_GR	DNA/EnSpmCACTA	2616	7189	(1618)	123244	1
7349	10.7	0.3	0.7	D10_08	7426729	7427839	1106	+	EnSpm-1_GR	DNA/EnSpmCACTA	7180	8285	(522)	123248	1
883	17.7	1.7	6.1	D10_08	7427865	7428105	231	+	EnSpm-1_GR	DNA/EnSpmCACTA	8464	8694	(113)	123249	1

###330	18.8	1.6	0.0	D10_08	7414363	7414426	65	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	67	(8740)	123242	1	0.007

###236	23.3	6.7	0.0	D10_08	7414487	7414546	64	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	66	(8741)	123243	1	0.007

###271/50200	5.861	1.744	1.114	D10_08	7512322	7522686	6767	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	123259/123262	2	0.768
271	19.4	13.9	2.3	D10_08	7512322	7512400	88	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	88	(8719)	123259	1
50200	5.7	1.6	1.1	D10_08	7516041	7522686	6679	+	EnSpm-1_GR	DNA/EnSpmCACTA	2129	8807	(0)	123262	1

###280/242	23.191	2.889	1.389	D10_08	7512482	7512676	74	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	75	(8732)	123260/123261	2	0.008
280	23.5	1.5	0.0	D10_08	7512482	7512549	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	70	(8737)	123260	1
242	22.9	4.2	2.7	D10_08	7512605	7512676	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	75	(8732)	123261	1

###18508	9.4	1.3	2.7	D10_08	7689627	7692438	2774	+	EnSpm-1_GR	DNA/EnSpmCACTA	6034	8807	(0)	123302	1	0.315

###47912	6.0	2.0	1.4	D10_08	8735642	8742462	6914	+	EnSpm-1_GR	DNA/EnSpmCACTA	1894	8807	(0)	123585	1	0.785

###250	5.9	0.0	2.9	D10_08	8742793	8742827	34	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	34	(8773)	123586	1	0.004

###2205/960/240	14.236	9.400	9.592	D10_08	8810643	8814094	1174	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	123618/123619/123620	3	0.133
2205	16.4	4.4	14.4	D10_08	8810643	8811297	598	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8210	123618	1
960	9.9	17.3	3.4	D10_08	8811302	8811741	499	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6185)	2622	2124	123619	1
240	20.8	6.7	3.9	D10_08	8814020	8814094	77	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	1	123620	1

###1292/5483	15.359	2.241	2.401	D10_08	9900441	9903244	1357	+	EnSpm-1_GR	DNA/EnSpmCACTA	7198	8554	(253)	123930/123932	2	0.154
1292	18.8	0.8	0.0	D10_08	9900441	9900701	263	+	EnSpm-1_GR	DNA/EnSpmCACTA	7198	7460	(1347)	123930	1
5483	14.5	2.6	3.0	D10_08	9902199	9903244	1108	+	EnSpm-1_GR	DNA/EnSpmCACTA	7447	8554	(253)	123932	1

###1538/2569/3763	13.150	5.429	4.113	D10_08	10191505	10193382	2016	+	EnSpm-1_GR	DNA/EnSpmCACTA	1990	8807	(0)	124021/124022/124023	3	0.229
1538	13.1	6.7	8.0	D10_08	10191505	10192253	864	+	EnSpm-1_GR	DNA/EnSpmCACTA	1990	2853	(5954)	124021	1
2569	12.8	0.5	0.0	D10_08	10192240	10192647	410	+	EnSpm-1_GR	DNA/EnSpmCACTA	6668	7077	(1730)	124022	1
3763	13.4	6.9	2.4	D10_08	10192672	10193382	742	+	EnSpm-1_GR	DNA/EnSpmCACTA	8066	8807	(0)	124023	1

###238	23.9	4.5	0.0	D10_08	10283535	10283601	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	1	124054	1	0.008

###25207/7712/531/456	14.744	0.904	1.319	D10_08	10423412	10434508	5644	+	EnSpm-1_GR	DNA/EnSpmCACTA	2901	8554	(253)	124109/124113/124114/124118	4	0.641
25207	14.3	0.6	1.5	D10_08	10423412	10427538	4090	+	EnSpm-1_GR	DNA/EnSpmCACTA	2901	6990	(1817)	124109	1
7712	15.8	1.9	0.9	D10_08	10429786	10431161	1389	+	EnSpm-1_GR	DNA/EnSpmCACTA	6977	8365	(442)	124113	1
531	17.6	0.0	0.0	D10_08	10431130	10431231	102	+	EnSpm-1_GR	DNA/EnSpmCACTA	8376	8477	(330)	124114	1
456	17.9	0.0	0.0	D10_08	10434431	10434508	78	+	EnSpm-1_GR	DNA/EnSpmCACTA	8477	8554	(253)	124118	1

