Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###28253	2.4	0.3	0.4	D10_01	2318420	2321759	3337	+	EnSpm-1_GR	DNA/EnSpmCACTA	5471	8807	(0)	312	1	0.379

###31276/21932/2557	5.368	3.749	1.122	D10_01	2623278	2632258	8805	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	346/346/346	3	1.000
31276	4.1	0.7	0.9	D10_01	2623278	2627190	3902	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	4906	346	1
21932	5.3	6.6	0.9	D10_01	2627188	2631322	4369	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3857)	4950	582	346	1
2557	14.4	4.0	4.2	D10_01	2631679	2632258	579	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8228)	579	1	346	1

###473	14.3	0.0	0.0	D10_01	2632439	2632508	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	1	347	1	0.008

###243	32.5	0.0	0.0	D10_01	2632684	2632760	77	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	1	348	1	0.009

###252/260/4312	10.335	1.708	0.295	D10_01	3571483	3574772	631	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	568/569/571	3	0.072
252	25.0	1.5	0.0	D10_01	3571483	3571550	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	70	(8737)	568	1
260	25.0	1.4	0.0	D10_01	3571607	3571678	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	75	(8732)	569	1
4312	5.1	1.8	0.4	D10_01	3574224	3574772	557	+	EnSpm-1_GR	DNA/EnSpmCACTA	8251	8807	(0)	571	1

###232	22.0	13.9	2.3	D10_01	3572700	3572778	88	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	88	(8719)	570	1	0.010

###9285/473	16.196	1.569	1.210	D10_01	4760746	4766958	3101	+	EnSpm-1_GR	DNA/EnSpmCACTA	5646	8807	(0)	814/816	2	0.352
