Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2472	31.9	3.9	0.6	D5_04	9581	10639	1093	C	Copia-55_GR-I	LTR/Copia	(45)	4069	2977	51312	1	0.229

###5681/663/775	17.739	4.192	4.699	D5_04	10739	13037	1978	+	Gypsy-29_GR-LTR	LTR/Gypsy	1	2298	(640)	51313/51313/51313	3	0.673
5681	17.4	4.6	4.5	D5_04	10739	12340	1604	+	Gypsy-29_GR-LTR	LTR/Gypsy	1	1604	(1334)	51313	1
663	19.0	4.3	2.4	D5_04	12518	12679	165	+	Gypsy-29_GR-LTR	LTR/Gypsy	1721	1885	(1053)	51313	1
775	19.4	0.9	8.1	D5_04	12814	13037	209	+	Gypsy-29_GR-LTR	LTR/Gypsy	2090	2298	(640)	51313	1

###347	29.0	2.9	5.4	D5_04	114032	114239	203	+	Copia-15_GR-LTR	LTR/Copia	162	364	(7)	51314	1	0.547

###5002/7480	12.818	1.814	2.318	D5_04	126464	129305	2882	C	Gypsy-5_GR-I	LTR/Gypsy	NA	NA	NA	51315/51315	2	0.294
5002	10.5	0.8	0.0	D5_04	126464	127246	789	C	Gypsy-5_GR-I	LTR/Gypsy	(4841)	789	1	51315	1
7480	13.7	2.2	3.2	D5_04	127247	129305	2093	C	Gypsy-5_GR-LTR	LTR/Gypsy	(0)	2093	1	51315	1

###2767/33244/2724	4.608	0.946	0.169	D5_04	142454	147272	4853	C	Copia-15_GR-LTR	LTR/Copia	NA	NA	NA	51316/51316/51316	3	0.999
2767	3.8	0.8	1.1	D5_04	142454	142825	371	C	Copia-15_GR-LTR	LTR/Copia	(0)	371	1	51316	1
33244	4.7	1.0	0.0	D5_04	142826	146899	4115	C	Copia-15_GR-I	LTR/Copia	(0)	4115	1	51316	1
2724	4.4	0.5	1.1	D5_04	146904	147272	367	C	Copia-15_GR-LTR	LTR/Copia	(4)	367	1	51316	1

###435	23.0	6.2	3.0	D5_04	149897	150089	199	+	Copia-15_GR-LTR	LTR/Copia	163	361	(10)	51317	1	0.536

###298	15.8	6.0	2.3	D5_04	153442	153525	87	+	Copia-15_GR-LTR	LTR/Copia	253	339	(32)	51318	1	0.235

###15348	14.1	2.2	4.0	D5_04	159601	162415	2767	+	Gypsy-19_GR-LTR	LTR/Gypsy	1	2767	(0)	51319	1	1.000

###4396/2921	20.233	4.001	3.842	D5_04	165799	168695	2911	+	Gypsy-18_GR-LTR	LTR/Gypsy	1	3021	(0)	51320/51320	2	0.964
4396	20.7	1.9	3.2	D5_04	165799	167001	1188	+	Gypsy-18_GR-LTR	LTR/Gypsy	1	1188	(1833)	51320	1
2921	19.9	5.5	4.3	D5_04	167010	168695	1723	+	Gypsy-18_GR-LTR	LTR/Gypsy	1299	3021	(0)	51320	1

###277	27.7	0.6	2.6	D5_04	168819	168976	299	C	Gypsy-19_GR-LTR	LTR/Gypsy	(2468)	299	1	51321	1	0.108

###2636	13.2	5.5	3.5	D5_04	185575	186086	522	+	Copia-42_GR-LTR	LTR/Copia	1	522	(0)	51322	1	1.000

###786	15.7	19.6	3.6	D5_04	197592	197856	306	+	Copia-15_GR-LTR	LTR/Copia	61	366	(5)	51323	1	0.825

###1511/30203	1.440	0.475	0.056	D5_04	231316	234887	3594	+	Copia-46_GR-I	LTR/Copia	1	4428	(0)	51324/51324	2	No_ref_available
1511	2.2	0.0	1.1	D5_04	231316	231496	179	+	Copia-46_GR-I	LTR/Copia	1	179	(4249)	51324	1
30203	1.4	0.5	0.0	D5_04	231491	234887	3415	+	Copia-46_GR-I	LTR/Copia	1014	4428	(0)	51324	1

###2510	21.6	5.3	11.0	D5_04	243729	245902	1855	C	Gypsy-57_GR-LTR	LTR/Gypsy	(0)	2494	640	51325	1	0.744

###590/3881	19.573	1.177	2.177	D5_04	507994	510084	1089	C	Gypsy-5_GR-LTR	LTR/Gypsy	(835)	1258	1	51326/51329	2	0.520
590	10.7	0.0	1.0	D5_04	507994	508097	103	C	Gypsy-5_GR-LTR	LTR/Gypsy	(835)	1258	1156	51326	1
3881	20.5	1.3	2.3	D5_04	509089	510084	986	C	Gypsy-5_GR-LTR	LTR/Gypsy	(1107)	986	1	51329	1

###268	21.7	2.7	4.6	D5_04	508234	508344	109	C	Gypsy-48_GR-LTR	LTR/Gypsy	(837)	1959	1851	51327	1	0.039

###3199	16.6	0.3	0.0	D5_04	508482	509059	580	C	Gypsy-55_GR-LTR	LTR/Gypsy	(1157)	1504	925	51328	1	0.218

###337	25.3	0.0	0.0	D5_04	510085	510151	67	C	Gypsy-8_GR-LTR	LTR/Gypsy	(2494)	67	1	51330	1	0.026

###319	16.1	11.9	9.9	D5_04	543677	543835	162	+	Copia-47_GR-LTR	LTR/Copia	248	409	(4)	51331	1	0.392

###20715	18.6	0.5	1.3	D5_04	547588	551710	4073	+	Copia-15_GR-I	LTR/Copia	1	4073	(42)	51332	1	0.839

###251/528	19.750	2.797	1.636	D5_04	566748	567742	182	+	Gypsy-48_GR-LTR	LTR/Gypsy	1851	2796	(0)	51333/51333	2	0.065
251	20.6	5.3	3.1	D5_04	566748	566842	97	+	Gypsy-48_GR-LTR	LTR/Gypsy	1851	1947	(849)	51333	1
528	18.8	0.0	0.0	D5_04	567658	567742	85	+	Gypsy-48_GR-LTR	LTR/Gypsy	2712	2796	(0)	51333	1

###2163/3677	22.137	4.968	5.278	D5_04	567743	569534	1785	+	Gypsy-4_GR-I	LTR/Gypsy	NA	NA	NA	51334/51334	2	0.189
2163	14.6	1.2	9.9	D5_04	567743	568259	476	+	Gypsy-4_GR-I	LTR/Gypsy	6329	6804	(2)	51334	1
3677	25.2	6.5	3.4	D5_04	568263	569534	1309	+	Gypsy-4_GR-LTR	LTR/Gypsy	1	1309	(7)	51334	1

###704/350/7236	18.288	4.078	3.768	D5_04	574892	577913	2319	C	Gypsy-48_GR-LTR	LTR/Gypsy	(0)	2796	1	51335/51335/51336	3	0.829
704	15.2	4.0	3.4	D5_04	574892	575068	178	C	Gypsy-48_GR-LTR	LTR/Gypsy	(0)	2796	2619	51335	1
350	27.3	2.8	5.0	D5_04	575114	575398	279	C	Gypsy-48_GR-LTR	LTR/Gypsy	(160)	2636	2358	51335	1
7236	17.1	4.3	3.6	D5_04	576047	577913	1880	C	Gypsy-48_GR-LTR	LTR/Gypsy	(916)	1880	1	51336	1

###3351/30746/3224	7.908	1.101	0.159	D5_04	587361	592290	4976	C	Copia-40_GR-LTR	LTR/Copia	NA	NA	NA	51337/51337/51337	3	1.000
