Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###229/9163/5607	4.112	1.615	0.060	D5_05	603665	605690	1900	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	67060/67061/67062	3	0.216
229	26.9	1.5	0.0	D5_05	603665	603731	68	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	68	(8739)	67060	1
9163	2.1	0.2	0.1	D5_05	603891	604963	1074	+	EnSpm-1_GR	DNA/EnSpmCACTA	6866	7939	(868)	67061	1
5607	5.1	4.0	0.0	D5_05	604962	605690	758	+	EnSpm-1_GR	DNA/EnSpmCACTA	8050	8807	(0)	67062	1

###225/559	8.432	0.841	0.000	D5_05	1734762	1743230	118	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8662	67213/67213	2	0.013
225	12.2	2.4	0.0	D5_05	1734762	1734802	42	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8766	67213	1
559	6.4	0.0	0.0	D5_05	1743155	1743230	76	C	EnSpm-1_GR	DNA/EnSpmCACTA	(70)	8737	8662	67213	1

###233/3073/3184/2676	9.557	2.654	3.658	D5_05	1740831	1743154	1880	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	8804	(3)	67219/67220/67221/67222	4	0.213
233	19.3	0.0	8.2	D5_05	1740831	1740909	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	1809	(6998)	67219	1
3073	10.8	3.7	5.3	D5_05	1741046	1742400	1028	+	EnSpm-1_GR	DNA/EnSpmCACTA	1891	2918	(5889)	67220	1
3184	4.6	0.3	0.0	D5_05	1742396	1742786	392	+	EnSpm-1_GR	DNA/EnSpmCACTA	5994	6385	(2422)	67221	1
2676	7.6	1.6	0.0	D5_05	1742774	1743154	387	+	EnSpm-1_GR	DNA/EnSpmCACTA	8418	8804	(3)	67222	1

###24070	4.0	1.1	0.5	D5_05	10528474	10531472	3018	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	5790	68529	1	0.343

###889/4018/2159	11.085	3.659	9.219	D5_05	13544166	13545904	1632	+	EnSpm-1_GR	DNA/EnSpmCACTA	2046	8807	(0)	69073/69074/69075	3	0.185
889	17.9	5.2	16.4	D5_05	13544166	13545113	822	+	EnSpm-1_GR	DNA/EnSpmCACTA	2046	2867	(5940)	69073	1
4018	1.3	0.6	0.2	D5_05	13545107	13545577	473	+	EnSpm-1_GR	DNA/EnSpmCACTA	7851	8323	(484)	69074	1
2159	5.5	3.6	1.5	D5_05	13545575	13545904	337	+	EnSpm-1_GR	DNA/EnSpmCACTA	8471	8807	(0)	69075	1

###1563/11964	13.039	4.793	4.087	D5_05	14227120	14230099	2941	+	EnSpm-1_GR	DNA/EnSpmCACTA	2066	8807	(0)	69238/69239	2	0.334
1563	13.6	8.3	10.4	D5_05	14227120	14228013	801	+	EnSpm-1_GR	DNA/EnSpmCACTA	2066	2866	(5941)	69238	1
11964	12.8	3.3	1.4	D5_05	14228000	14230099	2140	+	EnSpm-1_GR	DNA/EnSpmCACTA	6668	8807	(0)	69239	1

###4236	13.0	0.9	0.1	D5_05	14968660	14969337	683	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1860)	6947	6265	69442	1	0.078

###19393	3.2	0.7	0.9	D5_05	15488294	15490693	2395	+	EnSpm-1_GR	DNA/EnSpmCACTA	6413	8807	(0)	69540	1	0.272

###2353	11.9	10.9	6.4	D5_05	15624978	15625517	563	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8245	69555	1	0.064

###269	0.0	3.0	0.0	D5_05	15626437	15626469	34	+	EnSpm-1_GR	DNA/EnSpmCACTA	8774	8807	(0)	69556	1	0.004

###234/500/10626/8500	13.010	5.302	4.867	D5_05	16124335	16135269	3759	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	69653/69655/69656/69657	4	0.427
234	9.7	0.0	0.0	D5_05	16124335	16124365	31	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	32	(8775)	69653	1
500	14.3	6.8	6.8	D5_05	16131501	16131763	263	+	EnSpm-1_GR	DNA/EnSpmCACTA	2381	2643	(6164)	69655	1
10626	8.4	2.5	1.2	D5_05	16131757	16133342	1606	+	EnSpm-1_GR	DNA/EnSpmCACTA	5257	6862	(1945)	69656	1
8500	13.7	4.6	3.2	D5_05	16133340	16135269	1859	+	EnSpm-1_GR	DNA/EnSpmCACTA	6949	8807	(0)	69657	1

###40546	9.1	2.7	3.0	D5_05	19298122	19304966	6623	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2185	70278	1	0.752

###3795/3357/226/256	13.813	4.612	9.013	D5_05	19325634	19329625	1846	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	70283/70284/70285/70286	4	0.210
3795	12.9	5.2	11.9	D5_05	19325634	19326562	873	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7935	70283	1
3357	13.9	3.7	7.2	D5_05	19326549	19327562	902	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5650)	3157	2256	70284	1
226	22.4	4.5	0.0	D5_05	19329399	19329465	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8736)	71	2	70285	1
256	18.1	13.8	3.4	D5_05	19329546	19329625	88	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8719)	88	1	70286	1

###240/225	21.149	4.291	2.138	D5_05	19330610	19330806	74	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8732)	75	2	70287/70288	2	0.008
240	20.0	4.1	4.1	D5_05	19330610	19330682	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8732)	75	3	70287	1
225	22.4	4.5	0.0	D5_05	19330740	19330806	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8736)	71	2	70288	1

###241	22.0	13.9	2.3	D5_05	19330890	19330968	88	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8719)	88	1	70289	1	0.010

###644	14.8	10.2	1.9	D5_05	22373948	22374221	309	+	EnSpm-1_GR	DNA/EnSpmCACTA	2407	2715	(6092)	70821	1	0.035

###19412	5.8	2.5	1.0	D5_05	22374417	22377081	2706	+	EnSpm-1_GR	DNA/EnSpmCACTA	2297	5002	(3805)	70822	1	0.307

###11309/6553/2724	7.687	8.137	1.911	D5_05	22492085	22496341	4131	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1)	8806	1	70851/70852/70852	3	0.469
11309	4.5	2.6	0.5	D5_05	22492085	22493558	1504	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1)	8806	7303	70851	1
6553	8.9	13.4	2.3	D5_05	22493578	22495424	2048	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6178)	2629	582	70852	1
2724	12.0	5.4	4.3	D5_05	22495769	22496341	579	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8228)	579	1	70852	1

###423	13.2	2.9	0.0	D5_05	22496523	22496590	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	1	70853	1	0.008

###863/238	22.661	5.718	5.718	D5_05	22924021	22924589	422	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	70965/70966	2	0.048
863	23.4	6.3	6.3	D5_05	22924021	22924403	383	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8425	70965	1
238	15.4	0.0	0.0	D5_05	22924551	22924589	39	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8768)	39	1	70966	1

###260/39621	11.053	3.404	2.275	D5_05	22927819	22935115	6985	+	EnSpm-1_GR	DNA/EnSpmCACTA	1823	8807	(0)	70967/70969	2	0.793
260	21.2	6.4	7.3	D5_05	22927819	22928052	232	+	EnSpm-1_GR	DNA/EnSpmCACTA	1823	2054	(6753)	70967	1
39621	10.7	3.3	2.1	D5_05	22928398	22935115	6859	+	EnSpm-1_GR	DNA/EnSpmCACTA	1949	8807	(0)	70969	1

###277	16.8	17.6	0.8	D5_05	22928261	22928368	126	+	EnSpm-1_GR	DNA/EnSpmCACTA	1929	2054	(6753)	70968	1	0.014

###5445	15.1	5.0	2.9	D5_05	22935610	22936733	1256	C	EnSpm-1_GR	DNA/EnSpmCACTA	(313)	8494	7239	70965	1	0.143

###18567/23462	4.000	0.971	0.486	D5_05	23588034	23593220	5214	+	EnSpm-1_GR	DNA/EnSpmCACTA	3475	8807	(0)	71086/71087	2	0.592
18567	3.6	0.8	0.2	D5_05	23588034	23590259	2238	+	EnSpm-1_GR	DNA/EnSpmCACTA	3475	5712	(3095)	71086	1
23462	4.3	1.1	0.7	D5_05	23590258	23593220	2976	+	EnSpm-1_GR	DNA/EnSpmCACTA	5832	8807	(0)	71087	1

###986/2267/7267	13.942	3.117	2.623	D5_05	23675009	23682515	2324	+	EnSpm-1_GR	DNA/EnSpmCACTA	4649	8806	(1)	71090/71093/71094	3	0.264
986	14.8	1.2	0.0	D5_05	23675009	23675142	136	+	EnSpm-1_GR	DNA/EnSpmCACTA	4649	4784	(4023)	71090	1
2267	13.1	3.1	3.1	D5_05	23680311	23680756	446	+	EnSpm-1_GR	DNA/EnSpmCACTA	6619	7064	(1743)	71093	1
7267	15.4	4.6	3.4	D5_05	23680748	23682515	1854	+	EnSpm-1_GR	DNA/EnSpmCACTA	6953	8806	(1)	71094	1

###18859/3524	5.124	2.722	1.618	D5_05	23687255	23690437	3461	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2124	71096/71097	2	0.393
