Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###285	25.3	11.6	1.6	D5_04	1496069	1496301	256	+	EnSpm-1_GR	DNA/EnSpmCACTA	8552	8807	(0)	51452	1	0.029

###1505/2753	5.384	0.365	2.481	D5_04	1701667	1702352	782	+	EnSpm-1_GR	DNA/EnSpmCACTA	6484	8803	(4)	51496/51497	2	0.089
1505	4.8	0.0	0.0	D5_04	1701667	1701853	187	+	EnSpm-1_GR	DNA/EnSpmCACTA	6484	6670	(2137)	51496	1
2753	5.6	0.5	3.4	D5_04	1701848	1702352	595	+	EnSpm-1_GR	DNA/EnSpmCACTA	8209	8803	(4)	51497	1

###305	18.2	4.4	3.6	D5_04	1723667	1723803	138	+	EnSpm-1_GR	DNA/EnSpmCACTA	8557	8694	(113)	51502	1	0.016

###433	21.0	12.8	2.1	D5_04	1760017	1760235	242	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8566	51505	1	0.027

###29102/9385/265	9.941	2.119	2.815	D5_04	2866800	2876842	6221	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	51686/51686/51689	3	0.706
29102	9.9	2.2	1.5	D5_04	2866800	2871377	4528	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	4280	51686	1
9385	10.0	1.9	6.3	D5_04	2871348	2873109	1650	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4973)	3834	2185	51686	1
265	11.9	2.4	0.0	D5_04	2876801	2876842	43	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8763)	44	2	51689	1

###236/50844	5.034	1.429	1.017	D5_04	3669081	3678417	6769	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	51797/51799	2	0.769
236	25.0	3.9	2.5	D5_04	3669081	3669158	79	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	79	(8728)	51797	1
