Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###408/371/826/2798	32.805	5.126	3.343	D5_07	32555	38248	3698	+	Copia-92_VV-I	LTR/Copia	131	3933	(72)	100969/100969/100969/100969	4	No_ref_available
408	31.4	3.6	1.5	D5_07	32555	32748	198	+	Copia-92_VV-I	LTR/Copia	131	328	(3748)	100969	1
371	32.4	0.6	0.6	D5_07	32810	32992	183	+	Copia-92_VV-I	LTR/Copia	418	600	(3463)	100969	1
826	33.3	6.2	3.0	D5_07	32996	33835	931	+	Copia-92_VV-I	LTR/Copia	575	1505	(2556)	100969	1
2798	32.8	5.3	3.9	D5_07	35931	38248	2412	+	Copia-92_VV-I	LTR/Copia	1522	3933	(72)	100969	1

###919	13.0	0.0	1.4	D5_07	43963	44110	146	C	Gypsy-47_GR-I	LTR/Gypsy	(1417)	3379	3234	100970	1	0.017

###462/304/343	29.840	6.930	2.346	D5_07	50643	52123	581	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	889	100971/100971/100971	3	0.192
462	30.5	10.1	0.8	D5_07	50643	50860	238	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	2784	100971	1
304	28.8	6.0	3.7	D5_07	51070	51253	188	C	Gypsy-18_GR-LTR	LTR/Gypsy	(1085)	1936	1749	100971	1
343	30.3	1.9	3.2	D5_07	51967	52123	155	C	Gypsy-18_GR-LTR	LTR/Gypsy	(1978)	1043	889	100971	1

###288	19.8	5.8	0.0	D5_07	50866	50951	91	C	Gypsy-5_GR-I	LTR/Gypsy	(5535)	95	5	100972	1	0.009

###3122	14.5	4.4	0.2	D5_07	52129	52694	590	C	Gypsy-56_GR-LTR	LTR/Gypsy	(1223)	1484	895	100973	1	0.218

###581	19.1	8.0	3.0	D5_07	53322	53514	185	C	Gypsy-45_GR-I	LTR/Gypsy	(188)	5075	4891	100974	1	0.019

###2950/749/458	20.405	2.953	5.215	D5_07	53553	56636	1350	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	2796	(0)	100975/100975/100976	3	0.483
2950	20.9	3.0	5.4	D5_07	53553	54643	1066	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	1066	(1730)	100975	1
749	19.9	2.7	5.1	D5_07	55868	56089	217	+	Gypsy-48_GR-LTR	LTR/Gypsy	1630	1846	(950)	100975	1
458	7.7	3.1	0.0	D5_07	56572	56636	67	+	Gypsy-48_GR-LTR	LTR/Gypsy	2730	2796	(0)	100976	1

###408	22.9	2.5	3.8	D5_07	56663	56821	157	C	Gypsy-8_GR-LTR	LTR/Gypsy	(2404)	157	1	100977	1	0.061

###940	31.5	1.8	1.5	D5_07	57275	57765	491	+	Gypsy-15_GR-I	LTR/Gypsy	3416	3906	(2874)	100978	1	0.049

###10005	10.3	2.1	2.4	D5_07	57766	59388	1423	+	Gypsy-12_GR-LTR	LTR/Gypsy	1	1423	(0)	100979	1	1.000

###32046	6.8	0.4	0.0	D5_07	63247	67234	4005	C	Copia-42_GR-I	LTR/Copia	(0)	4005	1	100980	1	0.793

###4233/460	18.288	3.475	5.386	D5_07	67940	69367	1181	C	Gypsy-40_GR-LTR	LTR/Gypsy	(0)	1512	117	100981/100981	2	0.781
4233	18.4	3.5	4.4	D5_07	67940	68991	1043	C	Gypsy-40_GR-LTR	LTR/Gypsy	(0)	1512	470	100981	1
460	17.5	3.3	12.3	D5_07	69218	69367	138	C	Gypsy-40_GR-LTR	LTR/Gypsy	(1258)	254	117	100981	1

###4359/466	18.029	4.010	4.102	D5_07	72248	73657	1183	C	Gypsy-40_GR-LTR	LTR/Gypsy	(1)	1511	114	100982/100982	2	0.782
4359	18.5	3.0	3.9	D5_07	72248	73299	1042	C	Gypsy-40_GR-LTR	LTR/Gypsy	(1)	1511	470	100982	1
466	14.3	12.0	5.7	D5_07	73525	73657	141	C	Gypsy-40_GR-LTR	LTR/Gypsy	(1258)	254	114	100982	1

###532	29.0	6.2	10.4	D5_07	74544	74962	403	+	Gypsy-12_GR-LTR	LTR/Gypsy	990	1392	(31)	100983	1	0.283

###241/316/3642	23.157	1.593	2.154	D5_07	78629	80094	1424	C	Copia-55_GR-I	LTR/Copia	(4)	4110	254	100984/100985/100985	3	0.298
241	23.6	0.0	15.4	D5_07	78629	78733	91	C	Copia-55_GR-I	LTR/Copia	(4)	4110	4020	100984	1
316	28.7	1.3	0.9	D5_07	78751	78876	227	C	Copia-55_GR-I	LTR/Copia	(1514)	2547	2321	100985	1
