Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###251	10.6	0.0	0.0	D5_11	54324281	54324327	47	+	EnSpm-12_OS	DNA/EnSpmCACTA	5865	5911	(6692)	181919	1	0.004

###236/40427	10.664	1.922	2.986	D5_11	786103	796786	6477	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	165897/165898	2	0.735
236	3.2	6.5	0.0	D5_11	786103	786133	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	34	(8773)	165897	1
40427	10.7	1.9	3.0	D5_11	790276	796786	6444	+	EnSpm-1_GR	DNA/EnSpmCACTA	2364	8807	(0)	165898	1

###12573	13.3	3.3	2.1	D5_11	2504003	2506505	2433	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6375	166081	1	0.276

###6983/4570	6.374	5.060	3.132	D5_11	3395835	3401066	3045	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	3045	(5762)	166199/166201	2	0.346
6983	6.5	2.8	1.5	D5_11	3395835	3396873	1052	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	1052	(7755)	166199	1
4570	6.3	6.4	4.1	D5_11	3399314	3401066	2008	+	EnSpm-1_GR	DNA/EnSpmCACTA	1038	3045	(5762)	166201	1

###280/767/11857/10243	11.071	2.774	0.633	D5_11	3495430	3505886	3990	+	EnSpm-1_GR	DNA/EnSpmCACTA	1740	8807	(0)	166212/166213/166217/166218	4	0.453
280	13.1	1.4	2.9	D5_11	3495430	3495500	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	1740	1809	(6998)	166212	1
767	9.1	6.9	0.0	D5_11	3496330	3496504	187	+	EnSpm-1_GR	DNA/EnSpmCACTA	2649	2835	(5972)	166213	1
11857	8.4	1.1	0.0	D5_11	3502030	3503626	1615	+	EnSpm-1_GR	DNA/EnSpmCACTA	2585	4199	(4608)	166217	1
10243	18.0	2.7	1.7	D5_11	3503610	3505886	2369	+	EnSpm-1_GR	DNA/EnSpmCACTA	6439	8807	(0)	166218	1

###8034	18.0	4.4	1.9	D5_11	3513321	3515192	1972	+	EnSpm-1_GR	DNA/EnSpmCACTA	6836	8807	(0)	166220	1	0.224

###11531/241	7.735	5.058	0.673	D5_11	4432121	4433991	1764	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	166323/166324	2	0.200
