Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###29105/227	9.781	1.310	1.989	D5_01	1928088	1937393	6037	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	183/184	2	0.685
29105	9.8	1.3	2.0	D5_01	1928088	1934086	6004	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2804	183	1
227	6.2	3.1	0.0	D5_01	1937362	1937393	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8773)	34	2	184	1

###12893	12.8	2.5	3.0	D5_01	3705927	3708447	2461	+	EnSpm-1_GR	DNA/EnSpmCACTA	6347	8807	(0)	500	1	0.279

###645	17.6	0.8	0.0	D5_01	3708493	3708617	126	+	EnSpm-1_GR	DNA/EnSpmCACTA	8682	8807	(0)	501	1	0.014

###5499/6020	16.035	1.671	1.528	D5_01	3886885	3890159	2201	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	5233	524/526	2	0.250
5499	15.3	2.7	2.9	D5_01	3886885	3887972	1151	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	7404	524	1
6020	16.8	0.6	0.1	D5_01	3889115	3890159	1050	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2525)	6282	5233	526	1

###229	15.0	0.0	0.0	D5_01	5076398	5076437	40	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	40	(8767)	763	1	0.005

###13179/973/291	7.612	1.921	4.120	D5_01	5076743	5079618	2361	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1156)	7651	1737	764/765/765	3	0.268
13179	3.3	0.2	0.7	D5_01	5076743	5078354	1604	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1156)	7651	6048	764	1
973	17.3	5.8	12.0	D5_01	5078349	5079048	684	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5972)	2835	2152	765	1
291	9.9	2.7	4.1	D5_01	5079545	5079618	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6998)	1809	1737	765	1

###399	30.7	1.2	1.8	D5_01	5359235	5359403	168	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5652)	3155	2988	836	1	0.019

###266/6775/1837/10435	10.100	3.812	5.795	D5_01	5777775	5784319	3609	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	917/918/919/920	4	0.410
266	17.0	2.1	0.0	D5_01	5777775	5777821	48	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	48	(8759)	917	1
6775	12.4	4.8	7.6	D5_01	5780817	5782538	1677	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	3413	(5394)	918	1
1837	5.3	0.0	0.0	D5_01	5782521	5782745	225	+	EnSpm-1_GR	DNA/EnSpmCACTA	5999	6223	(2584)	919	1
10435	3.5	1.6	1.8	D5_01	5782741	5784319	1659	+	EnSpm-1_GR	DNA/EnSpmCACTA	7149	8807	(0)	920	1

###251/48995	5.591	2.199	1.788	D5_01	5986493	5996545	7119	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	949/950	2	0.808
251	19.1	2.1	0.0	D5_01	5986493	5986539	48	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	48	(8759)	949	1
48995	5.5	2.2	1.8	D5_01	5989596	5996545	7071	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	8807	(0)	950	1

###243	15.9	4.5	0.0	D5_01	6409329	6409372	46	+	EnSpm-1_GR	DNA/EnSpmCACTA	8762	8807	(0)	1027	1	0.005

###49901	6.0	1.4	1.2	D5_01	7745271	7752120	6745	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2063	1402	1	0.766

###228	8.1	13.7	3.6	D5_01	7755631	7755681	56	+	EnSpm-1_GR	DNA/EnSpmCACTA	8752	8807	(0)	1403	1	0.006

###51312	4.1	2.1	1.4	D5_01	8079801	8088182	8724	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	84	1509	1	0.991

###383/3635/14227/12502	14.433	2.277	1.166	D5_01	8356018	8365429	5579	+	EnSpm-1_GR	DNA/EnSpmCACTA	2713	8701	(106)	1617/1618/1619/1623	4	0.633
383	4.7	3.9	6.0	D5_01	8356018	8356149	154	+	EnSpm-1_GR	DNA/EnSpmCACTA	2713	2866	(5941)	1617	1
3635	16.0	5.3	0.0	D5_01	8356330	8356985	691	+	EnSpm-1_GR	DNA/EnSpmCACTA	2901	3591	(5216)	1618	1
14227	14.6	0.9	1.1	D5_01	8356984	8359320	2332	+	EnSpm-1_GR	DNA/EnSpmCACTA	3637	5968	(2839)	1619	1
12502	14.4	2.5	1.3	D5_01	8363107	8365429	2402	+	EnSpm-1_GR	DNA/EnSpmCACTA	6300	8701	(106)	1623	1

###42617/235	9.188	1.919	1.306	D5_01	8459429	8468134	6521	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	1638/1639	2	0.740
42617	9.2	1.9	1.3	D5_01	8459429	8465969	6478	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2330	1638	1
235	7.3	4.8	2.3	D5_01	8468093	8468134	43	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8763)	44	2	1639	1

###12024/33723	5.190	1.247	2.650	D5_01	8775143	8781654	6524	+	EnSpm-1_GR	DNA/EnSpmCACTA	1865	8807	(0)	1717/1718	2	0.741
12024	9.4	2.3	6.4	D5_01	8775143	8777371	2187	+	EnSpm-1_GR	DNA/EnSpmCACTA	1865	4051	(4756)	1717	1
33723	3.0	0.7	0.7	D5_01	8777370	8781654	4337	+	EnSpm-1_GR	DNA/EnSpmCACTA	4471	8807	(0)	1718	1

###627/7722	13.062	0.317	0.637	D5_01	8901988	8903383	1335	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6847	1729/1730	2	0.152
627	15.7	2.5	0.0	D5_01	8901988	8902108	124	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8684	1729	1
7722	12.8	0.1	0.7	D5_01	8902166	8903383	1211	C	EnSpm-1_GR	DNA/EnSpmCACTA	(750)	8057	6847	1730	1

###49397	6.0	1.3	1.9	D5_01	9048370	9055179	6702	+	EnSpm-1_GR	DNA/EnSpmCACTA	2106	8807	(0)	1768	1	0.761

###265/3471	12.477	5.859	4.804	D5_01	9148388	9152364	982	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	1792/1793	2	0.112
265	11.9	2.4	0.0	D5_01	9148388	9148429	43	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	44	(8763)	1792	1
3471	12.5	6.0	5.0	D5_01	9151334	9152364	939	+	EnSpm-1_GR	DNA/EnSpmCACTA	7869	8807	(0)	1793	1

###20965/13152/251	6.052	1.751	1.595	D5_01	9443128	9449097	5039	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	1858/1859/1860	3	0.572
20965	4.5	1.2	1.3	D5_01	9443128	9445834	2703	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6105	1858	1
13152	7.4	2.0	1.8	D5_01	9445832	9447824	2215	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4499)	4308	2094	1859	1
251	19.2	10.4	5.0	D5_01	9448983	9449097	121	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8685)	122	2	1860	1

###232	9.1	0.0	0.0	D5_01	9450328	9450360	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8773)	34	2	1861	1	0.004

###241	6.9	0.0	0.0	D5_01	9452118	9452146	29	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	31	(8776)	1862	1	0.003

###4369	11.1	7.9	4.6	D5_01	10477517	10478623	700	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8108	2121	1	0.079

###267	22.1	2.9	1.4	D5_01	10599366	10599434	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	70	(8737)	2155	1	0.008

###228	6.9	0.0	0.0	D5_01	10842581	10842609	29	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8803	(4)	2201	1	0.003

###313	22.4	12.4	2.7	D5_01	11125925	11126158	256	+	EnSpm-1_GR	DNA/EnSpmCACTA	8552	8807	(0)	2285	1	0.029

###13601/17338	7.193	3.043	2.400	D5_01	11218739	11223514	4627	+	EnSpm-1_GR	DNA/EnSpmCACTA	1902	8807	(0)	2301/2302	2	0.525
13601	9.9	4.8	2.4	D5_01	11218739	11221248	2384	+	EnSpm-1_GR	DNA/EnSpmCACTA	1902	4285	(4522)	2301	1
17338	4.2	1.1	2.4	D5_01	11221245	11223514	2243	+	EnSpm-1_GR	DNA/EnSpmCACTA	6565	8807	(0)	2302	1

###251/245/7885/14753	4.826	1.108	0.381	D5_01	11896445	11905368	2835	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	2509/2510/2512/2514	4	0.322
251	23.5	2.9	0.0	D5_01	11896445	11896512	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	71	(8736)	2509	1
245	25.0	1.4	1.4	D5_01	11896567	11896639	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	75	(8732)	2510	1
7885	1.5	1.0	0.4	D5_01	11899899	11900838	945	+	EnSpm-1_GR	DNA/EnSpmCACTA	6047	6991	(1816)	2512	1
14753	3.4	0.9	0.2	D5_01	11903562	11905368	1821	+	EnSpm-1_GR	DNA/EnSpmCACTA	6987	8807	(0)	2514	1

###232	18.5	15.3	2.5	D5_01	11897637	11897708	81	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	81	(8726)	2511	1	0.009

###42291/241	9.312	2.161	2.116	D5_01	11956293	11966673	6486	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	2524/2526	2	0.736
42291	9.2	2.0	2.1	D5_01	11956293	11962699	6398	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2410	2524	1
241	18.4	15.2	3.4	D5_01	11966595	11966673	88	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8719)	88	1	2526	1

###483/234	16.336	4.674	3.752	D5_01	11963014	11967845	216	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6122)	2685	2	2525/2527	2	0.025
483	13.0	5.5	5.5	D5_01	11963014	11963159	146	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6122)	2685	2540	2525	1
234	23.5	2.9	0.0	D5_01	11967778	11967845	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8736)	71	2	2527	1

###291/13070	5.179	0.966	1.788	D5_01	12479600	12482167	2118	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	8807	(0)	2691/2692	2	0.240
291	9.9	2.7	4.1	D5_01	12479600	12479673	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	1809	(6998)	2691	1
13070	5.0	0.9	1.7	D5_01	12480214	12482167	2045	+	EnSpm-1_GR	DNA/EnSpmCACTA	6763	8807	(0)	2692	1

###298/1340/9514/10797	8.258	3.313	1.213	D5_01	12503737	12510235	2715	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	6632	(2175)	2705/2708/2709/2710	4	0.308
298	20.6	1.6	0.0	D5_01	12503737	12503799	64	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	66	(8741)	2705	1
1340	8.6	5.9	2.4	D5_01	12507615	12507848	242	+	EnSpm-1_GR	DNA/EnSpmCACTA	2776	3017	(5790)	2708	1
9514	4.1	0.6	0.0	D5_01	12507843	12508983	1148	+	EnSpm-1_GR	DNA/EnSpmCACTA	3096	4243	(4564)	2709	1
10797	2.6	0.3	0.1	D5_01	12508978	12510235	1261	+	EnSpm-1_GR	DNA/EnSpmCACTA	5372	6632	(2175)	2710	1

###14611	3.6	1.2	1.7	D5_01	12526739	12528835	2179	+	EnSpm-1_GR	DNA/EnSpmCACTA	6629	8807	(0)	2712	1	0.247

###31489/256	13.330	2.787	0.891	D5_01	12572780	12580671	6814	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	2729/2730	2	0.774
31489	13.2	2.8	0.9	D5_01	12572780	12579142	6748	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2060	2729	1
256	26.1	1.5	0.0	D5_01	12580607	12580671	66	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	2	2730	1

###6087	12.1	2.4	5.5	D5_01	13157221	13158602	1294	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7514	2944	1	0.147

###10092/14919	15.692	2.762	1.267	D5_01	13582808	13590800	5645	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	2901	3089/3089	2	0.641
10092	16.4	4.4	1.4	D5_01	13582808	13585871	3220	C	EnSpm-1_GR	DNA/EnSpmCACTA	(253)	8554	5335	3089	1
14919	14.8	0.7	1.1	D5_01	13588368	13590800	2425	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3482)	5325	2901	3089	1

###52287	3.4	1.5	0.7	D5_01	14578242	14584666	6480	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2328	3373	1	0.736

###19960/1858/237	7.812	3.299	1.994	D5_01	14908296	14913658	3465	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	3476/3477/3478	3	0.393
19960	3.5	0.9	0.9	D5_01	14908296	14910768	2472	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6336	3476	1
1858	18.7	10.2	5.0	D5_01	14910764	14911642	923	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6060)	2747	1825	3477	1
237	23.2	1.4	2.9	D5_01	14913588	14913658	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	1	3478	1

###51822	5.3	1.0	2.7	D5_01	16016079	16023272	6736	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2072	3815	1	0.765
