Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###262/231	10.345	0.000	0.000	Chr10	552768	576781	77	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6700)	5903	5827	159811/159820	2	0.006
262	6.7	0.0	0.0	Chr10	552768	552812	45	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6700)	5903	5859	159811	1
231	13.5	0.0	0.0	Chr10	576730	576781	52	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6725)	5878	5827	159820	1

###266	18.3	3.2	0.0	Chr10	872598	872690	96	+	EnSpm-12_OS	DNA/EnSpmCACTA	5787	5882	(6721)	159865	1	0.008

###285	8.9	3.6	0.0	Chr10	949567	949622	58	+	EnSpm-12_OS	DNA/EnSpmCACTA	5854	5911	(6692)	159874	1	0.005

###311	4.9	0.0	0.0	Chr10	8526727	8526787	61	+	EnSpm-12_OS	DNA/EnSpmCACTA	5822	5882	(6721)	161645	1	0.005

###318	4.2	6.9	0.0	Chr10	8526735	8526806	77	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6716)	5887	5811	161645	1	0.006

###231	16.7	0.0	1.9	Chr10	767615	767669	54	+	EnSpm-16_SBi	DNA/EnSpmCACTA	2987	3040	(12843)	159842	1	0.003

###250	14.3	0.0	1.6	Chr10	924103	924166	63	+	EnSpm-16_SBi	DNA/EnSpmCACTA	3000	3062	(12821)	159866	1	0.004

###21992/12420/816/277	3.854	0.681	1.239	Chr10	641574	649369	4755	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	3	159828/159829/159830/159832	4	0.540
21992	2.8	0.2	1.2	Chr10	641574	644451	2850	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	5958	159828	1
12420	3.6	0.2	0.1	Chr10	645090	646544	1457	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3488)	5319	3863	159829	1
