Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###245	18.3	8.0	5.2	D10_05	36541	36615	77	+	Copia-26_GM-I	LTR/Copia	4096	4172	(91)	71554	1	No_ref_available

###829/476	24.737	14.367	2.603	D10_05	43559	44147	637	C	Copia-56_GR-I	LTR/Copia	(0)	5318	3860	71555/71555	2	No_ref_available
829	25.2	12.8	3.6	D10_05	43559	43925	401	C	Copia-56_GR-I	LTR/Copia	(0)	5318	4918	71555	1
476	23.9	17.2	0.8	D10_05	43945	44147	236	C	Copia-56_GR-I	LTR/Copia	(1223)	4095	3860	71555	1

###470	28.7	1.3	8.3	D10_05	44242	44473	217	+	Gypsy-34_GR-I	LTR/Gypsy	802	1018	(6973)	71556	1	0.024

###5447	14.6	1.6	1.8	D10_05	44474	45859	1091	C	Copia-53_GR-LTR	LTR/Copia	(1299)	1091	1	71557	1	0.575

###2380	22.4	5.7	1.7	D10_05	45860	46473	638	C	Copia-53_GR-LTR	LTR/Copia	(0)	1899	1262	71558	1	0.336

###256	25.0	5.6	10.0	D10_05	48616	48864	239	+	Gypsy-47_GR-LTR	LTR/Gypsy	1422	1660	(268)	71559	1	0.124

###1611/1393/5158	27.871	2.399	1.059	D10_05	50167	53999	2402	C	Copia-41_GR-I	LTR/Copia	(54)	4060	1256	71557/71557/71557	3	0.481
1611	29.1	5.6	0.2	D10_05	50167	50668	529	C	Copia-41_GR-I	LTR/Copia	(54)	4060	3532	71557	1
1393	25.6	1.0	1.2	D10_05	50659	51019	310	C	Copia-41_GR-I	LTR/Copia	(829)	3232	2923	71557	1
5158	28.0	1.7	1.3	D10_05	52443	53999	1563	C	Copia-41_GR-I	LTR/Copia	(1171)	2818	1256	71557	1

###2651/5480	15.697	3.511	0.704	D10_05	51020	52441	1462	+	Gypsy-34_GR-LTR	LTR/Gypsy	NA	NA	NA	71560/71560	2	0.165
2651	14.5	5.2	0.0	D10_05	51020	51440	443	+	Gypsy-34_GR-LTR	LTR/Gypsy	1	443	(0)	71560	1
5480	16.2	2.8	1.0	D10_05	51441	52441	1019	+	Gypsy-34_GR-I	LTR/Gypsy	1	1019	(6972)	71560	1

###5704	16.5	4.1	2.8	D10_05	54002	55152	1165	C	Gypsy-47_GR-LTR	LTR/Gypsy	(428)	1500	336	71561	1	0.604

###5282/283	20.435	6.855	3.820	D10_05	55153	57209	2070	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	2190	(606)	71562/71562	2	0.740
5282	20.0	7.2	4.0	D10_05	55153	57025	1930	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	1930	(866)	71562	1
283	26.3	2.2	1.4	D10_05	57071	57209	140	+	Gypsy-48_GR-LTR	LTR/Gypsy	2051	2190	(606)	71562	1

###1807	15.9	0.3	0.6	D10_05	57647	57969	322	C	Gypsy-47_GR-LTR	LTR/Gypsy	(1606)	322	1	71561	1	0.167

###3163	27.7	0.4	2.5	D10_05	57971	58900	911	C	Copia-41_GR-I	LTR/Copia	(3183)	931	21	71557	1	0.183

###3276	14.3	0.0	2.3	D10_05	59972	60556	572	+	Gypsy-55_GR-LTR	LTR/Gypsy	925	1496	(1165)	71563	1	0.215

###297	5.5	0.0	5.5	D10_05	60880	60937	55	+	Gypsy-29_GR-LTR	LTR/Gypsy	1172	1226	(1163)	71564	1	0.019

###1223/1255	17.015	3.200	12.018	D10_05	61217	62004	542	+	Gypsy-29_GR-LTR	LTR/Gypsy	1118	1659	(730)	71564/71565	2	0.184
1223	17.7	3.2	15.2	D10_05	61217	61628	462	+	Gypsy-29_GR-LTR	LTR/Gypsy	1118	1579	(810)	71564	1
1255	16.3	3.2	8.7	D10_05	61610	62004	525	+	Gypsy-29_GR-LTR	LTR/Gypsy	1135	1659	(730)	71565	1

###784/580	17.698	4.678	3.196	D10_05	62616	62939	327	+	Gypsy-18_GR-LTR	LTR/Gypsy	1768	3021	(0)	71566/71566	2	0.108
784	20.1	1.5	4.6	D10_05	62616	62818	197	+	Gypsy-18_GR-LTR	LTR/Gypsy	1768	1964	(1057)	71566	1
580	13.6	10.1	0.8	D10_05	62821	62939	130	+	Gypsy-18_GR-LTR	LTR/Gypsy	2892	3021	(0)	71566	1

###353	27.3	5.0	3.1	D10_05	69562	69720	162	C	Gypsy-36_ATr-I	LTR/Gypsy	(252)	4300	4139	71567	1	No_ref_available

###1411	28.1	7.8	2.4	D10_05	70164	70807	678	+	Gypsy-34_GR-I	LTR/Gypsy	344	1021	(6970)	71568	1	0.076

###543	20.8	2.9	4.9	D10_05	71646	71852	203	C	Copia-15_GR-LTR	LTR/Copia	(7)	364	162	71569	1	0.547

###399/297/245	28.913	5.691	5.110	D10_05	84796	86251	596	+	Gypsy-29_GR-I	LTR/Gypsy	NA	NA	NA	71570/71571/71571	3	0.055
399	24.1	0.0	0.0	D10_05	84796	84874	79	+	Gypsy-29_GR-I	LTR/Gypsy	4796	4874	(23)	71570	1
297	28.6	6.5	6.3	D10_05	85172	85614	348	+	Gypsy-29_GR-LTR	LTR/Gypsy	386	733	(2205)	71571	1
245	30.8	5.2	3.6	D10_05	86060	86251	195	+	Gypsy-29_GR-LTR	LTR/Gypsy	708	902	(2036)	71571	1

###2018/518/573	22.966	12.962	2.242	D10_05	87045	90424	1254	+	Copia-56_GR-I	LTR/Copia	3108	5291	(27)	71572/71572/71575	3	No_ref_available
2018	24.1	12.9	1.7	D10_05	87045	87840	884	+	Copia-56_GR-I	LTR/Copia	3108	3991	(1327)	71572	1
518	23.4	20.8	0.4	D10_05	87904	88105	243	+	Copia-56_GR-I	LTR/Copia	4922	5164	(154)	71572	1
573	15.5	1.4	8.3	D10_05	90284	90424	132	+	Copia-56_GR-I	LTR/Copia	5160	5291	(27)	71575	1

###286/1704/753	24.099	4.200	5.081	D10_05	88106	90100	1387	+	Gypsy-29_GR-I	LTR/Gypsy	NA	NA	NA	71570/71573/71573	3	0.129
286	23.4	3.1	2.1	D10_05	88106	88201	97	+	Gypsy-29_GR-I	LTR/Gypsy	4812	4908	(355)	71570	1
1704	25.0	4.3	5.6	D10_05	88220	89377	1057	+	Gypsy-29_GR-LTR	LTR/Gypsy	1	1057	(1881)	71573	1
753	19.1	4.0	3.1	D10_05	89902	90100	233	+	Gypsy-29_GR-LTR	LTR/Gypsy	1738	1970	(419)	71573	1

###653	14.0	0.6	2.0	D10_05	90159	90283	100	+	Gypsy-18_GR-LTR	LTR/Gypsy	2922	3021	(0)	71574	1	0.033

###1160/1020/5751	22.225	3.509	4.921	D10_05	90436	93840	1899	C	Copia-54_GR-LTR	LTR/Copia	(0)	1899	1	71576/71576/71576	3	0.795
1160	26.1	2.8	1.8	D10_05	90436	90822	391	C	Copia-54_GR-LTR	LTR/Copia	(0)	1899	1509	71576	1
1020	24.0	5.3	11.1	D10_05	92143	92616	449	C	Copia-54_GR-LTR	LTR/Copia	(381)	1518	1070	71576	1
5751	17.3	2.3	1.3	D10_05	92637	93840	1091	C	Copia-54_GR-LTR	LTR/Copia	(1299)	1091	1	71576	1

###442	12.6	0.0	0.0	D10_05	90826	90893	111	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	2367	2257	71577	1	0.037

###1001	20.4	16.4	0.6	D10_05	90891	91176	261	C	Gypsy-18_GR-LTR	LTR/Gypsy	(247)	2774	2514	71577	1	0.086

###1953	23.3	2.9	2.4	D10_05	91172	92137	968	C	Gypsy-43_GR-LTR	LTR/Gypsy	(2053)	968	1	71578	1	0.418

###253	22.8	7.1	5.9	D10_05	101445	101528	85	+	Gypsy-17_GR-LTR	LTR/Gypsy	623	707	(1124)	71579	1	0.046

###3475	21.4	5.0	6.8	D10_05	101559	102787	1209	+	Gypsy-17_GR-LTR	LTR/Gypsy	623	1831	(0)	71580	1	0.660

###636	24.8	1.8	2.8	D10_05	102788	103006	217	C	Copia-53_GR-I	LTR/Copia	(5470)	218	2	71576	1	0.023

###9666	15.3	4.2	2.2	D10_05	103008	105233	2390	C	Copia-54_GR-LTR	LTR/Copia	(0)	2390	1	71576	1	1.000

###3426	13.6	7.5	0.3	D10_05	105402	105992	633	C	Gypsy-42_GR-LTR	LTR/Gypsy	(2)	633	1	71581	1	0.997

###14223	16.2	0.5	0.7	D10_05	105993	108297	2301	C	Gypsy-16_GR-I	LTR/Gypsy	(0)	2328	28	71581	1	0.640

###3616	13.1	4.9	0.5	D10_05	108298	108905	635	C	Gypsy-42_GR-LTR	LTR/Gypsy	(0)	635	1	71581	1	1.000

###293/266	29.286	5.700	6.270	D10_05	109375	110461	571	C	Gypsy-29_GR-LTR	LTR/Gypsy	NA	NA	NA	71582/71583	2	0.053
293	28.0	6.8	7.5	D10_05	109375	109841	464	C	Gypsy-29_GR-LTR	LTR/Gypsy	(2003)	935	472	71582	1
266	34.9	0.9	0.9	D10_05	110355	110461	107	C	Gypsy-29_GR-I	LTR/Gypsy	(1)	4896	4790	71583	1

###1233	25.7	6.4	8.3	D10_05	112850	113577	574	C	Gypsy-43_GR-LTR	LTR/Gypsy	(622)	2316	1743	71584	1	0.248

###665	15.0	0.0	0.0	D10_05	113806	113905	100	+	Copia-53_GR-LTR	LTR/Copia	402	501	(1398)	71585	1	0.053

###507/2161	22.235	1.432	5.683	D10_05	120637	121655	689	+	Gypsy-29_GR-I	LTR/Gypsy	NA	NA	NA	71586/71586	2	0.064
507	24.1	2.7	2.4	D10_05	120637	120847	103	+	Gypsy-29_GR-I	LTR/Gypsy	4793	4895	(2)	71586	1
2161	21.6	1.0	6.8	D10_05	121036	121655	586	+	Gypsy-29_GR-LTR	LTR/Gypsy	313	898	(2040)	71586	1

###507/243/2309	22.464	1.245	4.953	D10_05	127754	128856	859	+	Gypsy-29_GR-I	LTR/Gypsy	NA	NA	NA	71587/71587/71587	3	0.080
