Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1444	25.7	14.7	1.1	D5_11	45665	46215	626	C	Copia-1_NN-I	LTR/Copia	(1)	4066	3441	165762	1	No_ref_available

###259	27.8	0.0	1.1	D5_11	63887	63977	90	+	102CL0250	LTR/Copia	4	93	(2)	165763	1	No_ref_available

###490	10.4	10.3	1.1	D5_11	79867	79953	95	+	2060CL0089	LTR/Copia	1	95	(0)	165764	1	No_ref_available

###274/351/2494	28.678	6.853	0.520	D5_11	80117	81641	1548	C	Copia-47_GR-I	LTR/Copia	(0)	4250	1	165765/165765/165765	3	0.305
274	29.3	6.7	3.2	D5_11	80117	80236	124	C	Copia-47_GR-I	LTR/Copia	(0)	4250	4127	165765	1
351	32.1	6.6	0.0	D5_11	80251	80387	146	C	Copia-47_GR-I	LTR/Copia	(2702)	1548	1403	165765	1
2494	28.2	6.9	0.3	D5_11	80443	81641	1278	C	Copia-47_GR-I	LTR/Copia	(2972)	1278	1	165765	1

###415	12.9	2.0	7.4	D5_11	81794	81893	95	+	2060CL0089	LTR/Copia	1	95	(0)	165766	1	No_ref_available

###356	16.9	0.0	0.0	D5_11	85974	86038	65	C	287CL0229	LTR/Copia	(30)	65	1	165767	1	No_ref_available

###803	0.0	0.0	0.0	D5_11	86463	86557	95	+	287CL0229	LTR/Copia	1	95	(0)	165768	1	No_ref_available

###5734	16.3	7.1	2.8	D5_11	89919	91171	1305	C	Gypsy-4_GR-LTR	LTR/Gypsy	(11)	1305	1	165769	1	0.992

###1860/256	24.850	3.219	4.172	D5_11	91595	94048	1026	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	2796	(0)	165770/165775	2	0.367
1860	25.1	3.4	4.3	D5_11	91595	92574	972	+	Gypsy-48_GR-LTR	LTR/Gypsy	1	972	(1824)	165770	1
256	20.4	0.0	1.9	D5_11	93994	94048	54	+	Gypsy-48_GR-LTR	LTR/Gypsy	2743	2796	(0)	165775	1

###805	1.1	0.0	0.0	D5_11	92575	92669	95	+	8710CL0006	LTR/Gypsy	1	95	(0)	165771	1	No_ref_available

###753/753/384	22.458	15.096	3.503	D5_11	92928	93705	761	+	Gypsy-18_GR-LTR	LTR/Gypsy	1129	1901	(1120)	165772/165772/165772	3	0.252
753	19.7	21.0	2.1	D5_11	92928	93083	251	+	Gypsy-18_GR-LTR	LTR/Gypsy	1129	1379	(1642)	165772	1
753	19.7	21.0	2.1	D5_11	93179	93280	167	+	Gypsy-18_GR-LTR	LTR/Gypsy	1380	1546	(1475)	165772	1
