Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###241/269	15.614	1.341	0.000	Chr02	61557508	61570729	88	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6695)	5908	5821	36694/36694	2	0.007
241	16.1	1.6	0.0	Chr02	61557508	61557569	63	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6695)	5908	5846	36694	1
269	13.1	0.0	0.0	Chr02	61570718	61570729	53	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6703)	5873	5821	36694	1

###259	3.9	2.0	0.0	Chr02	61420996	61421046	52	+	EnSpm-12_OS	DNA/EnSpmCACTA	5823	5874	(6729)	36677	1	0.004

###232	26.2	0.0	0.0	Chr02	61508634	61508694	61	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6706)	5897	5837	36692	1	0.005

###270	10.3	0.0	0.0	Chr02	61570660	61570717	58	+	EnSpm-12_OS	DNA/EnSpmCACTA	5841	5898	(6705)	36695	1	0.005

###244	6.5	0.0	0.0	Chr02	61762801	61762846	46	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6732)	5871	5826	36706	1	0.004

###8717/2566/10889	11.119	1.653	2.915	Chr02	1905231	1911136	3865	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2944	17096/17096/17097	3	0.439
8717	12.7	3.5	6.1	Chr02	1905231	1906887	1616	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7192	17096	1
2566	15.3	0.6	1.2	Chr02	1906988	1907820	875	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1635)	7172	6298	17096	1
10889	6.5	0.0	0.0	Chr02	1909763	1911136	1374	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4490)	4317	2944	17097	1

###12677	13.1	2.6	3.0	Chr02	3640764	3643281	2461	+	EnSpm-1_GR	DNA/EnSpmCACTA	6347	8807	(0)	17393	1	0.279

