Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###601/723/1001	28.951	0.926	0.397	Chr04	58709962	58711948	701	C	EnSpm-5_VV	DNA/CMC-EnSpm	(16861)	4149	3025	70391/70391/70391	3	0.033
601	25.3	0.0	0.0	Chr04	58709962	58710107	146	C	EnSpm-5_VV	DNA/CMC-EnSpm	(16861)	4149	4004	70391	1
723	31.4	1.3	0.7	Chr04	58710995	58711295	303	C	EnSpm-5_VV	DNA/CMC-EnSpm	(17312)	3698	3396	70391	1
1001	26.5	1.2	0.0	Chr04	58711700	58711948	252	C	EnSpm-5_VV	DNA/CMC-EnSpm	(17734)	3276	3025	70391	1

###635/900/864	25.531	0.911	1.635	Chr04	58723989	58725514	661	C	EnSpm-5_VV	DNA/CMC-EnSpm	(16863)	4147	3025	70395/70395/70395	3	0.031
635	21.0	0.7	0.7	Chr04	58723989	58724132	144	C	EnSpm-5_VV	DNA/CMC-EnSpm	(16863)	4147	4004	70395	1
900	28.1	1.4	1.1	Chr04	58724198	58724478	282	C	EnSpm-5_VV	DNA/CMC-EnSpm	(17295)	3715	3434	70395	1
864	25.2	0.4	3.0	Chr04	58725274	58725514	235	C	EnSpm-5_VV	DNA/CMC-EnSpm	(17751)	3259	3025	70395	1

###231	3.2	6.5	0.0	Chr04	3050978	3051008	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8807	(0)	51886	1	0.004

###299	23.7	1.3	1.3	Chr04	3052497	3052573	77	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	77	(8730)	51887	1	0.009

###291/21078/17260	9.433	1.833	3.567	Chr04	3343016	3350848	6398	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	8807	(0)	51917/51918/51919	3	0.726
291	9.9	2.7	4.1	Chr04	3343016	3343089	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	1737	1809	(6998)	51917	1
21078	7.6	1.3	4.3	Chr04	3343825	3347255	3237	+	EnSpm-1_GR	DNA/EnSpmCACTA	2069	5305	(3502)	51918	1
17260	11.8	2.5	2.6	Chr04	3347653	3350848	3088	+	EnSpm-1_GR	DNA/EnSpmCACTA	5720	8807	(0)	51919	1

