Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###405	17.7	0.0	0.0	Chr08	4656	4717	62	+	Gypsy-42_GR-LTR	LTR/Gypsy	572	633	(2)	122604	1	0.098

###315/786	15.523	4.195	9.251	Chr08	5818	6134	267	C	Gypsy-10_GR-LTR	LTR/Gypsy	(45)	2454	2188	122605/122605	2	0.107
315	16.7	0.0	11.9	Chr08	5818	5892	67	C	Gypsy-10_GR-LTR	LTR/Gypsy	(45)	2454	2388	122605	1
786	15.1	5.7	8.3	Chr08	5926	6134	204	C	Gypsy-10_GR-LTR	LTR/Gypsy	(108)	2391	2188	122605	1

###7495	10.7	0.6	0.0	Chr08	6350	7403	1060	C	Gypsy-14_GR-I	LTR/Gypsy	(3481)	1060	1	122606	1	0.184

###688	26.9	8.5	3.8	Chr08	7404	7731	343	C	Gypsy-42_GR-LTR	LTR/Gypsy	(0)	635	293	122606	1	0.540

###872/673	24.371	0.630	0.000	Chr08	7982	8341	334	+	Gypsy-34_GR-I	LTR/Gypsy	4495	5761	(2230)	122607/122607	2	0.038
872	24.2	1.1	0.0	Chr08	7982	8171	192	+	Gypsy-34_GR-I	LTR/Gypsy	4495	4686	(3305)	122607	1
673	24.6	0.0	0.0	Chr08	8200	8341	142	+	Gypsy-34_GR-I	LTR/Gypsy	5620	5761	(2230)	122607	1

###4119	1.5	0.0	0.0	Chr08	11653	12116	464	C	Gypsy-39_GR-LTR	LTR/Gypsy	(0)	627	164	122608	1	0.740

###2220/15735/2680	3.264	0.000	0.000	Chr08	15267	17738	2472	C	Gypsy-39_GR-LTR	LTR/Gypsy	NA	NA	NA	122609/122609/122609	3	0.783
2220	2.7	0.0	0.0	Chr08	15267	15525	259	C	Gypsy-39_GR-LTR	LTR/Gypsy	(368)	259	1	122609	1
15735	3.4	0.0	0.0	Chr08	15526	17429	1904	C	Gypsy-39_GR-I	LTR/Gypsy	(0)	1904	1	122609	1
2680	2.9	0.0	0.0	Chr08	17430	17738	309	C	Gypsy-39_GR-LTR	LTR/Gypsy	(0)	627	319	122609	1

###1011/1188/3263	19.855	1.973	2.192	Chr08	25542	26988	1414	C	Gypsy-59_GR-LTR	LTR/Gypsy	NA	NA	NA	122610/122611/122611	3	0.113
1011	18.5	0.0	0.5	Chr08	25542	25742	200	C	Gypsy-59_GR-LTR	LTR/Gypsy	(480)	765	566	122610	1
1188	16.8	0.9	0.5	Chr08	25740	25960	222	C	Gypsy-59_GR-I	LTR/Gypsy	(242)	9758	9537	122611	1
3263	20.8	2.6	2.9	Chr08	25994	26988	992	C	Gypsy-59_GR-I	LTR/Gypsy	(675)	9325	8334	122611	1

###3056	14.8	0.0	1.5	Chr08	27041	27528	481	C	Gypsy-15_GR-I	LTR/Gypsy	(3770)	1176	696	122612	1	0.048

###305/3960	20.773	4.826	5.374	Chr08	28002	30123	1338	+	Gypsy-10_GR-LTR	LTR/Gypsy	444	2351	(148)	122613/122614	2	0.535
305	27.6	8.1	8.3	Chr08	28002	28409	407	+	Gypsy-10_GR-LTR	LTR/Gypsy	444	850	(1649)	122613	1
3960	17.8	3.4	4.1	Chr08	29187	30123	931	+	Gypsy-10_GR-LTR	LTR/Gypsy	1421	2351	(148)	122614	1

###304/364	15.893	7.301	7.479	Chr08	30430	30734	232	C	Copia-53_GR-I	LTR/Copia	(5200)	305	74	122615/122615	2	0.024
304	17.6	8.8	12.1	Chr08	30430	30565	140	C	Copia-53_GR-I	LTR/Copia	(5200)	305	166	122615	1
364	13.5	5.2	1.0	Chr08	30638	30734	101	C	Copia-53_GR-I	LTR/Copia	(5514)	174	74	122615	1

###344	15.2	7.6	0.0	Chr08	30727	30805	85	C	Copia-53_GR-I	LTR/Copia	(160)	5528	5444	122616	1	0.009

###764/890	26.966	4.688	6.889	Chr08	31626	34758	1520	C	Gypsy-43_GR-LTR	LTR/Gypsy	(615)	2323	1	122617/122617	2	0.657
764	29.1	4.4	9.6	Chr08	31626	32369	573	C	Gypsy-43_GR-LTR	LTR/Gypsy	(615)	2323	1751	122617	1
890	25.4	4.9	4.9	Chr08	33745	34758	947	C	Gypsy-43_GR-LTR	LTR/Gypsy	(1849)	947	1	122617	1

###253	20.4	7.4	9.4	Chr08	32850	33011	159	C	Gypsy-48_GR-LTR	LTR/Gypsy	(1007)	1789	1631	122618	1	0.057

###266	20.1	7.4	8.7	Chr08	34778	34940	168	C	Gypsy-15_GR-I	LTR/Gypsy	(310)	4967	4800	122619	1	0.017

###6726/6099	6.864	0.498	1.417	Chr08	58750	61428	1862	C	Gypsy-15_GR-LTR	LTR/Gypsy	(0)	2559	1	122620/122621	2	0.728
6726	7.5	0.4	2.2	Chr08	58750	59710	944	C	Gypsy-15_GR-LTR	LTR/Gypsy	(0)	2559	1616	122620	1
6099	6.2	0.6	0.6	Chr08	60508	61428	918	C	Gypsy-15_GR-LTR	LTR/Gypsy	(1996)	918	1	122621	1

###228	32.0	1.3	0.0	Chr08	68393	68470	79	C	Gypsy-27_GR-I	LTR/Gypsy	(9413)	516	438	122622	1	0.007

