Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###2185	15.5	2.0	4.8	Chr02	15498	16079	538	C	Gypsy-57_GR-LTR	LTR/Gypsy	(0)	2494	1957	16916	1	0.216

###4086/36920/4053	6.250	1.447	0.062	Chr02	47004	52690	5767	+	Gypsy-14_GR-LTR	LTR/Gypsy	NA	NA	NA	16917/16917/16917	3	1.000
4086	9.9	4.6	0.3	Chr02	47004	47591	613	+	Gypsy-14_GR-LTR	LTR/Gypsy	1	613	(0)	16917	1
36920	5.3	0.6	0.0	Chr02	47592	52103	4541	+	Gypsy-14_GR-I	LTR/Gypsy	1	4541	(0)	16917	1
4053	9.9	4.8	0.3	Chr02	52104	52690	613	+	Gypsy-14_GR-LTR	LTR/Gypsy	1	613	(0)	16917	1

###3530	25.9	4.9	1.6	Chr02	53646	55355	1856	C	SHACOP8_I_MT-int	LTR/Copia	(2282)	1857	2	16918	1	No_ref_available

###1229	24.9	6.9	5.6	Chr02	59878	60426	556	+	Copia-14_GR-LTR	LTR/Copia	1	556	(75)	16919	1	0.881

###720	36.5	2.5	2.5	Chr02	72367	72760	394	+	MuDR-2_GR	DNA/MuDR	5479	5872	(836)	16920	1	0.059

###1381/1302	17.491	2.111	1.880	Chr02	171330	172386	556	+	MuDR-5_GR	DNA/MuDR	1	7731	(52)	16921/16922	2	0.071
1381	17.4	1.7	2.2	Chr02	171330	171644	288	+	MuDR-5_GR	DNA/MuDR	1	288	(7495)	16921	1
1302	17.6	2.6	1.5	Chr02	172122	172386	268	+	MuDR-5_GR	DNA/MuDR	7464	7731	(52)	16922	1

###4315	18.9	5.8	7.0	Chr02	173163	175698	2261	+	Gypsy-29_GR-LTR	LTR/Gypsy	8	2268	(670)	16923	1	0.770

###1378	17.8	1.2	0.9	Chr02	175745	176039	262	+	Gypsy-18_GR-LTR	LTR/Gypsy	2760	3021	(0)	16924	1	0.087

###1766/950	33.014	3.851	3.774	Chr02	189439	192527	2708	C	L1-1_GR	DNA/L1	(1391)	4313	1237	16925/16925	2	0.475
1766	33.2	4.2	4.1	Chr02	189439	191514	2079	C	L1-1_GR	DNA/L1	(1391)	4313	2235	16925	1
950	32.4	2.7	2.7	Chr02	191899	192527	629	C	L1-1_GR	DNA/L1	(3839)	1865	1237	16925	1

###4788	5.9	0.8	0.2	Chr02	217369	217977	613	C	Gypsy-14_GR-LTR	LTR/Gypsy	(0)	613	1	16926	1	1.000

###837	1.1	0.0	0.0	Chr02	223191	223285	95	+	1356CL0150	LTR/Gypsy	1	95	(0)	16927	1	No_ref_available

