Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###971	22.9	4.3	7.1	D5_01	36719	37277	399	+	Gypsy-19_GR-LTR	LTR/Gypsy	43	441	(2580)	1	1	0.144

###1173/1737	20.410	4.266	8.052	D5_01	37354	38186	666	+	Gypsy-43_GR-LTR	LTR/Gypsy	525	1190	(1125)	2/4	2	0.288
1173	22.4	2.4	6.0	D5_01	37354	37632	268	+	Gypsy-43_GR-LTR	LTR/Gypsy	525	792	(1523)	2	1
1737	19.2	5.4	9.3	D5_01	37728	38186	441	+	Gypsy-43_GR-LTR	LTR/Gypsy	750	1190	(1125)	4	1

###847	1.1	0.0	0.0	D5_01	37633	37727	95	C	576CL0010	LTR/Gypsy	(0)	95	1	3	1	No_ref_available

###329	21.9	2.9	0.0	D5_01	38162	38266	108	+	Gypsy-43_GR-LTR	LTR/Gypsy	955	1062	(1253)	2	1	0.047

###4086/36860/4026	6.192	1.527	0.062	D5_01	58279	63963	5767	+	Gypsy-14_GR-LTR	LTR/Gypsy	NA	NA	NA	5/5/5	3	1.000
4086	9.9	4.6	0.3	D5_01	58279	58866	613	+	Gypsy-14_GR-LTR	LTR/Gypsy	1	613	(0)	5	1
36860	5.2	0.7	0.0	D5_01	58867	63376	4541	+	Gypsy-14_GR-I	LTR/Gypsy	1	4541	(0)	5	1
4026	10.1	4.8	0.3	D5_01	63377	63963	613	+	Gypsy-14_GR-LTR	LTR/Gypsy	1	613	(0)	5	1

###3530	25.9	4.9	1.6	D5_01	64919	66628	1856	C	SHACOP8_I_MT-int	LTR/Copia	(2282)	1857	2	6	1	No_ref_available

###1229	24.9	6.9	5.6	D5_01	71149	71697	556	+	Copia-14_GR-LTR	LTR/Copia	1	556	(75)	7	1	0.881

###720	36.5	2.5	2.5	D5_01	83633	84026	394	+	MuDR-2_GR	DNA/MuDR	5479	5872	(836)	8	1	0.059

###1381/1302	17.491	2.111	1.880	D5_01	189400	190494	556	+	MuDR-5_GR	DNA/MuDR	1	7731	(52)	9/10	2	0.071
1381	17.4	1.7	2.2	D5_01	189400	189714	288	+	MuDR-5_GR	DNA/MuDR	1	288	(7495)	9	1
1302	17.6	2.6	1.5	D5_01	190230	190494	268	+	MuDR-5_GR	DNA/MuDR	7464	7731	(52)	10	1

###4315	18.9	5.8	7.0	D5_01	191271	193806	2261	+	Gypsy-29_GR-LTR	LTR/Gypsy	8	2268	(670)	11	1	0.770

###1378	17.8	1.2	0.9	D5_01	193853	194147	262	+	Gypsy-18_GR-LTR	LTR/Gypsy	2760	3021	(0)	12	1	0.087

###1772/950	32.788	4.253	3.709	D5_01	207419	210615	2828	C	L1-1_GR	DNA/L1	(1271)	4433	1237	13/13	2	0.496
1772	32.9	4.7	4.0	D5_01	207419	209602	2199	C	L1-1_GR	DNA/L1	(1271)	4433	2235	13	1
950	32.4	2.7	2.7	D5_01	209987	210615	629	C	L1-1_GR	DNA/L1	(3839)	1865	1237	13	1

###4788	5.9	0.8	0.2	D5_01	234063	234671	613	C	Gypsy-14_GR-LTR	LTR/Gypsy	(0)	613	1	14	1	1.000

###837	1.1	0.0	0.0	D5_01	239873	239967	95	+	1356CL0150	LTR/Gypsy	1	95	(0)	15	1	No_ref_available

###1169/893/2959	32.517	2.744	2.699	D5_01	241786	244976	2945	+	L1-1_GR	DNA/L1	1221	4456	(1248)	16/17/18	3	0.516
1169	29.9	2.2	1.9	D5_01	241786	242249	465	+	L1-1_GR	DNA/L1	1221	1685	(4019)	16	1
893	32.4	3.3	3.0	D5_01	242249	242849	603	+	L1-1_GR	DNA/L1	1729	2331	(3373)	17	1
2959	33.2	2.7	2.8	D5_01	243097	244976	1877	+	L1-1_GR	DNA/L1	2580	4456	(1248)	18	1

###228	16.2	1.2	2.5	D5_01	298358	298439	81	C	MuDR-3_GR	DNA/MuDR	(0)	4333	4253	19	1	0.019

###22681	9.0	1.0	3.6	D5_01	298466	301986	3523	+	MuDR-3_GR	DNA/MuDR	211	3733	(600)	20	1	0.813

