Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###269	3.8	0.0	0.0	D5_12	55821353	55821409	73	+	EnSpm-12_OS	DNA/EnSpmCACTA	5827	5899	(6704)	200778	1	0.006

###8154/3993/2029	12.463	3.275	4.559	D5_12	983150	986922	3295	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1832	184242/184242/184243	3	0.374
8154	11.8	1.7	4.7	D5_12	983150	984842	1707	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7101	184242	1
3993	10.9	0.5	0.0	D5_12	985324	985919	599	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1695)	7112	6514	184242	1
2029	14.9	8.4	7.5	D5_12	985903	986922	1001	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5975)	2832	1832	184243	1

###230	3.2	6.5	0.0	D5_12	990053	990083	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8775	184244	1	0.004

###258/2605	7.079	2.137	0.475	D5_12	5929059	5931851	422	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	185033/185034	2	0.048
258	18.2	5.9	2.9	D5_12	5929059	5929126	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	71	(8736)	185033	1
2605	4.9	1.4	0.0	D5_12	5931505	5931851	352	+	EnSpm-1_GR	DNA/EnSpmCACTA	8456	8807	(0)	185034	1

###52206	4.9	1.4	0.9	D5_12	5941774	5948537	6737	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2071	185036	1	0.765

###41927/263	10.438	1.895	2.773	D5_12	6584407	6595173	6807	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	185150/185151	2	0.773
41927	10.3	1.9	2.8	D5_12	6584407	6591477	6737	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2071	185150	1
263	24.6	1.4	0.0	D5_12	6595105	6595173	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	1	185151	1

###280	23.5	1.5	0.0	D5_12	6595187	6595254	69	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	2	185151	1	0.008

###246/39366	3.782	0.752	0.085	D5_12	6981147	6986589	4824	+	EnSpm-1_GR	DNA/EnSpmCACTA	1731	8807	(0)	185194/185195	2	0.548
