Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###281	18.0	11.5	0.0	Chr05	43409	43469	68	C	Gypsy-29_GR-I	LTR/Gypsy	(4828)	69	2	70982	1	0.006

###1829/1868	17.111	5.611	2.211	Chr05	47367	49229	979	C	Gypsy-19_GR-LTR	LTR/Gypsy	(0)	2767	951	70983/70983	2	0.354
1829	18.0	7.6	3.1	Chr05	47367	47884	592	C	Gypsy-19_GR-LTR	LTR/Gypsy	(0)	2767	2176	70983	1
1868	15.9	2.9	1.0	Chr05	48850	49229	387	C	Gypsy-19_GR-LTR	LTR/Gypsy	(1430)	1337	951	70983	1

###345/3046	14.902	0.461	0.994	Chr05	49255	49939	612	C	Gypsy-56_GR-LTR	LTR/Gypsy	(1195)	1512	895	70984/70984	2	0.226
345	4.3	0.0	2.1	Chr05	49255	49302	47	C	Gypsy-56_GR-LTR	LTR/Gypsy	(1195)	1512	1466	70984	1
3046	15.8	0.5	0.9	Chr05	49373	49939	565	C	Gypsy-56_GR-LTR	LTR/Gypsy	(1248)	1459	895	70984	1

###226	21.0	2.4	2.4	Chr05	50704	50786	83	C	Gypsy-20_AIp-I	LTR/Gypsy	(323)	6457	6375	70985	1	No_ref_available

###1131/769/4082/656/1928	29.245	4.020	2.090	Chr05	59151	62426	2851	C	Gypsy-13_JC-I	LTR/Gypsy	(517)	4206	3	70986/70986/70986/70986/70986	5	No_ref_available
1131	26.7	1.7	4.2	Chr05	59151	59501	331	C	Gypsy-13_JC-I	LTR/Gypsy	(517)	4206	3876	70986	1
769	25.7	5.5	1.6	Chr05	59477	59713	246	C	Gypsy-13_JC-I	LTR/Gypsy	(637)	4086	3841	70986	1
4082	28.7	3.6	1.3	Chr05	59681	61153	1506	C	Gypsy-13_JC-I	LTR/Gypsy	(635)	4088	2583	70986	1
656	28.3	5.4	6.1	Chr05	61157	61487	329	C	Gypsy-13_JC-I	LTR/Gypsy	(3279)	1444	1116	70986	1
1928	32.4	4.7	1.2	Chr05	61559	62426	898	C	Gypsy-13_JC-I	LTR/Gypsy	(3823)	900	3	70986	1

###1865	25.0	0.3	1.6	Chr05	86509	87086	571	C	Gypsy-55_GR-LTR	LTR/Gypsy	(1145)	1516	946	70987	1	0.215

###482	20.6	2.3	0.8	Chr05	88243	88389	68	C	Gypsy-21_RC-I	LTR/Gypsy	(8599)	1260	1193	70988	1	No_ref_available

###304	20.0	0.0	0.0	Chr05	197011	197065	55	C	Gypsy-15_GR-LTR	LTR/Gypsy	(0)	2559	2505	70989	1	0.021

###263	25.7	7.3	6.3	Chr05	197338	197557	222	C	Gypsy-19_GR-LTR	LTR/Gypsy	(1598)	1169	948	70990	1	0.080

###3451	14.4	0.2	0.2	Chr05	197682	198266	585	C	Gypsy-56_GR-LTR	LTR/Gypsy	(1228)	1479	895	70991	1	0.216

###527	25.1	3.9	3.9	Chr05	199288	199519	232	C	Gypsy-45_GR-I	LTR/Gypsy	(220)	5043	4812	70992	1	0.023

###3653/2221	17.436	5.632	2.223	Chr05	230047	233226	1368	+	Gypsy-19_GR-LTR	LTR/Gypsy	1	2767	(0)	70993/70995	2	0.494
3653	15.7	1.2	1.4	Chr05	230047	230765	718	+	Gypsy-19_GR-LTR	LTR/Gypsy	1	718	(2049)	70993	1
