Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###768	1.1	0.0	0.0	D10_01	60158642	60158736	95	C	1264CL0155	LTR	(0)	95	1	18698	1	No_ref_available

###725	1.1	1.1	0.0	D10_01	60415329	60415422	95	+	1264CL0155	LTR	1	95	(0)	18734	1	No_ref_available

###785	5.3	0.0	0.0	D10_01	60095825	60095919	95	+	6064CL0030	LTR	1	95	(0)	18676	1	No_ref_available

###325	17.9	0.0	1.3	D10_01	510014	510092	78	C	606CL0177	LTR	(16)	79	2	38	1	No_ref_available

###501	17.0	0.0	2.1	D10_01	513061	513156	94	C	606CL0177	LTR	(0)	95	2	39	1	No_ref_available

###289	20.0	1.1	4.4	D10_01	535918	536011	91	C	606CL0177	LTR	(0)	95	5	46	1	No_ref_available

###781	4.3	0.0	0.0	D10_01	605246	605339	94	C	606CL0177	LTR	(0)	95	2	62	1	No_ref_available

###268	17.5	3.6	4.8	D10_01	611437	611520	83	+	606CL0177	LTR	10	92	(3)	65	1	No_ref_available

###280	16.9	1.4	0.0	D10_01	618282	618352	72	C	606CL0177	LTR	(22)	73	2	69	1	No_ref_available

###289	22.6	0.0	5.4	D10_01	639819	639916	93	C	606CL0177	LTR	(1)	94	2	71	1	No_ref_available

###497	17.0	0.0	3.2	D10_01	649200	649296	94	C	606CL0177	LTR	(0)	95	2	73	1	No_ref_available

###519	12.0	1.1	2.1	D10_01	714974	715067	93	+	606CL0177	LTR	3	95	(0)	84	1	No_ref_available

###285	24.8	1.0	4.3	D10_01	717431	717527	94	C	606CL0177	LTR	(0)	95	2	85	1	No_ref_available

###480	14.3	0.0	4.4	D10_01	763266	763360	91	+	606CL0177	LTR	2	92	(3)	92	1	No_ref_available

###441	21.3	0.0	1.1	D10_01	794619	794713	94	C	606CL0177	LTR	(0)	95	2	104	1	No_ref_available

###243	23.9	2.2	3.3	D10_01	807393	807483	90	C	606CL0177	LTR	(4)	91	2	108	1	No_ref_available

###253	26.4	2.1	2.1	D10_01	837821	837913	93	+	606CL0177	LTR	3	95	(0)	111	1	No_ref_available

###330	19.6	3.1	5.3	D10_01	858085	858181	95	C	606CL0177	LTR	(0)	95	1	114	1	No_ref_available

###269	12.1	15.5	0.0	D10_01	885452	885509	67	+	606CL0177	LTR	3	69	(26)	119	1	No_ref_available

###248	29.2	0.0	1.1	D10_01	906545	906634	89	+	606CL0177	LTR	7	95	(0)	121	1	No_ref_available

###420	13.2	2.1	3.2	D10_01	911137	911230	93	+	606CL0177	LTR	3	95	(0)	122	1	No_ref_available

###487	12.9	1.0	3.2	D10_01	950102	950197	94	C	606CL0177	LTR	(0)	95	2	146	1	No_ref_available

###396	11.8	0.0	0.0	D10_01	962867	962934	68	+	606CL0177	LTR	14	81	(14)	152	1	No_ref_available

###447	14.8	0.0	0.0	D10_01	972274	972354	81	C	606CL0177	LTR	(13)	82	2	155	1	No_ref_available

###850	0.4	0.4	0.0	D10_01	60047483	60047628	95	+	1349CL0128	LTR/Copia	1	95	(0)	18655	1	No_ref_available

###818	1.2	0.0	0.0	D10_01	60047495	60047639	95	C	1785CL0128	LTR/Copia	(0)	95	1	18656	1	No_ref_available

###844	0.2	0.0	0.0	D10_01	60048505	60048612	95	+	1828CL0128	LTR/Copia	1	95	(0)	18659	1	No_ref_available

###277	23.4	0.0	2.6	D10_01	520674	520752	77	C	206CL0250	LTR/Copia	(2)	93	17	40	1	No_ref_available

###247	21.7	0.0	4.0	D10_01	527155	527231	74	C	206CL0250	LTR/Copia	(21)	74	1	42	1	No_ref_available

###279	20.9	0.0	3.0	D10_01	541824	541892	67	+	206CL0250	LTR/Copia	1	67	(28)	51	1	No_ref_available

###287	9.1	5.9	2.9	D10_01	541920	541987	70	C	206CL0250	LTR/Copia	(25)	70	1	51	1	No_ref_available

###268	28.1	0.0	2.2	D10_01	543651	543741	89	C	206CL0250	LTR/Copia	(0)	95	7	52	1	No_ref_available

###267	12.5	0.0	4.2	D10_01	549300	549349	48	+	206CL0250	LTR/Copia	15	62	(33)	54	1	No_ref_available

###378	12.5	1.4	2.7	D10_01	572823	572896	73	+	206CL0250	LTR/Copia	2	74	(21)	55	1	No_ref_available

###283	12.1	1.7	3.4	D10_01	579691	579750	59	+	206CL0250	LTR/Copia	15	73	(22)	56	1	No_ref_available

###331	21.8	0.0	2.6	D10_01	579804	579883	78	C	206CL0250	LTR/Copia	(0)	95	18	57	1	No_ref_available

###318	19.7	1.3	2.6	D10_01	600135	600212	77	+	206CL0250	LTR/Copia	1	77	(18)	58	1	No_ref_available

###400	20.2	1.0	3.2	D10_01	600264	600360	95	C	206CL0250	LTR/Copia	(0)	95	1	59	1	No_ref_available

###311	19.4	1.4	2.7	D10_01	601816	601889	73	+	206CL0250	LTR/Copia	1	73	(22)	60	1	No_ref_available

###343	26.9	0.0	2.1	D10_01	601945	602039	93	C	206CL0250	LTR/Copia	(1)	94	2	61	1	No_ref_available

###387	23.2	0.0	1.1	D10_01	608773	608868	95	+	206CL0250	LTR/Copia	1	95	(0)	63	1	No_ref_available

###241	19.5	1.3	6.8	D10_01	608903	608979	73	C	206CL0250	LTR/Copia	(22)	73	1	64	1	No_ref_available

###264	16.3	2.0	0.0	D10_01	612116	612164	50	+	206CL0250	LTR/Copia	1	50	(45)	66	1	No_ref_available

###272	18.1	2.7	2.7	D10_01	613375	613448	74	+	206CL0250	LTR/Copia	1	74	(21)	67	1	No_ref_available

###521	16.9	0.0	2.1	D10_01	613503	613599	95	C	206CL0250	LTR/Copia	(0)	95	1	68	1	No_ref_available

###231	23.0	4.0	2.6	D10_01	642153	642228	77	+	206CL0250	LTR/Copia	1	77	(18)	72	1	No_ref_available

###312	21.8	0.0	2.6	D10_01	658362	658441	78	+	206CL0250	LTR/Copia	18	95	(0)	74	1	No_ref_available

###256	22.5	4.1	2.7	D10_01	658488	658560	74	C	206CL0250	LTR/Copia	(21)	74	1	75	1	No_ref_available

###408	24.2	0.0	2.1	D10_01	668570	668666	95	+	206CL0250	LTR/Copia	1	95	(0)	77	1	No_ref_available

###256	22.7	1.3	2.6	D10_01	668716	668792	76	C	206CL0250	LTR/Copia	(19)	76	1	78	1	No_ref_available

###322	17.8	1.3	2.7	D10_01	669162	669236	74	+	206CL0250	LTR/Copia	1	74	(21)	79	1	No_ref_available

###775	1.1	0.0	1.1	D10_01	669260	669355	95	C	206CL0250	LTR/Copia	(0)	95	1	80	1	No_ref_available

###305	16.2	1.4	2.9	D10_01	691618	691687	69	+	206CL0250	LTR/Copia	6	74	(21)	81	1	No_ref_available

###226	28.2	11.8	0.0	D10_01	691745	691829	95	C	206CL0250	LTR/Copia	(0)	95	1	82	1	No_ref_available

###243	18.0	3.2	3.2	D10_01	734552	734614	63	+	206CL0250	LTR/Copia	15	77	(18)	89	1	No_ref_available

###420	21.3	1.0	2.1	D10_01	757700	757795	95	C	206CL0250	LTR/Copia	(0)	95	1	90	1	No_ref_available

###361	25.3	0.0	1.1	D10_01	759666	759761	95	+	206CL0250	LTR/Copia	1	95	(0)	91	1	No_ref_available

###424	21.1	0.0	2.1	D10_01	770721	770817	95	+	206CL0250	LTR/Copia	1	95	(0)	93	1	No_ref_available

###310	18.3	1.4	2.8	D10_01	770874	770946	72	C	206CL0250	LTR/Copia	(23)	72	1	94	1	No_ref_available

###371	22.4	0.0	1.1	D10_01	787207	787301	94	+	206CL0250	LTR/Copia	1	94	(1)	101	1	No_ref_available

###249	17.6	11.4	2.6	D10_01	800647	800716	76	C	206CL0250	LTR/Copia	(19)	76	1	105	1	No_ref_available

###329	23.7	0.0	2.1	D10_01	805447	805541	93	C	206CL0250	LTR/Copia	(2)	93	1	107	1	No_ref_available

###322	21.5	1.0	3.2	D10_01	809174	809269	94	C	206CL0250	LTR/Copia	(1)	94	1	109	1	No_ref_available

###240	19.8	1.4	6.0	D10_01	841424	841493	67	+	206CL0250	LTR/Copia	15	81	(14)	112	1	No_ref_available

###368	17.8	0.0	2.7	D10_01	841539	841613	73	C	206CL0250	LTR/Copia	(0)	95	23	113	1	No_ref_available

###319	25.8	0.0	2.1	D10_01	862897	862991	93	+	206CL0250	LTR/Copia	1	93	(2)	115	1	No_ref_available

###408	20.9	0.0	2.2	D10_01	882074	882166	91	+	206CL0250	LTR/Copia	1	91	(4)	117	1	No_ref_available

###239	20.8	2.7	2.7	D10_01	882215	882288	74	C	206CL0250	LTR/Copia	(21)	74	1	118	1	No_ref_available

###366	12.0	0.0	6.0	D10_01	893230	893300	67	+	206CL0250	LTR/Copia	17	83	(12)	120	1	No_ref_available

###305	16.4	1.3	2.7	D10_01	914370	914444	74	+	206CL0250	LTR/Copia	1	74	(21)	123	1	No_ref_available

###267	25.7	0.0	2.6	D10_01	914498	914577	78	C	206CL0250	LTR/Copia	(0)	95	18	124	1	No_ref_available

###480	19.0	0.0	2.1	D10_01	953665	953761	95	+	206CL0250	LTR/Copia	1	95	(0)	147	1	No_ref_available

###329	18.1	1.3	4.1	D10_01	953817	953891	73	C	206CL0250	LTR/Copia	(22)	73	1	148	1	No_ref_available

###280	19.2	1.3	2.7	D10_01	955180	955254	74	+	206CL0250	LTR/Copia	1	74	(21)	149	1	No_ref_available

###447	14.0	2.1	4.2	D10_01	955309	955405	95	C	206CL0250	LTR/Copia	(0)	95	1	150	1	No_ref_available

###440	21.1	0.0	2.1	D10_01	957666	957762	95	C	206CL0250	LTR/Copia	(0)	95	1	151	1	No_ref_available

###285	22.9	0.0	2.9	D10_01	965452	965523	70	+	206CL0250	LTR/Copia	26	95	(0)	153	1	No_ref_available

###287	17.1	5.5	4.0	D10_01	965578	965650	74	C	206CL0250	LTR/Copia	(21)	74	1	154	1	No_ref_available

###773	1.1	0.0	0.0	D10_01	60112754	60112848	95	+	2688CL0089	LTR/Copia	1	95	(0)	18691	1	No_ref_available

###550	11.6	0.0	0.0	D10_01	60374977	60375071	95	+	2688CL0089	LTR/Copia	1	95	(0)	18727	1	No_ref_available

###484	36.9	1.5	1.2	D10_01	35621983	35622322	341	+	ANGELA1_AT_I-int	LTR/Copia	3862	4202	(1124)	11972	1	No_ref_available

###1897/248	27.358	3.135	3.031	D10_01	13069718	13074474	811	C	ATCOPIA28_I-int	LTR/Copia	(3875)	1846	230	3355/3355	2	No_ref_available
1897	27.4	3.5	2.4	D10_01	13069718	13070373	710	C	ATCOPIA28_I-int	LTR/Copia	(3875)	1846	1137	3355	1
248	27.1	0.9	6.9	D10_01	13074368	13074474	101	C	ATCOPIA28_I-int	LTR/Copia	(4660)	330	230	3355	1

###233	15.8	3.5	0.0	D10_01	21733968	21734024	59	C	ATCOPIA28_I-int	LTR/Copia	(3953)	753	695	6416	1	No_ref_available

###6080/615	23.799	0.557	0.859	D10_01	45702047	45703554	1478	+	ATCOPIA28_I-int	LTR/Copia	3234	5318	(0)	15453/15453	2	No_ref_available
6080	24.6	0.6	0.7	D10_01	45702047	45703422	1374	+	ATCOPIA28_I-int	LTR/Copia	3234	4607	(99)	15453	1
615	13.5	0.0	2.9	D10_01	45703448	45703554	104	+	ATCOPIA28_I-int	LTR/Copia	5215	5318	(0)	15453	1

###287	19.1	4.5	6.1	D10_01	791196	791262	66	+	COP2_I_MT-int	LTR/Copia	3745	3810	(2492)	102	1	No_ref_available

###239	25.4	0.0	0.0	D10_01	42930534	42930588	55	+	COP2_I_MT-int	LTR/Copia	2715	2769	(3533)	14605	1	No_ref_available

###255	12.3	0.0	9.8	D10_01	18530510	18530554	41	C	COP8_I_MT-int	LTR/Copia	(944)	3524	3484	5303	1	No_ref_available

###255	12.3	0.0	9.8	D10_01	18539497	18539541	41	C	COP8_I_MT-int	LTR/Copia	(944)	3524	3484	5303	1	No_ref_available

###238	14.8	0.0	9.8	D10_01	32703787	32703831	41	C	COP8_I_MT-int	LTR/Copia	(944)	3524	3484	10942	1	No_ref_available

###252/247	29.890	1.538	1.538	D10_01	20609962	20610136	110	+	COPI1_I-int	LTR/Copia	2504	2613	(1855)	6010/6010	2	No_ref_available
252	27.6	3.0	3.0	D10_01	20609962	20610062	101	+	COPI1_I-int	LTR/Copia	2504	2604	(1501)	6010	1
247	32.3	0.0	0.0	D10_01	20610041	20610136	96	+	COPI1_I-int	LTR/Copia	2518	2613	(1855)	6010	1

###248	29.2	1.1	0.0	D10_01	33200016	33200108	80	+	COPIA3-I_OS	LTR/Copia	4226	4305	(230)	11097	1	No_ref_available

###232	12.5	6.1	2.0	D10_01	49091724	49091772	51	+	COPIA3-I_OS	LTR/Copia	957	1007	(3528)	16579	1	No_ref_available

###338	36.1	2.9	2.0	D10_01	31636511	31636929	272	C	Copia-100_Mad-I	LTR/Copia	(1190)	4914	4643	10562	1	No_ref_available

###1004	32.5	6.6	2.5	D10_01	5582575	5583196	917	C	Copia-101_Mad-I	LTR/Copia	(3418)	2265	1349	970	1	No_ref_available

###591	32.3	2.6	1.1	D10_01	31731612	31732049	469	C	Copia-104_GM-I	LTR/Copia	(2020)	3765	3297	10609	1	No_ref_available

###32931	5.2	0.3	1.2	D10_01	16241290	16245401	4076	C	Copia-10_GR-I	LTR/Copia	(2)	4076	1	4449	1	0.897

###2330/22448/4866	4.131	0.060	0.026	D10_01	55126794	55130369	3542	+	Copia-10_GR-I	LTR/Copia	1	4076	(2)	18036/18036/18036	3	0.779
2330	5.9	0.7	0.3	D10_01	55126794	55127097	305	+	Copia-10_GR-I	LTR/Copia	1	305	(3773)	18036	1
22448	4.0	0.0	0.0	D10_01	55127137	55129797	2661	+	Copia-10_GR-I	LTR/Copia	305	2965	(1113)	18036	1
4866	3.8	0.0	0.0	D10_01	55129793	55130369	577	+	Copia-10_GR-I	LTR/Copia	3500	4076	(2)	18036	1

###1823/1382/3660	31.625	3.499	2.616	D10_01	17005689	17010050	3992	+	Copia-11_GR-I	LTR/Copia	1	4287	(27)	4747/4747/4747	3	No_ref_available
1823	31.8	4.8	3.5	D10_01	17005689	17007161	1509	+	Copia-11_GR-I	LTR/Copia	1	1509	(2972)	4747	1
1382	31.0	4.7	3.3	D10_01	17007283	17008125	855	+	Copia-11_GR-I	LTR/Copia	1558	2412	(1902)	4747	1
3660	31.8	1.6	1.4	D10_01	17008427	17010050	1628	+	Copia-11_GR-I	LTR/Copia	2660	4287	(27)	4747	1

###1248	31.5	2.1	2.3	D10_01	48613448	48614061	613	C	Copia-11_GR-I	LTR/Copia	(3553)	761	149	16428	1	No_ref_available

###3028/3199	32.906	2.967	3.223	D10_01	50869559	50873797	3875	+	Copia-11_GR-I	LTR/Copia	166	4242	(72)	17018/17018	2	No_ref_available
3028	32.5	3.9	4.4	D10_01	50869559	50871866	2296	+	Copia-11_GR-I	LTR/Copia	166	2461	(2020)	17018	1
3199	33.5	1.6	1.5	D10_01	50872222	50873797	1579	+	Copia-11_GR-I	LTR/Copia	2664	4242	(72)	17018	1

###17938	16.9	2.0	0.6	D10_01	51497942	51502196	4314	+	Copia-11_GR-I	LTR/Copia	1	4314	(0)	17154	1	No_ref_available

###294	28.7	2.9	7.5	D10_01	56197922	56198136	235	+	Copia-11_GR-I	LTR/Copia	147	381	(3964)	18225	1	No_ref_available

###34703	3.5	0.2	0.1	D10_01	50627385	50631482	4105	+	Copia-12_GR-I	LTR/Copia	1	4105	(0)	16954	1	0.916

###33957	4.6	0.3	0.1	D10_01	53692654	53696748	4105	C	Copia-12_GR-I	LTR/Copia	(0)	4105	1	17744	1	0.916

###1105	32.8	4.6	3.1	D10_01	16552955	16553716	773	+	Copia-12_JC-I	LTR/Copia	970	1742	(2319)	4572	1	No_ref_available

###3391	30.5	2.2	1.8	D10_01	16575431	16576852	1429	+	Copia-12_JC-I	LTR/Copia	2633	4061	(0)	4582	1	No_ref_available

###646	28.4	6.2	6.0	D10_01	791349	791877	530	+	Copia-12_TC-I	LTR/Copia	2876	3405	(1781)	103	1	No_ref_available

###313/264	19.226	3.680	0.679	D10_01	938204	938349	140	+	Copia-12_TC-I	LTR/Copia	1611	1923	(3395)	141/141	2	No_ref_available
313	22.0	0.0	0.0	D10_01	938204	938262	59	+	Copia-12_TC-I	LTR/Copia	1611	1669	(3517)	141	1
264	17.1	6.5	1.2	D10_01	938273	938349	81	+	Copia-12_TC-I	LTR/Copia	1843	1923	(3395)	141	1

###623/13866/1227/3313	23.454	1.646	1.533	D10_01	13064682	13071515	4591	C	Copia-12_TC-I	LTR/Copia	(0)	5318	208	3354/3354/3354/3356	4	No_ref_available
623	16.7	0.0	1.8	D10_01	13064682	13064797	114	C	Copia-12_TC-I	LTR/Copia	(0)	5318	5205	3354	1
13866	23.0	1.3	1.0	D10_01	13064817	13067985	3177	C	Copia-12_TC-I	LTR/Copia	(187)	4999	1823	3354	1
1227	24.3	2.5	0.3	D10_01	13069240	13069594	363	C	Copia-12_TC-I	LTR/Copia	(3386)	1932	1570	3354	1
3313	25.9	2.9	4.2	D10_01	13070456	13071515	1047	C	Copia-12_TC-I	LTR/Copia	(3932)	1254	208	3356	1

###339	22.2	0.0	0.0	D10_01	14630008	14630081	64	+	Copia-12_TC-I	LTR/Copia	1596	1659	(3527)	3899	1	No_ref_available

###2852	22.9	0.3	2.0	D10_01	14905228	14905880	642	+	Copia-12_TC-I	LTR/Copia	236	877	(4309)	4001	1	No_ref_available

