Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###262/231	10.345	0.000	0.000	D5_06	551672	575676	77	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6700)	5903	5827	81834/81842	2	0.006
262	6.7	0.0	0.0	D5_06	551672	551716	45	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6700)	5903	5859	81834	1
231	13.5	0.0	0.0	D5_06	575625	575676	52	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6725)	5878	5827	81842	1

###285	8.9	3.6	0.0	D5_06	948882	948937	58	+	EnSpm-12_OS	DNA/EnSpmCACTA	5854	5911	(6692)	81891	1	0.005

###231	16.7	0.0	1.9	D5_06	767481	767535	54	+	EnSpm-16_SBi	DNA/EnSpmCACTA	2987	3040	(12843)	81860	1	0.003

###50950/277	4.922	1.005	1.005	D5_06	640400	649329	6620	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	3	81849/81851	2	0.752
50950	4.8	1.0	1.0	D5_06	640400	646955	6555	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2253	81849	1
277	17.2	1.5	1.5	D5_06	649265	649329	65	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	3	81851	1

###236/232	16.544	6.500	3.372	D5_06	647458	649514	206	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6108)	2699	3	81850/81852	2	0.023
236	15.2	8.1	3.5	D5_06	647458	647593	142	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6108)	2699	2558	81850	1
232	19.4	3.1	3.1	D5_06	649451	649514	64	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8741)	66	3	81852	1

###233/41497	10.440	2.009	2.872	D5_06	5318797	5327710	6801	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	82723/82725	2	0.772
233	25.0	2.9	0.0	D5_06	5318797	5318864	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	70	(8737)	82723	1
