Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1284	21.3	10.3	3.2	D10_10	30092	30860	1108	C	Gypsy-18_GR-LTR	LTR/Gypsy	(149)	2872	1765	152955	1	0.367

###430/529	20.540	5.405	1.877	D10_10	115837	116080	267	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	1845	152956/152956	2	0.088
430	17.9	10.9	1.5	D10_10	115837	115955	130	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	2892	152956	1
529	22.8	0.7	2.2	D10_10	115942	116080	137	C	Gypsy-18_GR-LTR	LTR/Gypsy	(1040)	1981	1845	152956	1

###3377	14.3	0.7	0.2	D10_10	116551	117132	585	C	Gypsy-55_GR-LTR	LTR/Gypsy	(1152)	1509	925	152957	1	0.220

###659	25.1	2.8	3.1	D10_10	134068	134322	254	+	Gypsy-4_GR-LTR	LTR/Gypsy	49	302	(1014)	152958	1	0.193

###1987/35086/1987	2.710	0.432	0.209	D10_10	142580	147196	4628	C	Copia-29_GR-LTR	LTR/Copia	NA	NA	NA	152959/152959/152959	3	1.000
1987	6.1	3.3	1.6	D10_10	142580	142881	307	C	Copia-29_GR-LTR	LTR/Copia	(0)	307	1	152959	1
35086	2.2	0.0	0.0	D10_10	142882	146894	4014	C	Copia-29_GR-I	LTR/Copia	(0)	4014	1	152959	1
1987	6.1	3.3	1.6	D10_10	146895	147196	307	C	Copia-29_GR-LTR	LTR/Copia	(0)	307	1	152959	1

###1261	18.3	1.4	3.2	D10_10	184099	184380	277	+	Gypsy-57_GR-LTR	LTR/Gypsy	2186	2462	(32)	152960	1	0.111

###230	22.2	1.2	2.4	D10_10	194257	194339	82	C	Gypsy-29_GR-LTR	LTR/Gypsy	(2331)	607	526	152961	1	0.028

###4308	25.1	0.6	1.8	D10_10	221505	222521	1005	+	Copia-50_BD-I	LTR/Copia	3449	4453	(0)	152962	1	No_ref_available

###812	17.2	1.1	2.2	D10_10	222683	222866	182	+	Gypsy-19_GR-LTR	LTR/Gypsy	1	182	(2585)	152963	1	0.066

###26969	13.6	0.4	0.2	D10_10	225166	229200	4035	C	Copia-34_GR-I	LTR/Copia	(1)	4035	1	152964	1	0.816

###403	22.2	2.5	3.8	D10_10	237554	237712	157	+	Gypsy-8_GR-LTR	LTR/Gypsy	1	157	(2404)	152965	1	0.061

###2894	21.2	2.5	3.3	D10_10	237682	238572	884	+	Gypsy-5_GR-LTR	LTR/Gypsy	111	994	(1099)	152966	1	0.422

###3419	14.4	0.3	0.2	D10_10	238594	239172	580	+	Gypsy-55_GR-LTR	LTR/Gypsy	925	1504	(1157)	152967	1	0.218

###328/583	26.059	3.539	6.267	D10_10	239188	240247	494	+	Gypsy-18_GR-LTR	LTR/Gypsy	889	1936	(1085)	152968/152968	2	0.164
328	30.0	1.7	4.1	D10_10	239188	239361	170	+	Gypsy-18_GR-LTR	LTR/Gypsy	889	1058	(1963)	152968	1
583	24.0	4.5	7.4	D10_10	239915	240247	324	+	Gypsy-18_GR-LTR	LTR/Gypsy	1613	1936	(1085)	152968	1

###728	26.1	2.6	3.0	D10_10	240305	240537	232	+	Gypsy-19_GR-LTR	LTR/Gypsy	2536	2767	(0)	152969	1	0.084

###2648	24.8	0.1	0.1	D10_10	246132	246709	561	+	Copia-50_BD-I	LTR/Copia	3314	3874	(579)	152970	1	No_ref_available

###889	23.9	6.9	14.6	D10_10	258026	258889	806	C	Gypsy-57_GR-LTR	LTR/Gypsy	(1217)	1277	472	152971	1	0.323

###847/1989	19.644	6.258	10.346	D10_10	261507	263537	1674	+	Gypsy-10_GR-LTR	LTR/Gypsy	827	2649	(0)	152972/152972	2	0.670
847	18.9	7.7	16.3	D10_10	261507	262374	804	+	Gypsy-10_GR-LTR	LTR/Gypsy	827	1630	(864)	152972	1
1989	20.5	4.6	3.5	D10_10	262783	263537	870	+	Gypsy-10_GR-LTR	LTR/Gypsy	1780	2649	(0)	152972	1

###2673	27.0	6.6	0.2	D10_10	313439	314639	1278	+	Copia-47_GR-I	LTR/Copia	1	1278	(2972)	152973	1	0.252

###3382/451	14.298	0.183	0.275	D10_10	315830	317120	639	+	Gypsy-55_GR-LTR	LTR/Gypsy	925	2661	(0)	152974/152976	2	0.240
