Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###4350/15600	5.578	1.566	0.145	D10_13	604194	606765	2584	+	EnSpm-1_GR	DNA/EnSpmCACTA	2763	8807	(0)	207533/207534	2	0.293
4350	6.2	1.1	0.3	D10_13	604194	604761	572	+	EnSpm-1_GR	DNA/EnSpmCACTA	2763	3334	(5473)	207533	1
15600	5.4	1.7	0.1	D10_13	604784	606765	2012	+	EnSpm-1_GR	DNA/EnSpmCACTA	6796	8807	(0)	207534	1

###252/828/1397/663/39790	12.254	2.217	1.377	D10_13	4554527	4563140	7228	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	8807	(0)	208211/208213/208214/208215/208216	5	0.821
252	29.3	0.0	0.0	D10_13	4554527	4554601	75	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	77	(8730)	208211	1
828	19.6	2.5	2.9	D10_13	4555247	4555488	241	+	EnSpm-1_GR	DNA/EnSpmCACTA	417	657	(8150)	208213	1
1397	10.2	15.7	0.5	D10_13	4555564	4555942	503	+	EnSpm-1_GR	DNA/EnSpmCACTA	943	1445	(7362)	208214	1
663	9.7	2.4	0.8	D10_13	4556119	4556243	127	+	EnSpm-1_GR	DNA/EnSpmCACTA	1455	1581	(7226)	208215	1
39790	10.7	1.3	1.3	D10_13	4556938	4563140	6282	+	EnSpm-1_GR	DNA/EnSpmCACTA	2526	8807	(0)	208216	1

###1242	17.3	7.4	10.1	D10_13	4554776	4555180	395	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	396	(8411)	208212	1	0.045

###6733	15.4	2.8	2.6	D10_13	4967864	4969180	1383	+	EnSpm-1_GR	DNA/EnSpmCACTA	7172	8554	(253)	208288	1	0.157

###14760	14.7	1.7	1.0	D10_13	5669072	5671469	2414	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3488)	5319	2906	208495	1	0.274

###931/1555/50905	8.757	1.711	2.090	D10_13	5824720	5833502	6653	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	208532/208533/208534	3	0.755
931	26.7	3.4	7.2	D10_13	5824720	5825167	432	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	432	(8375)	208532	1
1555	12.8	4.9	6.1	D10_13	5826846	5827293	443	+	EnSpm-1_GR	DNA/EnSpmCACTA	2587	3029	(5778)	208533	1
50905	4.2	0.7	0.2	D10_13	5827293	5833502	6245	+	EnSpm-1_GR	DNA/EnSpmCACTA	2563	8807	(0)	208534	1

###16130/912/231	5.728	3.936	2.309	D10_13	6076409	6081135	2637	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	208610/208611/208612	3	0.299
16130	4.0	2.0	0.9	D10_13	6076409	6078453	2068	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6740	208610	1
912	10.4	10.9	7.3	D10_13	6078454	6079003	499	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6185)	2622	2124	208611	1
231	19.7	5.8	4.3	D10_13	6081067	6081135	70	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8736)	71	2	208612	1

###237	0.0	6.7	0.0	D10_13	6200428	6200457	32	+	EnSpm-1_GR	DNA/EnSpmCACTA	8775	8806	(1)	208643	1	0.004

###47972	5.8	1.6	2.1	D10_13	6580760	6587717	6844	+	EnSpm-1_GR	DNA/EnSpmCACTA	1964	8807	(0)	208768	1	0.777

###621/17384/9673/892	14.782	1.815	1.376	D10_13	7098497	7112289	5266	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1321)	7486	2182	208938/208938/208938/208938	4	0.598
621	16.4	21.4	0.0	D10_13	7098497	7098636	170	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1321)	7486	7317	208938	1
17384	14.9	1.0	1.6	D10_13	7104699	7107652	2938	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1487)	7320	4383	208938	1
9673	14.4	0.0	0.0	D10_13	7110248	7111729	1482	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4420)	4387	2906	208938	1
892	10.9	7.6	3.6	D10_13	7111925	7112289	685	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5941)	2866	2182	208938	1

###246/761/51848	6.541	2.534	2.572	D10_13	8069513	8078701	6371	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	209243/209244/209245	3	0.723
246	20.6	1.4	2.9	D10_13	8069513	8069582	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	70	(8737)	209243	1
761	10.0	6.8	8.5	D10_13	8071816	8072078	259	+	EnSpm-1_GR	DNA/EnSpmCACTA	2506	2764	(6043)	209244	1
51848	4.3	1.3	0.7	D10_13	8072192	8078701	6548	+	EnSpm-1_GR	DNA/EnSpmCACTA	2260	8807	(0)	209245	1

###258	25.3	2.6	1.3	D10_13	8432711	8432786	77	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	1	209321	1	0.009

###44432	9.3	1.4	2.2	D10_13	11236568	11243487	6817	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1991	210325	1	0.774

###23593/9046/457	15.601	1.112	1.278	D10_13	11326986	11335583	5941	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	2605	210355/210355/210355	3	0.675
23593	15.8	1.2	1.5	D10_13	11326986	11331267	4336	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	4366	210355	1
9046	15.4	0.6	0.0	D10_13	11333799	11335258	1469	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4438)	4369	2901	210355	1
457	10.8	4.3	9.1	D10_13	11335416	11335583	140	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6063)	2744	2605	210355	1

###247	9.1	0.0	0.0	D10_13	11344572	11344604	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8774)	33	1	210361	1	0.004

###43400/241	9.309	1.827	1.727	D10_13	14004316	14013276	6681	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	211272/211273	2	0.759
43400	9.2	1.8	1.7	D10_13	14004316	14011072	6614	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2194	211272	1
241	20.3	4.5	4.5	D10_13	14013210	14013276	67	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	1	211273	1

###258	12.9	4.6	4.6	D10_13	14013424	14013488	65	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	3	211274	1	0.007

###255	23.2	2.9	0.0	D10_13	14014515	14014583	71	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8735)	72	2	211275	1	0.008

###6519/810/13058	11.805	3.903	1.337	D10_13	14326703	14330101	3481	+	EnSpm-1_GR	DNA/EnSpmCACTA	2577	8807	(0)	211390/211391/211392	3	0.395
6519	11.8	2.5	2.3	D10_13	14326703	14327819	1119	+	EnSpm-1_GR	DNA/EnSpmCACTA	2577	3695	(5112)	211390	1
810	5.2	0.0	0.0	D10_13	14327828	14327923	96	+	EnSpm-1_GR	DNA/EnSpmCACTA	3756	3851	(4956)	211391	1
13058	12.1	4.8	0.9	D10_13	14327921	14330101	2266	+	EnSpm-1_GR	DNA/EnSpmCACTA	6542	8807	(0)	211392	1

###19672/20337/470/784/879	9.148	1.743	1.889	D10_13	14563669	14580193	6559	C	EnSpm-1_GR	DNA/EnSpmCACTA	(680)	8127	3	211479/211479/211481/211482/211482	5	0.745
19672	8.4	1.3	0.4	D10_13	14563669	14566414	2770	C	EnSpm-1_GR	DNA/EnSpmCACTA	(680)	8127	5358	211479	1
20337	8.5	1.9	2.9	D10_13	14575522	14578658	3018	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3604)	5203	2186	211479	1
470	15.7	0.0	0.0	D10_13	14579244	14579332	89	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7362)	1445	1357	211481	1
784	24.6	1.4	2.4	D10_13	14579427	14579717	288	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8092)	715	428	211482	1
879	23.6	7.3	8.1	D10_13	14579797	14580193	394	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8411)	396	3	211482	1

