Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###1307	5.4	0.1	6.6	Chr11	1	324	281	+	L1-1_STu	DNA/L1	7982	8262	(1)	180047	1	0.034

###1411/723	28.326	0.384	5.805	Chr11	35737	36601	806	+	Gypsy-58_GR-I	LTR/Gypsy	6702	7572	(636)	180048/180048	2	0.073
1411	29.9	0.2	5.7	Chr11	35737	36363	594	+	Gypsy-58_GR-I	LTR/Gypsy	6702	7295	(913)	180048	1
723	23.9	0.9	6.1	Chr11	36379	36601	212	+	Gypsy-58_GR-I	LTR/Gypsy	7361	7572	(636)	180048	1

###10521	7.8	3.3	0.8	Chr11	38046	39660	1655	+	Gypsy-5_GR-LTR	LTR/Gypsy	1	1655	(438)	180049	1	0.791

###2527/333	11.106	2.662	0.184	Chr11	39655	40141	499	C	Gypsy-5_GR-I	LTR/Gypsy	NA	NA	NA	180050/180050	2	0.051
2527	12.1	2.9	0.2	Chr11	39655	40101	459	C	Gypsy-5_GR-I	LTR/Gypsy	(5171)	459	1	180050	1
333	0.0	0.0	0.0	Chr11	40102	40141	40	C	Gypsy-5_GR-LTR	LTR/Gypsy	(0)	2093	2054	180050	1

###5097/2770	15.915	7.724	8.417	Chr11	57295	59744	2077	C	Gypsy-51_GR-LTR	LTR/Gypsy	(0)	2144	68	180051/180052	2	0.969
5097	11.2	4.6	4.1	Chr11	57295	58332	1043	C	Gypsy-51_GR-LTR	LTR/Gypsy	(0)	2144	1102	180051	1
2770	19.5	10.1	11.7	Chr11	58380	59744	1346	C	Gypsy-51_GR-LTR	LTR/Gypsy	(731)	1413	68	180052	1

###1976	22.5	6.4	2.0	Chr11	83181	83697	539	C	Gypsy-58_GR-LTR	LTR/Gypsy	(0)	1422	884	180053	1	0.379

###279	17.4	0.0	0.0	Chr11	83697	83742	46	+	Copia-38_RC-I	LTR/Copia	4266	4311	(1)	180054	1	No_ref_available

###11266	29.8	3.9	1.6	Chr11	94639	99166	4625	+	Gypsy-2_GR-I	LTR/Gypsy	1	4625	(0)	180055	1	No_ref_available

###2298	27.6	11.4	0.5	Chr11	99643	101614	2243	+	Copia-19_TC-I	LTR/Copia	2083	4325	(0)	180056	1	No_ref_available

###3655/5808	14.562	2.057	0.000	Chr11	107503	111285	1541	C	Copia-54_GR-LTR	LTR/Copia	(849)	1541	1	180057/180057	2	0.645
3655	18.9	2.0	0.0	Chr11	107503	108154	665	C	Copia-54_GR-LTR	LTR/Copia	(849)	1541	877	180057	1
5808	11.3	2.1	0.0	Chr11	110419	111285	885	C	Copia-54_GR-LTR	LTR/Copia	(1505)	885	1	180057	1

###334/6611	16.272	5.690	7.836	Chr11	108275	110418	1992	+	Gypsy-51_GR-LTR	LTR/Gypsy	103	2144	(0)	180058/180058	2	0.929
334	22.4	5.0	15.0	Chr11	108275	108552	254	+	Gypsy-51_GR-LTR	LTR/Gypsy	103	356	(1788)	180058	1
6611	15.3	5.8	6.7	Chr11	108666	110418	1738	+	Gypsy-51_GR-LTR	LTR/Gypsy	407	2144	(0)	180058	1

###237	24.0	0.0	0.0	Chr11	119648	119697	50	+	Gypsy-58_GR-I	LTR/Gypsy	1089	1138	(7070)	180059	1	0.005

###247	30.7	4.9	0.9	Chr11	162905	163006	106	C	Gypsy-127_GM-I	LTR/Gypsy	(333)	4572	4467	180060	1	No_ref_available

###1256/1576/17327/4608/1336	11.717	3.113	3.335	Chr11	234500	239078	4543	+	MuDR-1_GR	DNA/MuDR	1	7183	(8)	180061/180062/180063/180064/180065	5	0.630
1256	23.5	0.5	1.7	Chr11	234500	234838	285	+	MuDR-1_GR	DNA/MuDR	1	285	(6926)	180061	1
1576	15.2	2.0	0.7	Chr11	234842	235145	308	+	MuDR-1_GR	DNA/MuDR	470	777	(6434)	180062	1
17327	6.5	0.2	0.2	Chr11	235135	237332	2198	+	MuDR-1_GR	DNA/MuDR	807	3004	(4207)	180063	1
4608	13.4	7.1	9.0	Chr11	237328	238549	1201	+	MuDR-1_GR	DNA/MuDR	3698	4898	(2313)	180064	1
1336	19.9	8.3	5.8	Chr11	238553	239078	551	+	MuDR-1_GR	DNA/MuDR	6633	7183	(8)	180065	1

###364/4807	22.266	3.426	1.929	Chr11	420812	422322	1313	C	Copia-53_GR-LTR	LTR/Copia	(455)	1444	1	180066/180067	2	0.691
