Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###830/830	1.100	0.000	0.000	Chr09	4928570	4928686	95	C	1166CL0088	LTR	(0)	95	1	140533/140533	2	No_ref_available
830	1.1	0.0	0.0	Chr09	4928570	4928580	42	C	1166CL0088	LTR	(0)	95	54	140533	1
830	1.1	0.0	0.0	Chr09	4928676	4928686	53	C	1166CL0088	LTR	(0)	53	1	140533	1

###850	0.0	0.0	0.0	Chr09	18248650	18248744	95	C	1445CL0153	LTR	(0)	95	1	142906	1	No_ref_available

###579	8.5	1.1	0.0	Chr09	12237928	12238021	95	+	2399CL0030	LTR	1	95	(0)	141739	1	No_ref_available

###834	2.1	0.0	0.0	Chr09	9693666	9693790	95	+	2478CL0088	LTR	1	95	(0)	141346	1	No_ref_available

###833	0.5	0.0	0.8	Chr09	9693676	9693802	95	C	2503CL0088	LTR	(0)	95	1	141347	1	No_ref_available

###834	1.1	0.0	0.0	Chr09	4928581	4928675	95	+	2532CL0088	LTR	1	95	(0)	140534	1	No_ref_available

###853	0.0	0.0	0.0	Chr09	5050686	5050780	95	+	2565CL0030	LTR	1	95	(0)	140545	1	No_ref_available

###855	0.0	0.0	0.0	Chr09	24646135	24646229	95	+	4084CL0030	LTR	1	95	(0)	144278	1	No_ref_available

###825	0.0	0.0	0.0	Chr09	7472684	7472778	95	C	420CL0155	LTR	(0)	95	1	140947	1	No_ref_available

###579	11.7	1.1	0.0	Chr09	7588893	7588986	95	C	420CL0155	LTR	(0)	95	1	140993	1	No_ref_available

###549	12.9	1.1	0.0	Chr09	7732628	7732720	94	+	420CL0155	LTR	2	95	(0)	141050	1	No_ref_available

###273	28.3	2.2	0.0	Chr09	7733604	7733695	94	C	420CL0155	LTR	(0)	95	2	141053	1	No_ref_available

###258	25.8	1.1	2.1	Chr09	7789730	7789824	94	+	420CL0155	LTR	2	95	(0)	141065	1	No_ref_available

###672	6.5	1.1	0.0	Chr09	7960668	7960760	94	C	420CL0155	LTR	(0)	95	2	141094	1	No_ref_available

###836	1.1	0.0	0.0	Chr09	10670968	10671062	95	+	4217CL0030	LTR	1	95	(0)	141459	1	No_ref_available

###836	1.4	0.0	0.0	Chr09	12324266	12324389	95	C	4217CL0030	LTR	(0)	95	1	141777	1	No_ref_available

###387	16.9	2.2	2.2	Chr09	11961759	11961849	91	C	458CL0177	LTR	(0)	95	5	141691	1	No_ref_available

