Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###233/258	19.711	2.697	1.394	D10_11	6873694	6874582	115	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6690)	5913	5799	173003/173004	2	0.009
233	20.7	4.9	0.0	D10_11	6873694	6873775	86	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6690)	5913	5828	173003	1
258	18.5	0.0	3.1	D10_11	6874516	6874582	65	C	EnSpm-12_OS	DNA/CMC-EnSpm	(6740)	5863	5799	173004	1

###251	13.0	4.3	0.0	D10_11	4324181	4324249	72	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6704)	5899	5828	172610	1	0.006

###231	13.2	0.0	0.0	D10_11	6474944	6474996	53	+	EnSpm-12_OS	DNA/EnSpmCACTA	5822	5874	(6729)	172922	1	0.004

###282	6.2	0.0	0.0	D10_11	6536166	6536229	64	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6705)	5898	5835	172932	1	0.005

###283	14.9	0.0	0.0	D10_11	6737195	6737261	67	C	EnSpm-12_OS	DNA/EnSpmCACTA	(6701)	5902	5836	172989	1	0.005

###282	15.7	4.3	0.0	D10_11	6737210	6737279	73	+	EnSpm-12_OS	DNA/EnSpmCACTA	5832	5904	(6699)	172989	1	0.006

###255	16.9	1.5	0.0	D10_11	6874493	6874557	66	+	EnSpm-12_OS	DNA/EnSpmCACTA	5812	5877	(6726)	173004	1	0.005

###236	6.1	3.0	0.0	D10_11	67745	67777	34	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8774	171984	1	0.004

###46923	6.7	2.2	1.5	D10_11	72209	78717	6556	+	EnSpm-1_GR	DNA/EnSpmCACTA	2252	8807	(0)	171985	1	0.744

###13537/320	5.378	1.173	1.173	D10_11	3568715	3570504	1758	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7050	172485/172485	2	0.200
13537	5.5	1.2	1.2	D10_11	3568715	3570470	1757	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7051	172485	1
320	0.0	0.0	0.0	D10_11	3570465	3570504	40	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1718)	7089	7050	172485	1

###50465	5.6	1.2	1.1	D10_11	4458820	4465431	6614	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2194	172623	1	0.751

###262/246/50214	14.291	1.884	1.166	D10_11	5788377	5805707	6330	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	8807	(0)	172793/172804/172805	3	0.719
262	27.9	1.5	0.0	D10_11	5788377	5788444	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	3	71	(8736)	172793	1
246	13.2	2.4	2.4	D10_11	5798888	5798972	85	+	EnSpm-1_GR	DNA/EnSpmCACTA	2547	2631	(6176)	172804	1
50214	5.6	1.7	0.9	D10_11	5799073	5805707	6688	+	EnSpm-1_GR	DNA/EnSpmCACTA	2120	8807	(0)	172805	1

###3108/21567/5086	14.914	2.301	1.371	D10_11	6801961	6809957	5221	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2750	172993/172994/172994	3	0.593
3108	19.2	8.0	2.7	D10_11	6801961	6802773	855	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7953	172993	1
21567	13.6	0.5	0.9	D10_11	6802773	6806159	3376	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1692)	7115	3740	172994	1
5086	15.9	3.8	1.9	D10_11	6808981	6809957	995	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5063)	3744	2750	172994	1

###229/10841/29157	9.016	0.748	1.202	D10_11	8223206	8233746	6037	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	173221/173222/173223	3	0.685
229	12.1	0.0	0.0	D10_11	8223206	8223238	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	34	(8773)	173221	1
10841	7.2	0.4	0.3	D10_11	8226405	8227821	1419	+	EnSpm-1_GR	DNA/EnSpmCACTA	2804	4222	(4585)	173222	1
29157	10.7	1.1	2.1	D10_11	8229078	8233746	4594	+	EnSpm-1_GR	DNA/EnSpmCACTA	4214	8807	(0)	173223	1

###244/5180/3972/21413	7.140	2.120	4.260	D10_11	9589932	9596462	4836	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	173483/173486/173487/173488	4	0.549
244	31.2	0.0	0.0	D10_11	9589932	9590008	77	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	77	(8730)	173483	1
5180	6.6	3.0	0.5	D10_11	9591400	9592190	811	+	EnSpm-1_GR	DNA/EnSpmCACTA	928	1738	(7069)	173486	1
3972	10.5	3.5	14.6	D10_11	9592193	9593769	1265	+	EnSpm-1_GR	DNA/EnSpmCACTA	1821	3085	(5722)	173487	1
21413	3.8	0.8	1.4	D10_11	9593764	9596462	2683	+	EnSpm-1_GR	DNA/EnSpmCACTA	6125	8807	(0)	173488	1

###488	13.0	0.0	0.0	D10_11	9590178	9590246	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	69	(8738)	173484	1	0.008

###2389	14.3	4.4	6.4	D10_11	9590426	9591015	579	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	579	(8228)	173485	1	0.066

###267/2246/33211	6.729	0.688	1.867	D10_11	9640693	9647499	4678	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	173500/173501/173502	3	0.531
267	20.3	4.5	4.5	D10_11	9640693	9640759	67	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	67	(8740)	173500	1
2246	10.3	0.4	3.8	D10_11	9642862	9643452	559	+	EnSpm-1_GR	DNA/EnSpmCACTA	2304	2862	(5945)	173501	1
33211	3.6	0.6	0.5	D10_11	9643452	9647499	4052	+	EnSpm-1_GR	DNA/EnSpmCACTA	4756	8807	(0)	173502	1

###49676/265/280/271	6.226	1.790	0.992	D10_11	13883420	13893753	6754	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	174415/174416/174417/174418	4	0.767
49676	5.8	1.7	1.0	D10_11	13883420	13890054	6679	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2129	174415	1
265	25.0	1.4	0.0	D10_11	13893398	13893469	73	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8732)	75	3	174416	1
280	23.5	1.5	0.0	D10_11	13893526	13893593	69	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	2	174417	1
271	19.4	13.9	2.3	D10_11	13893675	13893753	88	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8719)	88	1	174418	1

###648/49769	4.599	1.312	1.086	D10_11	15357254	15366671	6504	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2304	174830/174830	2	0.739
648	4.5	2.3	0.0	D10_11	15357254	15357334	83	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8725	174830	1
49769	4.6	1.3	1.1	D10_11	15360256	15366671	6427	C	EnSpm-1_GR	DNA/EnSpmCACTA	(77)	8730	2304	174830	1

###4997	12.8	0.4	0.0	D10_11	15876515	15877261	750	+	EnSpm-1_GR	DNA/EnSpmCACTA	5847	6596	(2211)	175021	1	0.085

###316/249/37716	10.961	2.167	1.281	D10_11	15990135	15998441	5639	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8189	(618)	175050/175051/175052	3	0.640
316	13.4	7.0	5.6	D10_11	15990135	15990205	72	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	72	(8735)	175050	1
249	6.8	2.3	0.0	D10_11	15992591	15992634	45	+	EnSpm-1_GR	DNA/EnSpmCACTA	2623	2667	(6140)	175051	1
37716	11.0	0.8	0.3	D10_11	15992893	15998441	5573	+	EnSpm-1_GR	DNA/EnSpmCACTA	2617	8189	(618)	175052	1

###1710	16.6	8.0	5.3	D10_11	16010952	16011487	625	+	EnSpm-1_GR	DNA/EnSpmCACTA	8183	8807	(0)	175057	1	0.071

###17079/5004/5705	16.006	1.867	0.994	D10_11	16817286	16828775	5076	+	EnSpm-1_GR	DNA/EnSpmCACTA	2960	8807	(0)	175248/175249/175251	3	0.576
17079	15.4	0.9	0.1	D10_11	16817286	16820072	2809	+	EnSpm-1_GR	DNA/EnSpmCACTA	2960	5768	(3039)	175248	1
5004	15.4	1.4	1.3	D10_11	16820084	16820942	860	+	EnSpm-1_GR	DNA/EnSpmCACTA	5701	6560	(2247)	175249	1
5705	17.6	4.1	2.6	D10_11	16827385	16828775	1475	+	EnSpm-1_GR	DNA/EnSpmCACTA	7333	8807	(0)	175251	1

###245/42392/4895	6.292	1.798	1.745	D10_11	17228245	17236853	6831	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	175341/175342/175343	3	0.776
245	22.2	4.8	0.0	D10_11	17228245	17228307	66	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	66	(8741)	175341	1
42392	6.1	1.6	1.9	D10_11	17229977	17235948	5781	+	EnSpm-1_GR	DNA/EnSpmCACTA	1983	7763	(1044)	175342	1
4895	6.5	3.2	0.6	D10_11	17235946	17236853	984	+	EnSpm-1_GR	DNA/EnSpmCACTA	7824	8807	(0)	175343	1

