Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###17505/1882/290	3.661	0.399	1.559	Chr13	2593481	2603889	2498	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1839	209404/209404/209407	3	0.284
17505	3.6	0.4	1.7	Chr13	2593481	2595685	2177	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6631	209404	1
1882	2.7	0.0	0.0	Chr13	2603572	2603791	220	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2174)	6633	6414	209404	1
290	18.0	3.9	2.9	Chr13	2603787	2603889	104	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6865)	1942	1839	209407	1

###226/22146	4.073	0.410	0.897	Chr13	2597660	2603282	2763	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	209405/209406	2	0.314
226	17.9	8.2	8.2	Chr13	2597660	2597732	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	73	(8734)	209405	1
22146	3.7	0.2	0.7	Chr13	2600580	2603282	2690	+	EnSpm-1_GR	DNA/EnSpmCACTA	6118	8807	(0)	209406	1

###1140/875/1321/656/745/39712	12.294	3.984	2.032	Chr13	4407559	4418907	7488	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	209732/209733/209734/209735/209736/209739	6	0.850
1140	18.4	6.9	13.6	Chr13	4407559	4407979	396	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	396	(8411)	209732	1
875	21.1	1.6	2.1	Chr13	4408045	4408286	241	+	EnSpm-1_GR	DNA/EnSpmCACTA	417	657	(8150)	209733	1
1321	10.4	15.7	0.5	Chr13	4408355	4408733	503	+	EnSpm-1_GR	DNA/EnSpmCACTA	943	1445	(7362)	209734	1
656	9.7	2.4	0.8	Chr13	4408909	4409033	127	+	EnSpm-1_GR	DNA/EnSpmCACTA	1455	1581	(7226)	209735	1
745	11.7	2.8	6.4	Chr13	4409707	4409974	216	+	EnSpm-1_GR	DNA/EnSpmCACTA	2587	2802	(6005)	209736	1
39712	11.2	2.7	0.5	Chr13	4412795	4418907	6244	+	EnSpm-1_GR	DNA/EnSpmCACTA	2564	8807	(0)	209739	1

###6958	16.9	4.3	0.8	Chr13	4846228	4847564	1383	+	EnSpm-1_GR	DNA/EnSpmCACTA	7172	8554	(253)	209841	1	0.157

###31865/407	15.381	1.873	1.183	Chr13	5484626	5492717	5796	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	2906	210027/210027	2	0.658
31865	15.3	1.9	1.2	Chr13	5484626	5490238	5720	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	2982	210027	1
407	21.0	0.0	0.0	Chr13	5492637	5492717	81	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5821)	2986	2906	210027	1

###16132/3121	4.716	1.100	1.477	Chr13	5630686	5633189	2485	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6146	210050/210050	2	0.282
16132	4.9	1.3	1.6	Chr13	5630686	5632796	2105	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6703	210050	1
3121	3.7	0.0	0.8	Chr13	5632807	5633189	380	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2282)	6525	6146	210050	1

###1593/31339	4.644	1.916	0.671	Chr13	5661564	5665785	4282	+	EnSpm-1_GR	DNA/EnSpmCACTA	4259	8807	(0)	210061/210062	2	0.486
1593	1.1	0.0	0.0	Chr13	5661564	5661741	178	+	EnSpm-1_GR	DNA/EnSpmCACTA	4259	4436	(4371)	210061	1
31339	4.8	2.0	0.7	Chr13	5661734	5665785	4104	+	EnSpm-1_GR	DNA/EnSpmCACTA	4704	8807	(0)	210062	1

###52855/312	4.185	1.295	0.440	Chr13	5795960	5802536	6652	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1823	210099/210099	2	0.755
52855	3.9	1.3	0.4	Chr13	5795960	5802458	6553	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2255	210099	1
312	22.5	1.0	3.0	Chr13	5802436	5802536	99	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6886)	1921	1823	210099	1

