Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###3334/527/866/1573	25.964	0.342	2.941	D10_04	310202	311926	1532	+	EnSpm-1_GR	DNA/EnSpmCACTA	4391	6632	(2175)	54899/54900/54901/54902	4	0.174
3334	25.4	0.6	3.8	D10_04	310202	311133	904	+	EnSpm-1_GR	DNA/EnSpmCACTA	4391	5294	(3513)	54899	1
527	26.7	0.0	0.0	D10_04	311127	311246	120	+	EnSpm-1_GR	DNA/EnSpmCACTA	5208	5327	(3480)	54900	1
866	26.3	0.0	0.0	D10_04	311323	311508	186	+	EnSpm-1_GR	DNA/EnSpmCACTA	5413	5598	(3209)	54901	1
1573	26.9	0.0	3.2	D10_04	311505	311926	409	+	EnSpm-1_GR	DNA/EnSpmCACTA	6224	6632	(2175)	54902	1

###3867/3077	16.522	3.927	4.049	D10_04	1902842	1904466	1671	+	EnSpm-1_GR	DNA/EnSpmCACTA	6929	8807	(0)	55184/55185	2	0.190
3867	15.5	1.6	0.7	D10_04	1902842	1903535	700	+	EnSpm-1_GR	DNA/EnSpmCACTA	6929	7628	(1179)	55184	1
3077	17.3	5.7	6.6	D10_04	1903556	1904466	971	+	EnSpm-1_GR	DNA/EnSpmCACTA	7837	8807	(0)	55185	1

###249/279/1362/8236	13.154	3.030	1.418	D10_04	3276239	3279522	1699	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	7749	(1058)	55432/55434/55435/55436	4	0.193
249	25.3	2.6	1.3	D10_04	3276239	3276314	77	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	77	(8730)	55432	1
279	13.1	1.4	2.9	D10_04	3277197	3277267	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	1740	1809	(6998)	55434	1
1362	10.9	9.3	1.8	D10_04	3278016	3278473	503	+	EnSpm-1_GR	DNA/EnSpmCACTA	2380	2882	(5925)	55435	1
