Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###4077/1691	25.825	1.525	2.800	Chr12	326522	328154	1617	+	EnSpm-1_GR	DNA/EnSpmCACTA	4391	6632	(2175)	198900/198901	2	0.184
4077	26.2	1.7	3.4	Chr12	326522	327749	1208	+	EnSpm-1_GR	DNA/EnSpmCACTA	4391	5598	(3209)	198900	1
1691	24.7	1.0	1.0	Chr12	327746	328154	409	+	EnSpm-1_GR	DNA/EnSpmCACTA	6224	6632	(2175)	198901	1

###2170	11.6	3.7	3.3	Chr12	480251	480889	754	+	EnSpm-1_GR	DNA/EnSpmCACTA	8054	8807	(0)	198932	1	0.086

###11747/21085	10.678	3.338	1.564	Chr12	1188086	1194828	5588	+	EnSpm-1_GR	DNA/EnSpmCACTA	2069	8807	(0)	199075/199076	2	0.634
11747	10.1	5.2	1.5	Chr12	1188086	1190086	2073	+	EnSpm-1_GR	DNA/EnSpmCACTA	2069	4141	(4666)	199075	1
21085	11.0	2.3	1.6	Chr12	1191238	1194828	3515	+	EnSpm-1_GR	DNA/EnSpmCACTA	5293	8807	(0)	199076	1

###3727/3061/225	15.724	2.828	2.996	Chr12	2043229	2044854	1463	+	EnSpm-1_GR	DNA/EnSpmCACTA	6929	8807	(0)	199256/199257/199258	3	0.166
3727	16.3	1.7	0.6	Chr12	2043229	2043920	700	+	EnSpm-1_GR	DNA/EnSpmCACTA	6929	7628	(1179)	199256	1
3061	15.4	3.9	5.4	Chr12	2043941	2044604	718	+	EnSpm-1_GR	DNA/EnSpmCACTA	7837	8554	(253)	199257	1
225	11.6	4.4	4.4	Chr12	2044810	2044854	45	+	EnSpm-1_GR	DNA/EnSpmCACTA	8763	8807	(0)	199258	1

###6997/6617	12.786	2.886	2.578	Chr12	3869205	3871947	2564	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6177	199635/199635	2	0.291
6997	13.3	3.4	4.0	Chr12	3869205	3870803	1502	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7306	199635	1
6617	12.0	2.1	0.4	Chr12	3870904	3871947	1062	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1569)	7238	6177	199635	1

###650/258	17.057	3.914	1.474	Chr12	5312054	5313155	208	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7069)	1738	2	199938/199939	2	0.024
650	13.5	4.7	0.8	Chr12	5312054	5312180	132	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7069)	1738	1607	199938	1
258	23.0	2.6	2.6	Chr12	5313080	5313155	76	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	2	199939	1

###289	18.9	2.6	2.6	Chr12	5313163	5313238	76	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	2	199939	1	0.009

###260	21.6	2.6	2.6	Chr12	5313246	5313321	76	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	2	199939	1	0.009

###6829/40344	6.083	1.334	1.516	Chr12	5343529	5350522	6736	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2066	199949/199949	2	0.765
6829	6.0	2.0	0.6	Chr12	5343529	5344680	1218	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7590	199949	1
40344	6.1	1.2	1.7	Chr12	5344781	5350522	5518	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1224)	7583	2066	199949	1

###537	20.0	12.0	2.0	Chr12	6128439	6128663	247	C	EnSpm-1_GR	DNA/EnSpmCACTA	(3)	8804	8558	200106	1	0.028

###41667/252	9.927	2.191	0.889	Chr12	6269713	6278447	6233	C	EnSpm-1_GR	DNA/EnSpmCACTA	(86)	8721	3	200134/200135	2	0.708
41667	9.7	2.2	0.9	Chr12	6269713	6275788	6159	C	EnSpm-1_GR	DNA/EnSpmCACTA	(86)	8721	2563	200134	1
252	28.8	1.4	0.0	Chr12	6278375	6278447	74	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8731)	76	3	200135	1

###40340/1703	9.839	1.773	1.424	Chr12	6286569	6292959	6430	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2193	200138/200138	2	0.730
40340	9.4	1.3	0.4	Chr12	6286569	6292252	5735	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	3073	200138	1
1703	13.3	5.5	9.5	Chr12	6292239	6292959	695	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5920)	2887	2193	200138	1

###237/1499/12527/8861	11.863	3.650	9.108	Chr12	6294382	6304239	4060	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	200139/200140/200141/200142	4	0.461
237	16.7	2.4	0.0	Chr12	6294382	6294423	43	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	44	(8763)	200139	1
1499	14.6	6.2	14.8	Chr12	6296735	6297539	793	+	EnSpm-1_GR	DNA/EnSpmCACTA	2071	2863	(5944)	200140	1
12527	5.2	0.1	0.2	Chr12	6300764	6302320	1555	+	EnSpm-1_GR	DNA/EnSpmCACTA	4935	6489	(2318)	200141	1
8861	13.2	1.8	7.4	Chr12	6302478	6304239	1669	+	EnSpm-1_GR	DNA/EnSpmCACTA	7139	8807	(0)	200142	1

###29464/242	3.815	1.453	0.470	Chr12	7189383	7193485	3955	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	200400/200401	2	0.449
29464	3.5	1.4	0.4	Chr12	7189383	7193231	3888	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	4920	200400	1
242	21.9	4.5	4.5	Chr12	7193419	7193485	67	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	1	200401	1

###250	19.4	5.6	5.6	Chr12	7193497	7193567	71	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8736)	71	1	200401	1	0.008

###14140	12.7	2.8	2.5	Chr12	7575956	7578667	2631	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6177	200489	1	0.299

###258/674/16668/7118	9.194	3.309	1.352	Chr12	7646640	7662467	3632	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	5766	(3041)	200507/200508/200509/200510	4	0.412
258	23.0	2.6	2.6	Chr12	7646640	7646715	76	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	77	(8730)	200507	1
674	11.9	4.7	0.8	Chr12	7647601	7647727	132	+	EnSpm-1_GR	DNA/EnSpmCACTA	1607	1738	(7069)	200508	1
16668	6.9	3.3	1.4	Chr12	7658778	7661355	2603	+	EnSpm-1_GR	DNA/EnSpmCACTA	2051	4653	(4154)	200509	1
7118	1.6	0.2	0.1	Chr12	7661648	7662467	821	+	EnSpm-1_GR	DNA/EnSpmCACTA	4946	5766	(3041)	200510	1

###21463	3.4	0.2	0.8	Chr12	7662456	7665068	2597	+	EnSpm-1_GR	DNA/EnSpmCACTA	6211	8807	(0)	200511	1	0.295

###233	10.2	11.8	3.6	Chr12	8040158	8040208	55	+	EnSpm-1_GR	DNA/EnSpmCACTA	8753	8807	(0)	200636	1	0.006

###29418/14014	5.148	1.645	0.694	Chr12	8209154	8215080	6250	C	EnSpm-1_GR	DNA/EnSpmCACTA	(452)	8355	1839	200686/200686	2	0.710
29418	1.9	0.1	0.1	Chr12	8209154	8212735	3581	C	EnSpm-1_GR	DNA/EnSpmCACTA	(452)	8355	4775	200686	1
14014	10.1	4.0	1.6	Chr12	8212731	8215080	2669	C	EnSpm-1_GR	DNA/EnSpmCACTA	(4300)	4507	1839	200686	1

###252	10.5	2.6	0.0	Chr12	8272703	8272740	39	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	40	(8767)	200700	1	0.004

###36045/492	13.553	2.107	0.391	Chr12	8530698	8536735	6259	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	996	200767/200768	2	0.711
36045	13.5	1.7	0.4	Chr12	8530698	8536602	6093	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2715	200767	1
492	15.8	19.4	0.0	Chr12	8536597	8536735	166	C	EnSpm-1_GR	DNA/EnSpmCACTA	(7646)	1161	996	200768	1

###49545/253/234	4.712	0.952	0.869	Chr12	8782250	8791463	6587	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8)	8799	1	200843/200844/200845	3	0.748
49545	4.0	0.6	0.8	Chr12	8782250	8788608	6395	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8)	8799	2405	200843	1
253	25.7	13.3	3.2	Chr12	8790956	8791128	190	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8615)	192	3	200844	1
234	23.4	3.1	1.5	Chr12	8791399	8791463	66	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8741)	66	1	200845	1

###230	25.3	2.6	1.3	Chr12	8791471	8791546	77	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	1	200845	1	0.009

###320/333	18.144	3.616	2.121	Chr12	8791556	8791896	77	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	1	200845/200846	2	0.009
320	23.0	1.4	0.0	Chr12	8791556	8791629	75	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8730)	77	3	200845	1
333	12.7	6.1	4.5	Chr12	8791831	8791896	67	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8740)	67	1	200846	1

###9384/302/227	15.400	2.123	3.161	Chr12	9631032	9637964	2297	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	201078/201079/201080	3	0.261
9384	14.9	1.7	2.6	Chr12	9631032	9633020	2034	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6774	201078	1
302	20.2	5.9	8.2	Chr12	9633564	9633800	232	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6753)	2054	1823	201079	1
227	9.7	0.0	0.0	Chr12	9637934	9637964	31	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8775)	32	2	201080	1

###819/37397/835	9.707	1.465	1.969	Chr12	10062992	10073340	6300	+	EnSpm-1_GR	DNA/EnSpmCACTA	2377	8807	(0)	201225/201226/201232	3	0.715
819	12.0	5.7	6.8	Chr12	10062992	10063394	399	+	EnSpm-1_GR	DNA/EnSpmCACTA	2377	2775	(6032)	201225	1
37397	9.3	0.8	1.7	Chr12	10063616	10069366	5666	+	EnSpm-1_GR	DNA/EnSpmCACTA	2889	8554	(253)	201226	1
835	16.7	11.9	0.0	Chr12	10073131	10073340	235	+	EnSpm-1_GR	DNA/EnSpmCACTA	8573	8807	(0)	201232	1

###335/3795/37907	9.374	1.404	3.075	Chr12	14466857	14474732	6078	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8214	(593)	202652/202653/202654	3	0.690
335	23.7	1.3	0.0	Chr12	14466857	14466932	77	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	77	(8730)	202652	1
