Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###847	2.1	0.0	0.0	Chr10	670864	670958	95	C	1920CL0124	LTR	(0)	95	1	159837	1	No_ref_available

###417	8.2	0.0	1.4	Chr10	61691844	61691917	73	+	858CL0177	LTR	23	95	(0)	179928	1	No_ref_available

###229	19.4	1.4	2.7	Chr10	61766010	61766083	73	+	858CL0177	LTR	23	95	(0)	179942	1	No_ref_available

###534	9.9	0.0	0.0	Chr10	61785442	61785522	81	C	858CL0177	LTR	(0)	95	15	179950	1	No_ref_available

###232	22.9	1.4	0.0	Chr10	61870084	61870153	71	C	858CL0177	LTR	(0)	95	25	179966	1	No_ref_available

###414	15.0	1.2	1.2	Chr10	61984918	61984998	81	C	858CL0177	LTR	(3)	92	12	180003	1	No_ref_available

###812	0.0	0.0	0.0	Chr10	62065169	62065263	95	C	858CL0177	LTR	(0)	95	1	180014	1	No_ref_available

###407	5.0	6.7	10.3	Chr10	62068710	62068799	87	C	858CL0177	LTR	(0)	95	9	180017	1	No_ref_available

###270	19.3	10.7	1.1	Chr10	62081723	62081806	92	C	858CL0177	LTR	(0)	95	4	180022	1	No_ref_available

###436	8.2	0.0	0.0	Chr10	62091259	62091331	73	C	858CL0177	LTR	(0)	95	23	180031	1	No_ref_available

###287	3.8	0.0	1.9	Chr10	62108562	62108614	52	C	858CL0177	LTR	(19)	76	25	180036	1	No_ref_available

###430	11.0	0.0	0.0	Chr10	62166520	62166592	73	C	858CL0177	LTR	(0)	95	23	180044	1	No_ref_available

###825	1.1	0.0	0.0	Chr10	61230483	61230576	94	C	1349CL0128	LTR/Copia	(1)	94	1	179856	1	No_ref_available

###420	18.3	1.1	2.1	Chr10	75598	75692	94	+	161CL0250	LTR/Copia	2	95	(0)	159748	1	No_ref_available

###225	29.8	1.2	0.0	Chr10	130466	130549	85	C	161CL0250	LTR/Copia	(0)	95	11	159755	1	No_ref_available

###300	28.7	0.0	0.0	Chr10	173709	173795	87	+	161CL0250	LTR/Copia	1	87	(8)	159756	1	No_ref_available

###842	0.0	0.0	0.0	Chr10	200821	200915	95	C	161CL0250	LTR/Copia	(0)	95	1	159757	1	No_ref_available

###227	26.7	2.6	3.9	Chr10	217049	217126	77	C	161CL0250	LTR/Copia	(0)	95	19	159758	1	No_ref_available

###446	23.2	0.0	0.0	Chr10	217314	217408	95	+	161CL0250	LTR/Copia	1	95	(0)	159759	1	No_ref_available

###248	14.3	0.0	0.0	Chr10	226182	226223	42	+	161CL0250	LTR/Copia	12	53	(42)	159760	1	No_ref_available

###396	17.5	2.5	1.2	Chr10	226254	226334	82	C	161CL0250	LTR/Copia	(9)	86	5	159761	1	No_ref_available

###397	17.1	2.6	0.0	Chr10	230727	230802	78	+	161CL0250	LTR/Copia	8	85	(10)	159762	1	No_ref_available

###300	25.6	1.2	0.0	Chr10	285820	285905	87	C	161CL0250	LTR/Copia	(8)	87	1	159771	1	No_ref_available

###298	11.5	1.9	0.0	Chr10	315756	315807	53	+	161CL0250	LTR/Copia	1	53	(42)	159773	1	No_ref_available

###423	21.3	1.1	0.0	Chr10	317107	317200	95	+	161CL0250	LTR/Copia	1	95	(0)	159774	1	No_ref_available

###242	30.6	0.0	0.0	Chr10	348588	348659	72	C	161CL0250	LTR/Copia	(1)	94	23	159779	1	No_ref_available

###369	24.5	0.0	1.1	Chr10	368598	368692	94	+	161CL0250	LTR/Copia	1	94	(1)	159782	1	No_ref_available

###312	9.6	1.9	0.0	Chr10	369179	369230	53	+	161CL0250	LTR/Copia	1	53	(42)	159783	1	No_ref_available

###318	26.2	0.0	0.0	Chr10	372742	372821	80	C	161CL0250	LTR/Copia	(1)	94	15	159784	1	No_ref_available

###256	15.4	1.9	0.0	Chr10	413860	413911	53	+	161CL0250	LTR/Copia	1	53	(42)	159787	1	No_ref_available

###252	23.0	0.0	2.7	Chr10	413936	414011	74	C	161CL0250	LTR/Copia	(21)	74	1	159788	1	No_ref_available

###372	26.1	0.0	0.0	Chr10	415167	415254	88	+	161CL0250	LTR/Copia	8	95	(0)	159789	1	No_ref_available

###254	15.4	1.9	0.0	Chr10	415280	415331	53	C	161CL0250	LTR/Copia	(42)	53	1	159790	1	No_ref_available

###483	20.4	0.0	0.0	Chr10	422084	422176	93	C	161CL0250	LTR/Copia	(2)	93	1	159793	1	No_ref_available

###340	27.4	0.0	0.0	Chr10	428157	428251	95	C	161CL0250	LTR/Copia	(0)	95	1	159794	1	No_ref_available

###330	20.0	1.4	0.0	Chr10	433928	433997	71	C	161CL0250	LTR/Copia	(24)	71	1	159796	1	No_ref_available

###359	23.4	1.0	3.2	Chr10	436904	437000	95	+	161CL0250	LTR/Copia	1	95	(0)	159797	1	No_ref_available

###272	12.5	2.1	0.0	Chr10	437026	437073	49	C	161CL0250	LTR/Copia	(42)	53	5	159798	1	No_ref_available

###284	24.1	13.2	0.0	Chr10	440991	441073	94	+	161CL0250	LTR/Copia	1	94	(1)	159799	1	No_ref_available

###371	24.1	0.0	0.0	Chr10	444108	444194	87	+	161CL0250	LTR/Copia	9	95	(0)	159800	1	No_ref_available

###486	18.1	1.1	0.0	Chr10	445883	445976	95	C	161CL0250	LTR/Copia	(0)	95	1	159801	1	No_ref_available

###330	12.9	3.2	0.0	Chr10	461523	461584	64	C	161CL0250	LTR/Copia	(26)	69	6	159802	1	No_ref_available

###449	22.1	0.0	0.0	Chr10	479600	479694	95	C	161CL0250	LTR/Copia	(0)	95	1	159804	1	No_ref_available

###433	19.0	0.0	0.0	Chr10	482624	482702	79	+	161CL0250	LTR/Copia	17	95	(0)	159805	1	No_ref_available

###307	9.6	1.9	0.0	Chr10	489613	489664	53	+	161CL0250	LTR/Copia	1	53	(42)	159806	1	No_ref_available

###839	1.1	0.0	0.0	Chr10	61229438	61229532	95	C	1740CL0128	LTR/Copia	(0)	95	1	179852	1	No_ref_available

###839	2.1	0.0	0.0	Chr10	671036	671163	95	C	1783CL0144	LTR/Copia	(0)	95	1	159838	1	No_ref_available

###831	1.1	0.0	0.0	Chr10	61230420	61230514	95	+	1785CL0128	LTR/Copia	1	95	(0)	179855	1	No_ref_available

###831	1.1	0.0	0.0	Chr10	2997806	2997900	95	+	1821CL0128	LTR/Copia	1	95	(0)	160245	1	No_ref_available

###848	0.0	0.0	0.0	Chr10	3002985	3003079	95	C	1821CL0128	LTR/Copia	(0)	95	1	160250	1	No_ref_available

###834	1.1	0.0	0.0	Chr10	61229425	61229519	95	+	1821CL0128	LTR/Copia	1	95	(0)	179851	1	No_ref_available

###266	30.3	0.0	1.3	Chr10	1997233	1997309	76	C	183CL0250	LTR/Copia	(0)	95	20	160002	1	No_ref_available

###395	21.5	0.0	0.0	Chr10	2021221	2021299	79	+	183CL0250	LTR/Copia	15	93	(2)	160005	1	No_ref_available

###322	17.7	7.5	1.2	Chr10	2021505	2021584	85	C	183CL0250	LTR/Copia	(0)	95	11	160006	1	No_ref_available

###519	11.1	0.0	2.5	Chr10	2026062	2026144	81	+	183CL0250	LTR/Copia	15	95	(0)	160008	1	No_ref_available

###387	18.5	0.0	1.2	Chr10	2026359	2026440	81	C	183CL0250	LTR/Copia	(0)	95	15	160009	1	No_ref_available

###329	21.5	0.0	0.0	Chr10	2090563	2090627	65	+	183CL0250	LTR/Copia	15	79	(16)	160018	1	No_ref_available

###340	25.9	0.0	1.2	Chr10	2090781	2090862	81	+	183CL0250	LTR/Copia	15	95	(0)	160019	1	No_ref_available

###433	16.9	0.0	1.3	Chr10	2120299	2120376	77	+	183CL0250	LTR/Copia	15	91	(4)	160027	1	No_ref_available

###402	23.8	0.0	0.0	Chr10	2120563	2120646	84	C	183CL0250	LTR/Copia	(0)	95	12	160028	1	No_ref_available

###304	22.3	3.5	1.1	Chr10	2121335	2121420	88	C	183CL0250	LTR/Copia	(1)	94	7	160029	1	No_ref_available

###383	20.0	0.0	1.2	Chr10	2128887	2128967	80	+	183CL0250	LTR/Copia	16	95	(0)	160030	1	No_ref_available

###475	13.9	0.0	1.3	Chr10	2129182	2129261	79	C	183CL0250	LTR/Copia	(1)	94	16	160031	1	No_ref_available

###520	10.0	0.0	1.2	Chr10	2149335	2149415	80	+	183CL0250	LTR/Copia	15	94	(1)	160035	1	No_ref_available

###370	21.0	0.0	1.2	Chr10	2149631	2149712	81	C	183CL0250	LTR/Copia	(0)	95	15	160036	1	No_ref_available

###394	14.7	1.3	1.3	Chr10	2150223	2150298	76	+	183CL0250	LTR/Copia	20	95	(0)	160037	1	No_ref_available

###417	15.6	2.5	2.5	Chr10	2150511	2150589	79	C	183CL0250	LTR/Copia	(1)	94	16	160038	1	No_ref_available

###243	26.5	0.0	1.5	Chr10	2151581	2151649	68	+	183CL0250	LTR/Copia	26	93	(2)	160039	1	No_ref_available

###268	26.9	0.0	0.0	Chr10	2166316	2166382	67	C	183CL0250	LTR/Copia	(0)	95	29	160044	1	No_ref_available

###332	25.9	0.0	1.2	Chr10	2181598	2181679	81	+	183CL0250	LTR/Copia	15	95	(0)	160045	1	No_ref_available

###344	23.8	0.0	1.2	Chr10	2218463	2218543	80	+	183CL0250	LTR/Copia	15	94	(1)	160047	1	No_ref_available

###260	23.2	0.0	0.0	Chr10	2221837	2221892	56	+	183CL0250	LTR/Copia	38	93	(2)	160048	1	No_ref_available

###324	23.8	0.0	1.2	Chr10	2231373	2231453	80	+	183CL0250	LTR/Copia	15	94	(1)	160049	1	No_ref_available

###473	13.9	0.0	1.3	Chr10	2246483	2246562	79	C	183CL0250	LTR/Copia	(1)	94	16	160058	1	No_ref_available

###230	26.6	3.8	1.2	Chr10	2250934	2251013	82	C	183CL0250	LTR/Copia	(0)	95	14	160059	1	No_ref_available

###307	26.2	0.0	1.2	Chr10	2282429	2282513	84	+	183CL0250	LTR/Copia	11	94	(1)	160062	1	No_ref_available

