Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###737	25.6	3.5	5.7	Chr03	9780	10065	280	+	Gypsy-42_GR-LTR	LTR/Gypsy	356	635	(0)	36914	1	0.441

###1714/356	29.548	6.700	1.473	Chr03	11149	14493	1516	+	Copia-77_ST-I	LTR/Copia	3	3983	(1)	36915/36917	2	No_ref_available
1714	29.5	7.2	1.6	Chr03	11149	12459	1402	+	Copia-77_ST-I	LTR/Copia	3	1404	(2610)	36915	1
356	30.1	0.9	0.0	Chr03	14381	14493	114	+	Copia-77_ST-I	LTR/Copia	3870	3983	(1)	36917	1

###8854	8.7	1.6	0.2	Chr03	12571	13798	1245	+	Gypsy-59_GR-LTR	LTR/Gypsy	1	1245	(0)	36916	1	1.000

###228	33.0	0.0	1.1	Chr03	43241	43329	88	+	Gypsy-29_GR-LTR	LTR/Gypsy	2444	2531	(407)	36918	1	0.030

###286	22.8	5.6	10.7	Chr03	43324	43431	103	+	Gypsy-19_GR-LTR	LTR/Gypsy	2665	2767	(0)	36919	1	0.037

###1336	14.9	2.5	0.8	Chr03	70086	70322	241	+	Gypsy-42_GR-LTR	LTR/Gypsy	395	635	(0)	36920	1	0.380

###3093	18.2	2.8	0.9	Chr03	87024	87767	968	C	Gypsy-55_GR-LTR	LTR/Gypsy	(667)	1892	925	36921	1	0.364

###1328	16.6	4.0	0.8	Chr03	190707	190955	257	C	Gypsy-19_GR-LTR	LTR/Gypsy	(0)	2767	2511	36922	1	0.093

###1048/3661	20.144	10.340	5.528	Chr03	190940	193185	2056	C	Gypsy-29_GR-LTR	LTR/Gypsy	(619)	2319	1	36923/36923	2	0.700
1048	21.8	8.9	7.4	Chr03	190940	191513	582	C	Gypsy-29_GR-LTR	LTR/Gypsy	(619)	2319	1738	36923	1
3661	19.5	10.9	4.8	Chr03	191709	193185	1474	C	Gypsy-29_GR-LTR	LTR/Gypsy	(1464)	1474	1	36923	1

###826	1.1	0.0	0.0	Chr03	199432	199525	94	C	1863CL0127	LTR/Gypsy	(0)	95	2	36924	1	No_ref_available

###838	1.3	0.0	0.0	Chr03	199591	199708	95	+	1804CL0127	LTR/Gypsy	1	95	(0)	36925	1	No_ref_available

###825	1.1	0.0	0.0	Chr03	199711	199805	95	C	1819CL0127	LTR/Gypsy	(0)	95	1	36926	1	No_ref_available

###866	0.7	0.0	0.0	Chr03	199790	199926	95	+	1928CL0127	LTR/Gypsy	1	95	(0)	36927	1	No_ref_available

###430/1424	28.072	1.952	3.147	Chr03	199806	200682	703	+	MtPH-A5-Ia	DNA/Harbinger	1535	2395	(3570)	36928/36932	2	0.118
430	32.0	0.5	0.5	Chr03	199806	199896	179	+	MtPH-A5-Ia	DNA/Harbinger	1535	1713	(4252)	36928	1
1424	27.4	2.2	3.6	Chr03	200151	200682	524	+	MtPH-A5-Ia	DNA/Harbinger	1872	2395	(3570)	36932	1

###844	1.4	0.0	0.0	Chr03	199897	200030	95	C	1612CL0127	LTR/Gypsy	(0)	95	1	36929	1	No_ref_available

###857	0.0	0.0	0.0	Chr03	199919	200054	95	+	1755CL0127	LTR/Gypsy	1	95	(0)	36930	1	No_ref_available

###867	0.0	0.0	0.0	Chr03	200023	200150	95	+	1949CL0127	LTR/Gypsy	1	95	(0)	36931	1	No_ref_available

###853	1.7	0.0	0.0	Chr03	200641	200653	14	C	1749CL0127	LTR/Gypsy	(0)	95	82	36933	1	No_ref_available

###824	1.1	0.0	0.0	Chr03	200654	200745	92	+	1919CL0127	LTR/Gypsy	4	95	(0)	36934	1	No_ref_available

###862	0.0	0.0	0.0	Chr03	200700	200794	95	+	580CL0127	LTR/Gypsy	1	95	(0)	36935	1	No_ref_available

###843	1.5	0.0	0.0	Chr03	200738	200905	95	+	1931CL0127	LTR/Gypsy	1	95	(0)	36936	1	No_ref_available

###853	1.7	0.0	0.0	Chr03	200795	200865	81	C	1749CL0127	LTR/Gypsy	(0)	81	1	36933	1	No_ref_available

###853	0.4	0.0	0.0	Chr03	201085	201202	95	+	987CL0127	LTR/Gypsy	1	95	(0)	36937	1	No_ref_available

###835	1.7	0.0	0.0	Chr03	201189	201326	95	C	1532CL0127	LTR/Gypsy	(0)	95	1	36938	1	No_ref_available

###849	1.2	0.0	0.0	Chr03	201304	201488	95	+	55CL0127	LTR/Gypsy	1	95	(0)	36939	1	No_ref_available

###837	1.1	0.0	0.0	Chr03	201413	201507	95	C	945CL0127	LTR/Gypsy	(0)	95	1	36940	1	No_ref_available

###824	4.2	0.2	0.0	Chr03	201554	201624	82	C	521CL0127	LTR/Gypsy	(0)	95	14	36941	1	No_ref_available

###831	1.1	0.0	0.0	Chr03	201625	201729	95	+	1794CL0127	LTR/Gypsy	1	95	(0)	36942	1	No_ref_available

###854	0.3	0.0	0.0	Chr03	201763	201893	95	+	1371CL0127	LTR/Gypsy	1	95	(0)	36943	1	No_ref_available

###845	0.0	0.0	0.0	Chr03	201896	201990	95	C	1339CL0127	LTR/Gypsy	(0)	95	1	36944	1	No_ref_available

###850	0.0	0.0	0.0	Chr03	201978	202072	95	C	841CL0127	LTR/Gypsy	(0)	95	1	36945	1	No_ref_available

###845	1.1	0.0	0.0	Chr03	202002	202096	95	+	1340CL0127	LTR/Gypsy	1	95	(0)	36946	1	No_ref_available

###846	0.0	0.0	0.0	Chr03	202138	202246	95	+	850CL0127	LTR/Gypsy	1	95	(0)	36947	1	No_ref_available

###821	0.0	0.0	0.0	Chr03	202900	202994	95	+	1777CL0127	LTR/Gypsy	1	95	(0)	36948	1	No_ref_available

###828	0.0	0.0	0.0	Chr03	203020	203114	95	C	414CL0127	LTR/Gypsy	(0)	95	1	36949	1	No_ref_available

###296	25.3	4.4	6.8	Chr03	217252	217448	347	+	Gypsy-25_GR-LTR	LTR/Gypsy	1086	1432	(957)	36950	1	0.145

###845	0.0	0.0	0.0	Chr03	229188	229282	95	+	103CL0203	LTR	1	95	(0)	36951	1	No_ref_available

###679	29.4	15.9	3.5	Chr03	245998	246557	627	+	Gypsy-39_GR-LTR	LTR/Gypsy	1	627	(0)	36952	1	1.000

###832	0.0	0.0	0.0	Chr03	283789	283904	95	C	225CL0126	LTR/Gypsy	(0)	95	1	36953	1	No_ref_available

###684	6.3	0.0	0.0	Chr03	356224	356318	95	+	1777CL0127	LTR/Gypsy	1	95	(0)	36954	1	No_ref_available

###555	11.6	0.0	0.0	Chr03	379892	379977	86	C	1777CL0127	LTR/Gypsy	(4)	91	6	36955	1	No_ref_available

###250	14.6	5.5	0.0	Chr03	380449	380503	58	C	546CL0127	LTR/Gypsy	(2)	93	36	36956	1	No_ref_available

###314	17.5	0.0	0.0	Chr03	380583	380639	57	+	874CL0127	LTR/Gypsy	39	95	(0)	36957	1	No_ref_available

###328	22.1	2.3	1.1	Chr03	380677	380700	25	C	1340CL0127	LTR/Gypsy	(2)	93	69	36958	1	No_ref_available

###272	26.4	2.3	1.1	Chr03	380701	380779	80	+	841CL0127	LTR/Gypsy	3	82	(13)	36959	1	No_ref_available

###442	23.7	0.0	0.0	Chr03	380780	380872	93	+	1339CL0127	LTR/Gypsy	1	93	(2)	36960	1	No_ref_available

###488	20.4	0.0	0.0	Chr03	380876	381007	95	C	541CL0127	LTR/Gypsy	(0)	95	1	36961	1	No_ref_available

###840	10.5	0.0	0.0	Chr03	381031	381044	14	+	749CL0127	LTR/Gypsy	1	14	(81)	36962	1	No_ref_available

###498	20.1	0.0	0.0	Chr03	381045	381145	95	C	423CL0127	LTR/Gypsy	(0)	95	1	36963	1	No_ref_available

###840	10.5	0.0	0.0	Chr03	381146	381222	81	+	749CL0127	LTR/Gypsy	15	95	(0)	36962	1	No_ref_available

###557	16.8	0.0	0.0	Chr03	381262	381356	95	C	934CL0127	LTR/Gypsy	(0)	95	1	36964	1	No_ref_available

###627	12.8	0.0	0.0	Chr03	381279	381372	94	+	1987CL0127	LTR/Gypsy	2	95	(0)	36965	1	No_ref_available

###495	21.3	0.0	0.0	Chr03	381328	381465	95	C	55CL0127	LTR/Gypsy	(0)	95	1	36966	1	No_ref_available

###584	14.8	0.0	0.0	Chr03	381450	381581	95	+	2024CL0127	LTR/Gypsy	1	95	(0)	36967	1	No_ref_available

###485	21.1	0.0	0.0	Chr03	381568	381662	95	C	728CL0127	LTR/Gypsy	(0)	95	1	36968	1	No_ref_available

###7311/3936	17.316	1.449	0.731	Chr03	386551	389320	2259	C	Gypsy-52_GR-LTR	LTR/Gypsy	(231)	2683	1	36969/36969	2	0.775
7311	19.7	1.7	0.7	Chr03	386551	388160	1525	C	Gypsy-52_GR-LTR	LTR/Gypsy	(231)	2683	1159	36969	1
3936	12.1	0.9	0.8	Chr03	388585	389320	734	C	Gypsy-52_GR-LTR	LTR/Gypsy	(2180)	734	1	36969	1

###685	22.0	2.9	13.7	Chr03	434645	434918	248	C	MuDR-2_GR	DNA/MuDR	(3716)	2992	2745	36970	1	0.037

###1281	14.9	1.6	3.6	Chr03	436105	436361	252	+	MuDR-2_GR	DNA/MuDR	2741	2992	(3716)	36971	1	0.038

###838	1.2	0.0	0.0	Chr03	443356	443462	95	C	627CL0111	LTR/Gypsy	(0)	95	1	36972	1	No_ref_available

###855	0.5	0.0	0.0	Chr03	443379	443500	95	+	1063CL0111	LTR/Gypsy	1	95	(0)	36973	1	No_ref_available

###824	4.2	0.0	0.0	Chr03	443496	443590	95	+	1378CL0111	LTR/Gypsy	1	95	(0)	36974	1	No_ref_available

