Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###17520/1882/290	3.661	0.399	1.469	D5_13	2630356	2640758	2498	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1839	201577/201577/201580	3	0.284
17520	3.6	0.4	1.6	D5_13	2630356	2632559	2177	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6631	201577	1
1882	2.7	0.0	0.0	D5_13	2640441	2640660	220	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2174)	6633	6414	201577	1
290	18.0	3.9	2.9	D5_13	2640656	2640758	104	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6865)	1942	1839	201580	1

###226/22108	4.074	0.508	0.897	D5_13	2634533	2640151	2763	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	201578/201579	2	0.314
226	17.9	8.2	8.2	D5_13	2634533	2634605	73	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	73	(8734)	201578	1
22108	3.7	0.3	0.7	D5_13	2637450	2640151	2690	+	EnSpm-1_GR	DNA/EnSpmCACTA	6118	8807	(0)	201579	1

###757/746/1220/552/716/38139	12.479	4.002	2.271	D5_13	4454071	4465351	7864	+	EnSpm-1_GR	DNA/EnSpmCACTA	24	8807	(0)	201895/201896/201897/201898/201899/201902	6	0.893
757	22.7	6.9	11.8	D5_13	4454071	4454460	373	+	EnSpm-1_GR	DNA/EnSpmCACTA	24	396	(8411)	201895	1
746	19.5	3.4	3.4	D5_13	4454526	4454764	239	+	EnSpm-1_GR	DNA/EnSpmCACTA	417	655	(8152)	201896	1
1220	10.4	16.7	0.5	D5_13	4454834	4455209	503	+	EnSpm-1_GR	DNA/EnSpmCACTA	943	1445	(7362)	201897	1
552	8.3	5.7	2.4	D5_13	4455384	4455506	127	+	EnSpm-1_GR	DNA/EnSpmCACTA	1455	1581	(7226)	201898	1
716	14.2	7.8	2.9	D5_13	4456170	4456441	526	+	EnSpm-1_GR	DNA/EnSpmCACTA	2186	2711	(6096)	201899	1
38139	11.0	2.1	1.2	D5_13	4459244	4465351	6244	+	EnSpm-1_GR	DNA/EnSpmCACTA	2564	8807	(0)	201902	1

###6958	16.9	4.3	0.8	D5_13	4886157	4887493	1383	+	EnSpm-1_GR	DNA/EnSpmCACTA	7172	8554	(253)	202006	1	0.157

###31854/407	15.283	1.972	1.183	D5_13	5528675	5536634	5796	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	2906	202179/202179	2	0.658
31854	15.2	2.0	1.2	D5_13	5528675	5534285	5720	C	EnSpm-1_GR	DNA/EnSpmCACTA	(106)	8701	2982	202179	1
407	21.0	0.0	0.0	D5_13	5536554	5536634	81	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5821)	2986	2906	202179	1

###16189/3082	4.462	1.316	1.308	D5_13	5673432	5675926	2485	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6146	202205/202205	2	0.282
16189	4.6	1.5	1.4	D5_13	5673432	5675534	2105	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6703	202205	1
3082	3.7	0.3	0.8	D5_13	5675545	5675926	380	C	EnSpm-1_GR	DNA/EnSpmCACTA	(2282)	6525	6146	202205	1

###14376/31339	4.957	1.465	1.015	D5_13	5704689	5710594	5939	+	EnSpm-1_GR	DNA/EnSpmCACTA	2602	8807	(0)	202216/202217	2	0.674
14376	5.3	0.3	1.7	D5_13	5704689	5706550	1835	+	EnSpm-1_GR	DNA/EnSpmCACTA	2602	4436	(4371)	202216	1
31339	4.8	2.0	0.7	D5_13	5706543	5710594	4104	+	EnSpm-1_GR	DNA/EnSpmCACTA	4704	8807	(0)	202217	1

###52954	4.1	1.2	0.6	D5_13	5841030	5847635	6643	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2165	202250	1	0.754

###8445	7.4	6.6	0.8	D5_13	6539183	6540420	1309	+	EnSpm-1_GR	DNA/EnSpmCACTA	7499	8807	(0)	202470	1	0.149

###227/40022	10.877	1.408	2.786	D5_13	6917168	6927145	6347	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	202587/202588	2	0.721
227	6.2	3.1	0.0	D5_13	6917168	6917199	33	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	34	(8773)	202587	1
40022	10.9	1.4	2.8	D5_13	6920748	6927145	6314	+	EnSpm-1_GR	DNA/EnSpmCACTA	2494	8807	(0)	202588	1

###293	15.6	6.1	2.9	D5_13	7225812	7225877	68	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	68	(8739)	202662	1	0.008

###233/15788	3.493	1.472	0.098	D5_13	7674369	7678733	1981	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	202808/202811	2	0.225
233	13.5	0.0	0.0	D5_13	7674369	7674405	37	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	38	(8769)	202808	1
15788	3.3	1.5	0.1	D5_13	7676818	7678733	1944	+	EnSpm-1_GR	DNA/EnSpmCACTA	6864	8807	(0)	202811	1

###239/244	22.488	3.646	2.912	D5_13	7674623	7675027	71	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	71	(8736)	202809/202810	2	0.008
239	25.4	1.5	0.0	D5_13	7674623	7674689	68	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	68	(8739)	202809	1
244	19.7	5.7	5.7	D5_13	7674958	7675027	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	71	(8736)	202810	1

###226	20.6	6.1	4.5	D5_13	7675039	7675104	67	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	67	(8740)	202810	1	0.008

###228	6.3	0.0	3.1	D5_13	8147849	8147881	32	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	32	(8775)	202949	1	0.004

###26461	10.9	3.0	1.9	D5_13	8203373	8209476	6145	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2663	202969	1	0.698

###384	13.5	9.2	4.8	D5_13	8226691	8226890	170	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6137)	2670	2501	202974	1	0.019

###51548/226	5.263	0.848	1.909	D5_13	8385378	8394043	6733	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	203016/203017	2	0.765
51548	4.9	0.7	1.9	D5_13	8385378	8392121	6607	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2201	203016	1
