Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###3192/418	17.498	7.156	0.809	D10_04	41763	42489	761	+	Copia-53_GR-I	LTR/Copia	NA	NA	NA	54832/54832	2	0.080
3192	17.9	7.8	0.9	D10_04	41763	42406	688	+	Copia-53_GR-I	LTR/Copia	4972	5659	(29)	54832	1
418	13.9	1.4	0.0	D10_04	42418	42489	73	+	Copia-53_GR-LTR	LTR/Copia	1	73	(1826)	54832	1

###285	23.9	5.4	7.3	D10_04	42643	42809	164	+	Gypsy-18_GR-LTR	LTR/Gypsy	1771	1934	(1087)	54833	1	0.054

###265	27.7	1.2	1.2	D10_04	43318	43401	84	+	Gypsy-29_GR-LTR	LTR/Gypsy	2263	2346	(592)	54834	1	0.029

###2160	31.8	3.4	3.9	D10_04	43550	45042	1311	+	Gypsy-54_GR-I	LTR/Gypsy	1	1311	(3882)	54835	1	0.135

###6520/1188	23.828	2.661	5.597	D10_04	45029	50275	2199	+	Gypsy-17_GR-I	LTR/Gypsy	5700	7914	(1166)	54836/54836	2	0.173
6520	24.7	2.7	5.8	D10_04	45029	47069	1983	+	Gypsy-17_GR-I	LTR/Gypsy	5700	7682	(1398)	54836	1
1188	15.7	2.3	3.7	D10_04	50057	50275	216	+	Gypsy-17_GR-I	LTR/Gypsy	7699	7914	(1166)	54836	1

###4275/3980	19.323	6.446	4.188	D10_04	47070	50031	2412	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	1	54837/54837	2	0.798
4275	19.1	9.3	4.5	D10_04	47070	48377	1368	C	Gypsy-18_GR-LTR	LTR/Gypsy	(0)	3021	1654	54837	1
3980	19.6	2.9	3.8	D10_04	48979	50031	1044	C	Gypsy-18_GR-LTR	LTR/Gypsy	(1977)	1044	1	54837	1

###1612	15.0	0.0	1.4	D10_04	50287	50574	268	C	Gypsy-18_GR-LTR	LTR/Gypsy	(2753)	268	1	54838	1	0.089

###328/480/231	26.959	3.549	6.253	D10_04	55910	56932	491	+	Gypsy-47_GR-LTR	LTR/Gypsy	146	1260	(668)	54839/54839/54839	3	0.255
328	27.2	5.5	9.4	D10_04	55910	56108	192	+	Gypsy-47_GR-LTR	LTR/Gypsy	146	337	(1591)	54839	1
480	24.3	0.0	2.9	D10_04	56454	56593	136	+	Gypsy-47_GR-LTR	LTR/Gypsy	756	891	(1037)	54839	1
231	31.0	4.9	4.3	D10_04	56771	56932	163	+	Gypsy-47_GR-LTR	LTR/Gypsy	1098	1260	(668)	54839	1

###490	12.8	0.5	5.2	D10_04	57064	57212	119	+	Gypsy-15_GR-I	LTR/Gypsy	4801	4919	(2)	54840	1	0.012

###3117	16.8	0.2	0.2	D10_04	58174	58746	573	+	Gypsy-56_GR-LTR	LTR/Gypsy	895	1467	(1240)	54841	1	0.212

###443	22.8	2.0	2.7	D10_04	58982	59130	148	+	Gypsy-18_GR-LTR	LTR/Gypsy	1608	1755	(1266)	54842	1	0.049

###2338	13.4	6.7	8.2	D10_04	59330	59914	577	+	Gypsy-5_GR-LTR	LTR/Gypsy	1157	1733	(360)	54843	1	0.276

###340/4057/741	13.124	2.760	2.330	D10_04	60333	61310	914	+	Gypsy-36_GR-I	LTR/Gypsy	NA	NA	NA	54844/54844/54844	3	0.125
340	13.0	1.9	0.0	D10_04	60333	60386	55	+	Gypsy-36_GR-I	LTR/Gypsy	3430	3484	(729)	54844	1
4057	12.1	3.4	2.6	D10_04	60455	61152	704	+	Gypsy-36_GR-I	LTR/Gypsy	3510	4213	(0)	54844	1
741	18.1	0.0	1.9	D10_04	61153	61310	155	+	Gypsy-36_GR-LTR	LTR/Gypsy	1	155	(1385)	54844	1

###8052	14.6	0.7	3.7	D10_04	64022	65466	1403	+	Gypsy-36_GR-LTR	LTR/Gypsy	138	1540	(0)	54844	1	0.911

###1306/1354	28.756	3.132	5.336	D10_04	66334	67467	1148	+	Gypsy-14_GR-I	LTR/Gypsy	42	1247	(657)	54845/54845	2	0.199
1306	28.6	4.9	1.8	D10_04	66334	66860	543	+	Gypsy-14_GR-I	LTR/Gypsy	42	584	(1744)	54845	1
1354	28.9	1.5	8.6	D10_04	66897	67467	605	+	Gypsy-14_GR-I	LTR/Gypsy	643	1247	(657)	54845	1

###317	19.3	1.1	1.1	D10_04	75021	75109	89	C	Gypsy-27_GR-I	LTR/Gypsy	(8949)	980	892	54846	1	0.008

###329	18.8	4.8	5.7	D10_04	80669	80792	123	C	Gypsy-29_GR-LTR	LTR/Gypsy	(1510)	1428	1306	54847	1	0.042

###793/339/2263/8840/7467	21.462	4.727	3.189	D10_04	88398	94405	4622	+	MuDR-4_GR	DNA/MuDR	10	6473	(718)	54848/54851/54852/54853/54855	5	0.643
793	23.8	21.5	2.9	D10_04	88398	88946	648	+	MuDR-4_GR	DNA/MuDR	10	657	(6534)	54848	1
