Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###873/873	0.000	0.000	0.000	D5_08	60547958	60548135	95	C	1021CL0117	LTR	(0)	95	1	135154/135154	2	No_ref_available
873	0.0	0.0	0.0	D5_08	60547958	60547979	56	C	1021CL0117	LTR	(0)	95	40	135154	1
873	0.0	0.0	0.0	D5_08	60548123	60548135	39	C	1021CL0117	LTR	(0)	39	1	135154	1

###847	0.5	0.0	0.0	D5_08	1435144	1435263	95	C	1071CL0119	LTR	(0)	95	1	116598	1	No_ref_available

###830	1.1	0.0	0.0	D5_08	1435201	1435295	95	C	1098CL0119	LTR	(0)	95	1	116599	1	No_ref_available

###842	0.7	0.0	0.0	D5_08	1435133	1435143	8	+	1102CL0119	LTR	1	8	(87)	116597	1	No_ref_available

###842	0.7	0.0	0.0	D5_08	1435365	1435486	87	+	1102CL0119	LTR	9	95	(0)	116597	1	No_ref_available

###851	1.1	0.0	0.0	D5_08	61200470	61200564	95	C	1133CL0124	LTR	(0)	95	1	135281	1	No_ref_available

###853	0.8	0.1	0.0	D5_08	1435328	1435584	95	C	1197CL0119	LTR	(0)	95	1	116602	1	No_ref_available

###809	1.1	0.0	0.0	D5_08	1435270	1435364	95	C	1304CL0119	LTR	(0)	95	1	116601	1	No_ref_available

###860	0.0	0.0	0.0	D5_08	60547201	60547295	95	+	1378CL0117	LTR	1	95	(0)	135147	1	No_ref_available

###871	0.2	0.0	0.0	D5_08	60547329	60547351	24	C	149CL0117	LTR	(0)	95	72	135148	1	No_ref_available

###871	0.2	0.0	0.0	D5_08	60547472	60547536	71	C	149CL0117	LTR	(0)	71	1	135148	1	No_ref_available

###851	1.2	0.0	0.0	D5_08	628920	629049	95	+	165CL0147	LTR	1	95	(0)	116413	1	No_ref_available

###830	2.2	0.0	0.0	D5_08	61200327	61200353	66	C	1671CL0124	LTR	(0)	95	30	135278	1	No_ref_available

###863/863	0.000	0.000	0.000	D5_08	60547150	60547318	95	C	1672CL0117	LTR	(0)	95	1	135146/135146	2	No_ref_available
863	0.0	0.0	0.0	D5_08	60547150	60547200	64	C	1672CL0117	LTR	(0)	95	32	135146	1
863	0.0	0.0	0.0	D5_08	60547296	60547318	31	C	1672CL0117	LTR	(0)	31	1	135146	1

###821	3.2	0.0	0.0	D5_08	628355	628449	95	C	1727CL0147	LTR	(0)	95	1	116409	1	No_ref_available

###871	0.0	0.0	0.0	D5_08	60548006	60548100	95	+	1737CL0117	LTR	1	95	(0)	135156	1	No_ref_available

###862	0.0	0.0	0.0	D5_08	60547596	60547690	95	C	1743CL0117	LTR	(0)	95	1	135152	1	No_ref_available

###872	0.0	0.0	0.0	D5_08	60547377	60547471	95	+	1757CL0117	LTR	1	95	(0)	135150	1	No_ref_available

###860	0.0	0.0	0.0	D5_08	60548028	60548122	95	+	2029CL0117	LTR	1	95	(0)	135157	1	No_ref_available

###863/863	0.200	0.000	0.000	D5_08	61200459	61200590	95	+	2086CL0124	LTR	1	95	(0)	135280/135280	2	No_ref_available
863	0.2	0.0	0.0	D5_08	61200459	61200469	26	+	2086CL0124	LTR	1	26	(69)	135280	1
863	0.2	0.0	0.0	D5_08	61200565	61200590	69	+	2086CL0124	LTR	27	95	(0)	135280	1

###872	0.0	0.0	0.0	D5_08	60547352	60547446	95	+	2119CL0117	LTR	1	95	(0)	135149	1	No_ref_available

###858	1.1	0.0	0.0	D5_08	60545263	60545357	95	C	2129CL0117	LTR	(0)	95	1	135141	1	No_ref_available

###869	0.0	0.0	0.0	D5_08	60547608	60547702	95	+	2235CL0117	LTR	1	95	(0)	135153	1	No_ref_available

###839	2.1	0.0	0.0	D5_08	61200354	61200448	95	+	2247CL0124	LTR	1	95	(0)	135279	1	No_ref_available

###822	3.2	0.0	0.0	D5_08	628523	628617	95	C	234CL0147	LTR	(0)	95	1	116410	1	No_ref_available

###859	0.0	0.0	0.0	D5_08	60546848	60546942	95	C	2384CL0117	LTR	(0)	95	1	135145	1	No_ref_available

###871/871	0.300	0.000	0.000	D5_08	60549182	60549371	95	+	238CL0153	LTR	1	95	(0)	135159/135159	2	No_ref_available
871	0.3	0.0	0.0	D5_08	60549182	60549236	73	+	238CL0153	LTR	1	73	(22)	135159	1
871	0.3	0.0	0.0	D5_08	60549357	60549371	22	+	238CL0153	LTR	74	95	(0)	135159	1

###861	0.0	0.0	0.0	D5_08	60545424	60545529	95	+	2452CL0117	LTR	1	95	(0)	135142	1	No_ref_available

###828	2.1	0.0	0.0	D5_08	60053961	60054055	95	+	2565CL0030	LTR	1	95	(0)	135077	1	No_ref_available

###867	0.2	0.0	0.0	D5_08	60549237	60549356	95	C	261CL0153	LTR	(0)	95	1	135160	1	No_ref_available

###868	0.7	0.0	0.0	D5_08	629073	629214	95	C	29CL0147	LTR	(0)	95	1	116416	1	No_ref_available

###858	1.1	0.0	0.0	D5_08	60545199	60545293	95	C	315CL0117	LTR	(0)	95	1	135140	1	No_ref_available

###861	0.5	0.0	0.0	D5_08	60545119	60545198	59	+	390CL0117	LTR	1	59	(36)	135139	1	No_ref_available

###861	0.5	0.0	0.0	D5_08	60545294	60545341	36	+	390CL0117	LTR	60	95	(0)	135139	1	No_ref_available

###489	13.0	3.3	0.0	D5_08	58504961	58505052	95	+	3996CL0030	LTR	1	95	(0)	134869	1	No_ref_available

###494	15.4	4.4	0.0	D5_08	58557768	58557858	95	C	3996CL0030	LTR	(0)	95	1	134876	1	No_ref_available

###852	0.0	0.0	0.0	D5_08	60546605	60546699	95	C	432CL0117	LTR	(0)	95	1	135143	1	No_ref_available

###836	1.6	0.0	0.0	D5_08	629063	629197	95	+	440CL0147	LTR	1	95	(0)	116415	1	No_ref_available

###842	0.0	0.0	0.0	D5_08	1083115	1083209	95	+	4489CL0047	LTR	1	95	(0)	116526	1	No_ref_available

###819/819	2.900	0.000	0.000	D5_08	628574	628729	95	+	448CL0147	LTR	1	95	(0)	116411/116411	2	No_ref_available
819	2.9	0.0	0.0	D5_08	628574	628588	22	+	448CL0147	LTR	1	22	(73)	116411	1
819	2.9	0.0	0.0	D5_08	628684	628729	73	+	448CL0147	LTR	23	95	(0)	116411	1

###871	0.3	0.0	0.0	D5_08	60547411	60547550	95	+	459CL0117	LTR	1	95	(0)	135151	1	No_ref_available

###815	1.1	0.0	0.0	D5_08	1435223	1435336	95	C	529CL0119	LTR	(0)	95	1	116600	1	No_ref_available

###857/857	0.000	0.000	0.000	D5_08	60546837	60546956	95	+	561CL0117	LTR	1	95	(0)	135144/135144	2	No_ref_available
857	0.0	0.0	0.0	D5_08	60546837	60546847	37	+	561CL0117	LTR	1	37	(58)	135144	1
857	0.0	0.0	0.0	D5_08	60546943	60546956	58	+	561CL0117	LTR	38	95	(0)	135144	1

###828	3.2	0.0	0.0	D5_08	628589	628683	95	C	627CL0147	LTR	(0)	95	1	116412	1	No_ref_available

###851	0.0	0.0	0.0	D5_08	60549057	60549151	95	C	690CL0153	LTR	(0)	95	1	135158	1	No_ref_available

###848	0.0	0.0	0.0	D5_08	61385546	61385640	95	+	7241CL0030	LTR	1	95	(0)	135299	1	No_ref_available

###841	1.1	0.0	0.0	D5_08	60054208	60054302	95	+	7512CL0030	LTR	1	95	(0)	135078	1	No_ref_available

###838	2.1	0.0	0.0	D5_08	628933	629060	95	C	812CL0147	LTR	(0)	95	1	116414	1	No_ref_available

###870	0.0	0.0	0.0	D5_08	60547980	60548074	95	+	849CL0117	LTR	1	95	(0)	135155	1	No_ref_available

###858	0.0	0.0	0.0	D5_08	629575	629669	95	C	874CL0147	LTR	(0)	95	1	116417	1	No_ref_available

