Score	%_Div	%_Del	%_Ins	Query	Beg.	End.	Length	Sense	Element	Family	Pos_Repeat_Beg	Pos_Repeat_End	Pos_Repeat_Left	ID	Num_Assembled	%_of_Ref

###17137/276	7.794	0.832	1.145	D10_09	5014979	5018594	2788	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	141918/141919	2	0.317
17137	7.6	0.7	1.1	D10_09	5014979	5017601	2719	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	6089	141918	1
276	15.4	6.0	2.9	D10_09	5018528	5018594	69	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8737)	70	2	141919	1

###14608	2.7	1.8	0.1	D10_09	8088807	8090565	1789	+	EnSpm-1_GR	DNA/EnSpmCACTA	7019	8807	(0)	142387	1	0.203

###9817/22521	7.031	1.761	1.390	D10_09	8334752	8349566	4603	+	EnSpm-1_GR	DNA/EnSpmCACTA	1964	6566	(2241)	142416/142418	2	0.523
9817	12.2	4.2	2.9	D10_09	8334752	8336675	1949	+	EnSpm-1_GR	DNA/EnSpmCACTA	1964	3912	(4895)	142416	1
22521	3.3	0.0	0.3	D10_09	8346902	8349566	2659	+	EnSpm-1_GR	DNA/EnSpmCACTA	3908	6566	(2241)	142418	1

###3411/11426	4.390	1.320	0.660	D10_09	8352372	8354431	2125	+	EnSpm-1_GR	DNA/EnSpmCACTA	6616	8806	(1)	142423/142424	2	0.241
3411	3.4	0.0	0.0	D10_09	8352372	8352732	361	+	EnSpm-1_GR	DNA/EnSpmCACTA	6616	6976	(1831)	142423	1
11426	4.6	1.6	0.8	D10_09	8352730	8354431	1764	+	EnSpm-1_GR	DNA/EnSpmCACTA	7043	8806	(1)	142424	1

###257/463/279/49283	8.284	1.443	1.303	D10_09	8699741	8709202	6586	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	142475/142476/142477/142478	4	0.748
257	24.6	0.0	1.4	D10_09	8699741	8699810	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	69	(8738)	142475	1
463	13.3	3.3	2.1	D10_09	8701741	8701832	93	+	EnSpm-1_GR	DNA/EnSpmCACTA	1624	1716	(7091)	142476	1
279	8.0	0.0	4.0	D10_09	8702051	8702102	50	+	EnSpm-1_GR	DNA/EnSpmCACTA	1760	1809	(6998)	142477	1
49283	4.7	1.3	1.1	D10_09	8702843	8709202	6374	+	EnSpm-1_GR	DNA/EnSpmCACTA	2434	8807	(0)	142478	1

###239	23.5	1.4	2.9	D10_09	8699824	8699893	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	69	(8738)	142475	1	0.008

###244	23.5	1.4	1.4	D10_09	8699907	8699975	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	69	(8738)	142475	1	0.008

###23249/27102	5.599	1.808	2.071	D10_09	9024913	9042330	6711	+	EnSpm-1_GR	DNA/EnSpmCACTA	2097	8807	(0)	142524/142526	2	0.762
23249	7.3	2.8	3.3	D10_09	9024913	9028645	3371	+	EnSpm-1_GR	DNA/EnSpmCACTA	2097	5467	(3340)	142524	1
27102	3.7	0.7	0.7	D10_09	9038986	9042330	3345	+	EnSpm-1_GR	DNA/EnSpmCACTA	5463	8807	(0)	142526	1

###245	26.2	2.9	5.2	D10_09	9386142	9386278	134	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8256)	551	418	142597	1	0.015

###250/50566	5.663	1.202	2.192	D10_09	12635532	12644134	7134	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	8807	(0)	143215/143216	2	0.810
250	22.1	1.4	1.4	D10_09	12635532	12635600	69	+	EnSpm-1_GR	DNA/EnSpmCACTA	2	70	(8737)	143215	1
50566	5.5	1.2	2.2	D10_09	12637189	12644134	7065	+	EnSpm-1_GR	DNA/EnSpmCACTA	1743	8807	(0)	143216	1

###6145	8.6	2.1	1.9	D10_09	13939311	13940468	1242	+	EnSpm-1_GR	DNA/EnSpmCACTA	7566	8807	(0)	143425	1	0.141

###51574	5.2	1.3	1.2	D10_09	14433763	14440689	6607	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2201	143560	1	0.750

###6450	4.4	2.2	1.1	D10_09	14445816	14446895	1147	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	7661	143561	1	0.130

###41652	9.4	2.2	1.0	D10_09	17091246	17097613	6349	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2459	144167	1	0.721

###24508/376/231	10.887	2.565	0.614	D10_09	18680324	18686095	3945	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	1	144512/144513/144514	3	0.448
24508	10.8	2.4	0.6	D10_09	18680324	18684042	3786	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	5022	144512	1
376	13.5	7.3	1.2	D10_09	18684057	18684186	120	C	EnSpm-1_GR	DNA/EnSpmCACTA	(6034)	2773	2654	144513	1
231	10.5	2.6	0.0	D10_09	18686058	18686095	39	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8768)	39	1	144514	1

###31504/9417	4.865	2.294	1.017	D10_09	20062812	20068342	5478	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1)	8806	2063	144905/144906	2	0.622
31504	2.9	2.2	0.3	D10_09	20062812	20066616	3876	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1)	8806	4931	144905	1
9417	9.2	2.5	2.6	D10_09	20066618	20068342	1602	C	EnSpm-1_GR	DNA/EnSpmCACTA	(5143)	3664	2063	144906	1

###34282	15.1	1.5	1.3	D10_09	20296311	20302428	6439	+	EnSpm-1_GR	DNA/EnSpmCACTA	2369	8807	(0)	144964	1	0.731

###229/39832	10.728	2.132	0.710	D10_09	20832886	20839688	6201	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2550	145139/145139	2	0.704
229	14.0	5.9	1.9	D10_09	20832886	20832936	53	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8755	145139	1
39832	10.7	2.1	0.7	D10_09	20833689	20839688	6148	C	EnSpm-1_GR	DNA/EnSpmCACTA	(110)	8697	2550	145139	1

###29383/244	9.896	0.995	1.790	D10_09	22421709	22430935	6037	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2	145633/145634	2	0.685
29383	9.9	1.0	1.8	D10_09	22421709	22427736	6004	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2804	145633	1
244	9.1	0.0	0.0	D10_09	22430903	22430935	33	C	EnSpm-1_GR	DNA/EnSpmCACTA	(8773)	34	2	145634	1

###414	19.7	13.3	2.1	D10_09	22596690	22596907	242	+	EnSpm-1_GR	DNA/EnSpmCACTA	8566	8807	(0)	145686	1	0.027

###35275	3.3	0.1	0.5	D10_09	24899632	24903848	4199	+	EnSpm-1_GR	DNA/EnSpmCACTA	4609	8807	(0)	146439	1	0.477

###1876/36585	9.492	1.509	0.911	D10_09	25073514	25079056	5646	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	2546	146503/146504	2	0.641
1876	15.5	8.7	6.1	D10_09	25073514	25074010	584	C	EnSpm-1_GR	DNA/EnSpmCACTA	(0)	8807	8224	146503	1
36585	8.9	0.8	0.4	D10_09	25074014	25079056	5062	C	EnSpm-1_GR	DNA/EnSpmCACTA	(1200)	7607	2546	146504	1

###526/6851/51958	5.143	2.741	1.492	D10_09	25466840	25476280	8214	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	8807	(0)	146627/146629/146630	3	0.933
526	10.0	0.0	0.0	D10_09	25466840	25466909	70	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	70	(8737)	146627	1
6851	6.3	4.7	0.9	D10_09	25468023	25469137	1157	+	EnSpm-1_GR	DNA/EnSpmCACTA	582	1738	(7069)	146629	1
51958	4.7	2.2	1.7	D10_09	25469140	25476280	6987	+	EnSpm-1_GR	DNA/EnSpmCACTA	1821	8807	(0)	146630	1

###3102	10.8	3.6	3.5	D10_09	25467089	25467666	579	+	EnSpm-1_GR	DNA/EnSpmCACTA	1	579	(8228)	146628	1	0.066

